rule_id,seed,lote,K,kcap,escalon,n_aristas,clustering,transitividad,n_triangulos,gigante,asortatividad,n_componentes,solapamiento_aristas,pendiente_corr,frac_masa,kappa_v,n_sumideros,t_primer_sumidero,masa_acretada,dump_final,carpeta
A2-B0-C2-batch3-r0,471829,471828,5,4,e0,2308,0.0,0.0,0,1737,-0.2640755888267597,5,0.002166377816291161,1.022034795080364,0.14649999999999994,1.3478260869565215,8,0.03,2754.2000000000003,cosmog_00500,A2-B0-C2-batch3-r0_s471829_f702_e0
A2-B0-C2-batch3-r0,471829,471828,5,4,e1,2308,0.01425,0.013930950938824955,23,1737,-0.264511928346548,5,0.002166377816291161,1.0131016025299242,0.14849999999999997,1.294871794871795,8,0.032,2791.8000000000006,cosmog_00500,A2-B0-C2-batch3-r0_s471829_f702_e1
A2-B0-C2-batch3-r0,471829,471828,5,4,e2,2308,0.04558333333333333,0.043609933373712904,72,1730,-0.23702253859988384,8,0.002166377816291161,1.1068534413841111,0.14449999999999996,1.293577981651376,8,0.033,2716.6000000000004,cosmog_00500,A2-B0-C2-batch3-r0_s471829_f702_e2
A2-B0-C2-batch3-r0,471829,471828,5,4,e3,2308,0.11033333333333332,0.1108419139915203,183,1706,-0.2056060931751247,16,0.002166377816291161,1.1903650138613746,0.14899999999999994,1.3410138248847927,8,0.032,2801.2,cosmog_00500,A2-B0-C2-batch3-r0_s471829_f702_e3
A2-B0-C2-batch3-r0,471829,471828,5,4,e4,2308,0.23541666666666666,0.24651726226529377,407,1631,-0.1536816903203146,37,0.002166377816291161,1.1761397977801258,0.15449999999999994,1.3866666666666667,9,0.03,2904.6000000000004,cosmog_00500,A2-B0-C2-batch3-r0_s471829_f702_e4
A2-B0-C2-batch3-r0,471829,471828,5,4,orig,2308,0.017,0.01635372501514234,27,1681,0.05357958157913701,30,1.0,1.0887557522803921,0.15049999999999997,1.2938596491228065,8,0.029,2829.4,cosmog_00500,A2-B0-C2-batch3-r0_s471829_f702_orig
A2-B0-C2-batch3-r111,482596,471828,6,5,e0,3017,0.0,0.0,0,1870,-0.3069755381491255,2,0.0009943652635067948,0.7299761202618594,0.11450000000000002,0.6486486486486485,8,0.037,2152.6,cosmog_00500,A2-B0-C2-batch3-r111_s482596_f702_e0
A2-B0-C2-batch3-r111,482596,471828,6,5,e1,3017,0.026516666666666664,0.0222325150532654,64,1870,-0.2908317332517612,2,0.0009943652635067948,0.7112582281493424,0.1155,0.7391304347826088,8,0.028,2171.4,cosmog_00500,A2-B0-C2-batch3-r111_s482596_f702_e1
A2-B0-C2-batch3-r111,482596,471828,6,5,e2,3017,0.08294999999999998,0.06357109773043075,183,1870,-0.2621316356564467,2,0.001325820351342393,0.7379672725832305,0.11700000000000002,0.7370892018779337,8,0.031,2199.6,cosmog_00500,A2-B0-C2-batch3-r111_s482596_f702_e2
A2-B0-C2-batch3-r111,482596,471828,6,5,e3,3017,0.19240000000000002,0.15875405280222324,457,1868,-0.2159424160889874,3,0.0009943652635067948,0.8120172312325065,0.1255,0.9558823529411764,8,0.036,2359.4,cosmog_00500,A2-B0-C2-batch3-r111_s482596_f702_e3
A2-B0-C2-batch3-r111,482596,471828,6,5,e4,3017,0.3789166666666666,0.3522464103751737,1014,1836,-0.13096322086536094,15,0.0009943652635067948,0.8041757459783196,0.14699999999999996,1.194805194805195,8,0.028,2763.6,cosmog_00500,A2-B0-C2-batch3-r111_s482596_f702_e4
A2-B0-C2-batch3-r111,482596,471828,6,5,orig,3017,0.01706666666666667,0.01285317276516906,37,1849,0.08675392573659504,10,1.0,0.7894309120929355,0.12450000000000001,0.9798994974874374,8,0.034,2340.6,cosmog_00500,A2-B0-C2-batch3-r111_s482596_f702_orig
A2-B0-C2-batch3-r60,477649,471828,6,5,e0,3068,0.0,0.0,0,1853,-0.29297792937351785,1,0.001303780964797914,0.8077797831894804,0.1155,0.7611940298507461,8,0.038,2171.4,cosmog_00500,A2-B0-C2-batch3-r60_s477649_f702_e0
A2-B0-C2-batch3-r60,477649,471828,6,5,e1,3068,0.027200000000000002,0.021395141519946512,64,1853,-0.2760433511834931,1,0.001303780964797914,0.7416664746300938,0.11600000000000003,0.7183098591549295,8,0.035,2180.7999999999997,cosmog_00500,A2-B0-C2-batch3-r60_s477649_f702_e1
A2-B0-C2-batch3-r60,477649,471828,6,5,e2,3068,0.07178333333333334,0.06117673278359706,183,1851,-0.24102996654736056,2,0.001303780964797914,0.7615278287306915,0.11800000000000001,0.7941176470588235,8,0.037,2218.4,cosmog_00500,A2-B0-C2-batch3-r60_s477649_f702_e2
A2-B0-C2-batch3-r60,477649,471828,6,5,e3,3068,0.18271666666666667,0.15277468241586806,457,1847,-0.19274353414066814,4,0.0009778357235984355,0.7435892918498846,0.12700000000000003,0.9027777777777777,8,0.028,2387.6,cosmog_00500,A2-B0-C2-batch3-r60_s477649_f702_e3
