rule_id,seed,lote,n_aristas,clustering_min,clustering_max,C_e0,C_e1,C_e2,C_e3,C_e4,masa_e0,masa_e1,masa_e2,masa_e3,masa_e4,pend_e0,pend_e1,pend_e2,pend_e3,pend_e4,gigante_e0,gigante_e1,gigante_e2,gigante_e3,gigante_e4,asort_e0,asort_e1,asort_e2,asort_e3,asort_e4,kv_e0,kv_e1,kv_e2,kv_e3,kv_e4,clustering_orig_natural,masa_orig_natural,spearman_rho,spearman_p,pendiente_masa_vs_clustering,monotona_creciente,monotona_decreciente,masa_max_en,masa_min_en,delta_masa_e4_e0,delta_masa_max_min
A2-B0-C2-batch3-r0,471829,471828,2308,0.0,0.23541666666666666,0.0,0.01425,0.04558333333333333,0.11033333333333332,0.23541666666666666,0.14649999999999994,0.14849999999999997,0.14449999999999996,0.14899999999999994,0.15449999999999994,1.022034795080364,1.0131016025299242,1.1068534413841111,1.1903650138613746,1.1761397977801258,1737,1737,1730,1706,1631,-0.2640755888267597,-0.264511928346548,-0.23702253859988384,-0.2056060931751247,-0.1536816903203146,1.3478260869565215,1.294871794871795,1.293577981651376,1.3410138248847927,1.3866666666666667,0.017,0.15049999999999997,0.7,0.1881204043741873,0.03366459867166774,False,False,e4,e2,0.008000000000000007,0.009999999999999981
A2-B0-C2-batch3-r111,482596,471828,3017,0.0,0.3789166666666666,0.0,0.026516666666666664,0.08294999999999998,0.19240000000000002,0.3789166666666666,0.11450000000000002,0.1155,0.11700000000000002,0.1255,0.14699999999999996,0.7299761202618594,0.7112582281493424,0.7379672725832305,0.8120172312325065,0.8041757459783196,1870,1870,1870,1868,1836,-0.3069755381491255,-0.2908317332517612,-0.2621316356564467,-0.2159424160889874,-0.13096322086536094,0.6486486486486485,0.7391304347826088,0.7370892018779337,0.9558823529411764,1.194805194805195,0.01706666666666667,0.12450000000000001,0.9999999999999999,1.4042654220543602e-24,0.08656450808041488,True,False,e4,e0,0.032499999999999946,0.032499999999999946
A2-B0-C2-batch3-r60,477649,471828,3068,0.0,0.36525,0.0,0.027200000000000002,0.07178333333333334,0.18271666666666667,0.36525,0.1155,0.11600000000000003,0.11800000000000001,0.12700000000000003,0.14849999999999997,0.8077797831894804,0.7416664746300938,0.7615278287306915,0.7435892918498846,0.8839974018422451,1853,1853,1851,1847,1798,-0.29297792937351785,-0.2760433511834931,-0.24102996654736056,-0.19274353414066814,-0.09594182367606652,0.7611940298507461,0.7183098591549295,0.7941176470588235,0.9027777777777777,1.3714285714285717,0.019,0.12549999999999997,0.9999999999999999,1.4042654220543602e-24,0.09217602607615938,True,False,e4,e0,0.03299999999999996,0.03299999999999996
A2-B0-C2-batch4-r10,572799,571828,2994,0.0,0.3865,0.0,0.023299999999999998,0.07296666666666667,0.18598333333333336,0.3865,0.11950000000000002,0.11800000000000001,0.12799999999999997,0.13149999999999998,0.15649999999999997,0.6707980953898094,0.6995765635589569,0.8442189498849771,0.7453357906724519,0.8860868422369499,1837,1837,1835,1829,1778,-0.29496418307382277,-0.27720311286461613,-0.25170003769242205,-0.17678475437410143,-0.07090145120383065,0.8208955223880596,0.8529411764705882,1.0096618357487912,0.9681818181818181,1.3867924528301883,0.011550000000000001,0.12799999999999997,0.8999999999999998,0.03738607346849874,0.09589805634891944,False,False,e4,e1,0.03699999999999995,0.038499999999999965
A2-B0-C2-batch4-r36,575321,571828,2343,0.0,0.25433333333333336,0.0,0.015166666666666669,0.04416666666666667,0.11600000000000002,0.25433333333333336,0.14199999999999996,0.14649999999999996,0.14949999999999997,0.15099999999999997,0.15499999999999994,1.0560595524255991,1.0915599144673809,1.0717848696199792,1.1203457388705138,1.0273219410629817,1761,1758,1748,1720,1667,-0.3039996061271941,-0.2917184123930664,-0.27899860459700565,-0.23864611089915766,-0.17153815942338865,1.2009132420091322,1.2972972972972971,1.2467532467532467,1.3376623376623376,1.3526785714285716,0.021333333333333336,0.15349999999999997,0.9999999999999999,1.4042654220543602e-24,0.042122626667550636,True,False,e4,e0,0.012999999999999984,0.012999999999999984
A2-B0-C2-batch4-r62,577843,571828,3299,0.0,0.4391833333333333,0.0,0.028800000000000003,0.0923,0.23066666666666666,0.4391833333333333,0.10150000000000003,0.10250000000000004,0.10550000000000001,0.11200000000000002,0.1415,0.6060627940696744,0.6203403199571565,0.6249477178899189,0.6548457197091974,0.7678886753845884,1923,1923,1923,1921,1886,-0.16431026430018775,-0.14914693687491984,-0.1365497110139279,-0.0910597287381241,-0.032272674720162375,0.6065573770491803,0.5645161290322581,0.5820895522388061,0.6891891891891891,1.110619469026548,0.00525,0.10250000000000004,0.9999999999999999,1.4042654220543602e-24,0.08907316221600059,True,False,e4,e0,0.03999999999999995,0.03999999999999995
A2-B0-C2-r14,273187,271828,3296,0.0,0.4535,0.0,0.029166666666666667,0.09331666666666666,0.23275000000000004,0.4535,0.09300000000000001,0.098,0.10150000000000003,0.11650000000000003,0.14199999999999996,0.7192113640946266,0.6870016121243097,0.7278404958492292,0.5919158980973276,0.8397357452143388,1928,1928,1928,1928,1876,-0.18219656314423835,-0.1715440110133831,-0.1388761844787606,-0.11307333598402242,-0.03826874768735058,0.47239263803680925,0.5245901639344261,0.5148514851485143,0.8153846153846155,1.0273972602739723,0.004966666666666667,0.09900000000000003,0.9999999999999999,1.4042654220543602e-24,0.10621702797661027,True,False,e4,e0,0.048999999999999946,0.048999999999999946
A2-B0-C2-r17,273478,271828,3165,0.0,0.38325,0.0,0.027066666666666666,0.07516666666666666,0.18896666666666667,0.38325,0.10800000000000003,0.11000000000000003,0.113,0.12500000000000003,0.143,0.7131303195548702,0.738391999094733,0.7829365667874628,0.7632659205966773,0.8132662763576178,1862,1862,1858,1850,1795,-0.30769268832155294,-0.2874255244306941,-0.2540307657468926,-0.17549550566981426,-0.061262400103154854,0.6231155778894465,0.595238095238095,0.7033492822966508,0.8790697674418604,1.2236842105263157,0.01188333333333333,0.12100000000000004,0.9999999999999999,1.4042654220543602e-24,0.09283776437300172,True,False,e4,e0,0.03499999999999996,0.03499999999999996
A2-B0-C2-r19,273672,271828,3679,0.0,0.48193095238095235,0.0,0.03160714285714286,0.10058809523809524,0.24366666666666667,0.48193095238095235,0.09000000000000002,0.09000000000000002,0.09700000000000003,0.10850000000000003,0.13699999999999998,0.6795908959054064,0.7464078017176521,0.7448338271142306,0.7960349477021701,0.7694978508445254,1958,1958,1955,1941,1908,0.00859151913274491,0.014086428640855905,0.0024625816044672737,-0.011486034839199065,0.005315707695217205,0.4833333333333334,0.4500000000000001,0.4864864864864864,0.6811594202898551,0.96,0.0010047619047619048,0.09050000000000001,0.9746794344808964,0.0048182304681985335,0.09913934290816831,True,False,e4,e0,0.04699999999999996,0.04699999999999996
A2-B0-C2-r20,373769,371828,3706,0.0,0.5161500000000001,0.0,0.038549999999999994,0.11951666666666666,0.27283333333333337,0.5161500000000001,0.08500000000000002,0.08850000000000004,0.09250000000000003,0.10250000000000004,0.13799999999999998,0.5697614620780439,0.6462251050999035,0.5372599276602679,0.5700394937849741,0.665044912303561,1962,1962,1962,1958,1931,-0.046373017008326016,-0.04026013243401129,-0.02757589694230821,-0.01565577202239445,0.001154660556971071,0.381818181818182,0.48837209302325574,0.43749999999999994,0.5362318840579708,1.1159420289855073,0.0023166666666666665,0.08600000000000003,0.9999999999999999,1.4042654220543602e-24,0.10000605819148913,True,False,e4,e0,0.052999999999999964,0.052999999999999964
