metrica,brazo_a,brazo_b,n,media_a,media_b,delta_medio,delta_mediano,delta_rel_pct,n_a_gana,n_b_gana,n_empates,p_signos,p_wilcoxon
fraccion_masa_en_sumideros,c2,azar,12,0.09637500000000003,0.09729166666666668,-0.0009166666666666547,-0.0007499999999999868,-0.9421841541755764,4,7,1,0.548828125,0.5771484375
fraccion_masa_en_sumideros,c2,anticosto,12,0.09637500000000003,0.096625,-0.0002499999999999898,-0.0007499999999999937,-0.25873221216040343,5,7,0,0.7744140625,1.0
fraccion_masa_en_sumideros,c2,soporte,12,0.09637500000000003,0.09741666666666667,-0.001041666666666663,-0.0012499999999999872,-1.0692899914456764,4,8,0,0.3876953125,0.33935546875
fraccion_masa_en_sumideros,c2,antisoporte,12,0.09637500000000003,0.09579166666666668,0.0005833333333333431,0.0010000000000000217,0.6089604175728679,7,5,0,0.7744140625,0.423828125
fraccion_masa_en_sumideros,azar,anticosto,12,0.09729166666666668,0.096625,0.0006666666666666649,0.0005000000000000004,0.689952565761102,6,4,2,0.75390625,0.33203125
fraccion_masa_en_sumideros,azar,soporte,12,0.09729166666666668,0.09741666666666667,-0.00012500000000000822,-0.0005000000000000074,-0.12831479897349005,5,7,0,0.7744140625,1.0
fraccion_masa_en_sumideros,azar,antisoporte,12,0.09729166666666668,0.09579166666666668,0.0014999999999999979,0.0007499999999999937,1.5658982166159177,7,4,1,0.548828125,0.1298828125
fraccion_masa_en_sumideros,anticosto,soporte,12,0.096625,0.09741666666666667,-0.0007916666666666732,-0.0010000000000000148,-0.8126603934987235,4,7,1,0.548828125,0.330078125
fraccion_masa_en_sumideros,anticosto,antisoporte,12,0.096625,0.09579166666666668,0.000833333333333333,0.0004999999999999935,0.8699434536755106,7,3,2,0.34375,0.275390625
fraccion_masa_en_sumideros,soporte,antisoporte,12,0.09741666666666667,0.09579166666666668,0.001625000000000006,0.0012500000000000011,1.6963897346672525,8,2,2,0.109375,0.16015625
kappa_v_agregado,c2,azar,12,0.5655611508725926,0.573383003553721,-0.00782185268112833,0.014862930888594,-1.3641584477827116,7,5,0,0.7744140625,1.0
kappa_v_agregado,c2,anticosto,12,0.5655611508725926,0.5865413679439176,-0.020980217071325084,-0.014712527808676323,-3.5769373172892918,5,7,0,0.7744140625,0.423828125
kappa_v_agregado,c2,soporte,12,0.5655611508725926,0.5903316040552616,-0.024770453182669048,-0.046178062583899504,-4.19602355904873,3,9,0,0.14599609375,0.423828125
kappa_v_agregado,c2,antisoporte,12,0.5655611508725926,0.5718687039358147,-0.006307553063222032,0.0037486064659978946,-1.1029722416720986,7,5,0,0.7744140625,0.90966796875
kappa_v_agregado,azar,anticosto,12,0.573383003553721,0.5865413679439176,-0.013158364390196756,-0.02633883440335072,-2.243382156713437,4,8,0,0.3876953125,0.67724609375
kappa_v_agregado,azar,soporte,12,0.573383003553721,0.5903316040552616,-0.01694860050154072,-0.029506862293748215,-2.871030516596591,5,7,0,0.7744140625,0.4697265625
kappa_v_agregado,azar,antisoporte,12,0.573383003553721,0.5718687039358147,0.0015142996179062969,-0.005261405261405533,0.2647984769028834,6,6,0,1.0,0.791015625
kappa_v_agregado,anticosto,soporte,12,0.5865413679439176,0.5903316040552616,-0.003790236111343964,-0.0014526364856264629,-0.6420520408033509,6,6,0,1.0,0.9697265625
kappa_v_agregado,anticosto,antisoporte,12,0.5865413679439176,0.5718687039358147,0.014672664008103053,0.02224034030485636,2.5657399866648207,6,6,0,1.0,0.6220703125
kappa_v_agregado,soporte,antisoporte,12,0.5903316040552616,0.5718687039358147,0.018462900119447016,0.022799495586380975,3.2285208112243984,8,4,0,0.3876953125,0.6220703125
n_sumideros,c2,azar,12,8.0,8.083333333333334,-0.08333333333333333,0.0,-1.030927835051546,0,1,11,1.0,1.0
n_sumideros,c2,anticosto,12,8.0,8.0,0.0,0.0,0.0,0,0,12,nan,1.0
n_sumideros,c2,soporte,12,8.0,8.083333333333334,-0.08333333333333333,0.0,-1.030927835051546,0,1,11,1.0,1.0
n_sumideros,c2,antisoporte,12,8.0,8.0,0.0,0.0,0.0,0,0,12,nan,1.0
n_sumideros,azar,anticosto,12,8.083333333333334,8.0,0.08333333333333333,0.0,1.0416666666666665,1,0,11,1.0,1.0
n_sumideros,azar,soporte,12,8.083333333333334,8.083333333333334,0.0,0.0,0.0,0,0,12,nan,1.0
n_sumideros,azar,antisoporte,12,8.083333333333334,8.0,0.08333333333333333,0.0,1.0416666666666665,1,0,11,1.0,1.0
n_sumideros,anticosto,soporte,12,8.0,8.083333333333334,-0.08333333333333333,0.0,-1.030927835051546,0,1,11,1.0,1.0
n_sumideros,anticosto,antisoporte,12,8.0,8.0,0.0,0.0,0.0,0,0,12,nan,1.0
n_sumideros,soporte,antisoporte,12,8.083333333333334,8.0,0.08333333333333333,0.0,1.0416666666666665,1,0,11,1.0,1.0
