rule_id,seed,lote,motivo_seleccion,rol_fase5b,K,J,noise,meandeg,kcap,n_nodos,M_pre_poda,n_cut,frac_cortada,M_identico_en_todos,M_final,n_valores_costo_distintos,frac_costo_modal,n_aristas_soporte_ge1,soporte_max,replica_costo_fiel,umbral_costo_p70,c2_reproduce_motor,n_aristas_motor,n_aristas_dif_vs_motor,seed_azar,pendiente_corregida_fase5b_ref,frac_masa_fase5b,solape_c2_azar,solape_c2_anticosto,solape_c2_soporte,solape_c2_antisoporte,M_final_c2,clustering_local_c2,transitividad_c2,n_triangulos_c2,gigante_c2,grado_medio_c2,pendiente_corregida_c2,z_agg_c2,z_sostenido_c2,diams_c2,n_cajas_c2,M_final_azar,clustering_local_azar,transitividad_azar,n_triangulos_azar,gigante_azar,grado_medio_azar,pendiente_corregida_azar,z_agg_azar,z_sostenido_azar,diams_azar,n_cajas_azar,M_final_anticosto,clustering_local_anticosto,transitividad_anticosto,n_triangulos_anticosto,gigante_anticosto,grado_medio_anticosto,pendiente_corregida_anticosto,z_agg_anticosto,z_sostenido_anticosto,diams_anticosto,n_cajas_anticosto,M_final_soporte,clustering_local_soporte,transitividad_soporte,n_triangulos_soporte,gigante_soporte,grado_medio_soporte,pendiente_corregida_soporte,z_agg_soporte,z_sostenido_soporte,diams_soporte,n_cajas_soporte,M_final_antisoporte,clustering_local_antisoporte,transitividad_antisoporte,n_triangulos_antisoporte,gigante_antisoporte,grado_medio_antisoporte,pendiente_corregida_antisoporte,z_agg_antisoporte,z_sostenido_antisoporte,diams_antisoporte,n_cajas_antisoporte,valor_frontera_anticosto,n_estrictas_anticosto,n_relleno_empate_anticosto,n_empatados_en_frontera_anticosto,valor_frontera_soporte,n_estrictas_soporte,n_relleno_empate_soporte,n_empatados_en_frontera_soporte,valor_frontera_antisoporte,n_estrictas_antisoporte,n_relleno_empate_antisoporte,n_empatados_en_frontera_antisoporte,meta5b_existe,meta5b_rule_id_ok,meta5b_seed_ok,meta5b_n_aristas,meta5b_n_aristas_coincide,meta5b_ruta,t_dinamica_s,t_costos_s,t_verif_motor_s,t_clustering_s,t_pendiente_s,carpeta_c2,carpeta_azar,carpeta_anticosto,carpeta_soporte,carpeta_antisoporte,t_ic_s,t_total_s
A2-B0-C2-r9,272702,271828,min_pendiente_lote_271828,I,5,0.493,0.244,4.25,7,2000,4031,92,0.02282312081369387,True,3939,14,0.9712230215827338,33,1.0,True,-0.07294173414226675,True,3939,0,2646300221,0.5562821419510406,0.08050000000000002,0.9771515613099772,0.9766438182279766,0.9774054328509774,0.9791825336379791,3939,0.0012857142857142856,0.0016175776774280514,8,1957,3.939,0.5531006665758372,0.9398511621266321,False,"[10.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1155, 736, 487, 354]",3939,0.0014285714285714284,0.0018213707501349163,9,1958,3.939,0.585885676378408,0.3552303492958204,False,"[11.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1155, 736, 487, 369]",3939,0.0004785714285714285,0.0006084369929691726,3,1959,3.939,0.621546327793719,0.439822578255255,False,"[12.0, 8.0, 7.0, 5.0, 4.0]","[2000, 1150, 754, 509, 352]",3939,0.0018190476190476192,0.002219233355749832,11,1956,3.939,0.667118170564861,0.6191376720888657,False,"[12.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1145, 753, 498, 379]",3939,0.0,0.0,0,1961,3.939,0.5848792303326431,0.3552303492958204,False,"[11.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1153, 749, 505, 358]",-0.07294173414226675,24,68,3915,0.0,0,92,3998,-0.0,33,59,3998,True,True,True,3939,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r9_I/meta_regla.json,2.42,0.03,2.39,0.19,3.69,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r9_f704_c2,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r9_f704_azar,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r9_f704_anticosto,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r9_f704_soporte,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r9_f704_antisoporte,441.28,450.22
A2-B0-C2-r19,273672,271828,mediana_pendiente_lote_271828,III,5,0.341,0.326,4.02,7,2000,3835,156,0.04067796610169491,True,3679,15,0.9546284224250325,36,1.0,True,-0.09696420100767397,True,3679,0,2655713101,0.7198659721923732,0.08700000000000001,0.9586844251155205,0.9575971731448764,0.9586844251155205,0.9627616200054363,3679,0.0010047619047619048,0.001393512425485794,6,1955,3.679,0.6730652317833353,0.1948736042769376,False,"[12.0, 9.0, 7.0, 5.0, 4.0]","[2000, 1166, 732, 520, 391]",3679,0.0015547619047619045,0.0023320895522388058,10,1956,3.679,0.6582689913862282,0.5501039535727573,False,"[13.0, 7.0, 6.0, 5.0, 4.0]","[2000, 1174, 729, 501, 387]",3679,0.0011119047619047619,0.0013999066728884741,6,1956,3.679,0.7405283731594052,0.7605590280261751,False,"[14.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1173, 721, 513, 368]",3679,0.001988095238095238,0.002793512842399317,12,1953,3.679,0.6991179853957847,0.3897472085538741,False,"[13.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1173, 743, 513, 395]",3679,0.0,0.0,0,1954,3.679,0.7142348481979849,0.8140112763658026,False,"[14.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1171, 734, 514, 366]",-0.09696420100767397,18,138,3661,0.0,0,156,3799,-0.0,36,120,3799,True,True,True,3679,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r19_III/meta_regla.json,1.61,0.03,2.04,0.1,2.48,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r19_f704_c2,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r19_f704_azar,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r19_f704_anticosto,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r19_f704_soporte,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r19_f704_antisoporte,368.63,374.99
A2-B0-C2-r14,273187,271828,max_pendiente_lote_271828,III,8,0.567,0.198,5.76,5,2000,3418,122,0.035693387946167346,True,3296,40,0.9470450555880632,108,1.0,True,-0.0748914859610795,True,3296,0,2651006661,0.7728999554058272,0.09900000000000003,0.9654126213592233,0.9629854368932039,0.9638956310679612,0.9778519417475728,3296,0.004966666666666667,0.005912863070539419,19,1926,3.296,0.7893306509717354,1.2626386077878904,False,"[17.0, 11.0, 6.0, 5.0, 5.0]","[2000, 1176, 737, 492, 377]",3296,0.010116666666666668,0.010573235202653675,34,1921,3.296,0.6963511795654602,0.527791685852937,False,"[15.0, 10.0, 7.0, 5.0, 5.0]","[2000, 1186, 752, 494, 376]",3296,0.004416666666666666,0.0049849413230865095,16,1931,3.296,0.7125942848853738,0.7727406598312547,False,"[15.0, 11.0, 7.0, 5.0, 5.0]","[2000, 1185, 748, 491, 372]",3296,0.009883333333333333,0.011206807097644496,36,1924,3.296,0.7409624642244185,1.0176896338095724,False,"[15.0, 12.0, 7.0, 5.0, 5.0]","[2000, 1177, 755, 481, 385]",3296,0.0,0.0,0,1931,3.296,0.8031233278768639,0.3863703299156272,False,"[15.0, 10.0, 7.0, 5.0, 4.0]","[2000, 1179, 748, 500, 387]",-0.0748914859610795,59,63,3237,0.0,0,122,3310,-0.0,108,14,3310,True,True,True,3296,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r14_III/meta_regla.json,1.16,0.02,1.3,0.09,1.58,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r14_f704_c2,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r14_f704_azar,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r14_f704_anticosto,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r14_f704_soporte,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r14_f704_antisoporte,311.88,316.11
A2-B0-C2-r2,372023,371828,min_pendiente_lote_371828,I,5,0.517,0.323,5.74,6,2000,4219,125,0.029627873903768667,True,4094,34,0.958757999525954,90,1.0,True,-0.07212511644336762,True,4094,0,3610111205,0.5395267020843031,0.07600000000000001,0.9706888128969223,0.969467513434294,0.9697117733268197,0.9797264289203713,4094,0.0032333333333333333,0.002970100983433437,15,1971,4.094,0.5528223615799522,0.14142135593730937,False,"[11.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1147, 684, 447, 339]",4094,0.004683333333333334,0.005340189873417721,27,1973,4.094,0.5460356635165777,0.14142135593730937,False,"[11.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1146, 693, 458, 322]",4094,0.001983333333333333,0.002562081198265668,13,1971,4.094,0.5439122536475361,0.14142135593730937,False,"[11.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1146, 683, 456, 320]",4094,0.0054666666666666665,0.00593589236248516,30,1975,4.094,0.5167298158412038,0.2828427118746191,False,"[11.0, 7.0, 6.0, 5.0, 4.0]","[2000, 1144, 682, 451, 322]",4094,0.0,0.0,0,1974,4.094,0.5883212832981268,0.3863703299156272,False,"[12.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1146, 684, 474, 318]",-0.07212511644336762,49,76,4045,0.0,0,125,4129,-0.0,90,35,4129,True,True,True,4094,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r2_I/meta_regla.json,1.87,0.03,1.77,0.21,2.66,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r2_f704_c2,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r2_f704_azar,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r2_f704_anticosto,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r2_f704_soporte,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r2_f704_antisoporte,369.53,376.24
A2-B0-C2-r28,374545,371828,mediana_pendiente_lote_371828,III,6,0.47,0.23,7.76,6,2000,4184,237,0.056644359464627154,True,3947,79,0.9168260038240917,216,2.0,True,-0.09152166719320606,True,3947,0,3634584693,0.7055880853285688,0.08950000000000002,0.9419812515834811,0.9399543957436027,0.9417278946034964,0.9668102356219914,3947,0.010516666666666665,0.0076262452765372725,37,1947,3.947,0.6864755601172486,0.42426406811192885,False,"[13.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1176, 717, 473, 368]",3947,0.013483333333333335,0.012422360248447204,60,1941,3.947,0.7863661827548233,1.272792204185786,False,"[15.0, 10.0, 6.0, 5.0, 4.0]","[2000, 1169, 715, 493, 363]",3947,0.006516666666666666,0.007178996307944756,35,1936,3.947,0.7291084336707532,0.7778174581802022,False,"[14.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1168, 725, 493, 394]",3947,0.015933333333333334,0.015107615894039736,73,1940,3.947,0.6915437949955423,0.7778174581802022,False,"[14.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1177, 731, 481, 356]",3947,0.0,0.0,0,1942,3.947,0.7113217851684518,0.7778174581802022,False,"[14.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1170, 712, 490, 374]",-0.09152166719320606,111,126,3836,0.0,0,237,3968,-0.0,216,21,3968,True,True,True,3947,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r28_III/meta_regla.json,1.32,0.03,1.2,0.09,1.77,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r28_f704_c2,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r28_f704_azar,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r28_f704_anticosto,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r28_f704_soporte,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r28_f704_antisoporte,311.35,315.89
A2-B0-C2-r20,373769,371828,max_pendiente_lote_371828,III,5,0.302,0.292,4.7,6,2000,3883,177,0.045583311872263714,True,3706,26,0.9454030388874581,65,2.0,True,-0.09982464111138473,True,3706,0,3627054389,0.7745872074489132,0.08650000000000002,0.9543982730706961,0.9522396114409066,0.9538586076632488,0.9619535887749595,3706,0.0023166666666666665,0.0028945887271850123,12,1968,3.706,0.7081758225701758,0.3863703299156276,False,"[14.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1161, 713, 467, 350]",3706,0.00405,0.00481270554263255,20,1967,3.706,0.6548684162219833,0.28284271187461874,False,"[13.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1155, 725, 482, 351]",3706,0.0021333333333333334,0.002412739263310278,10,1967,3.706,0.5911400385650599,1.3763198214767935,False,"[11.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1157, 721, 466, 351]",3706,0.004166666666666667,0.005283804339124169,22,1964,3.706,0.5980483596828989,1.3763198214767935,False,"[11.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1164, 718, 488, 351]",3706,0.0,0.0,0,1967,3.706,0.546474417340981,1.3763198214767935,False,"[11.0, 7.0, 6.0, 5.0, 4.0]","[2000, 1159, 715, 477, 358]",-0.09982464111138473,35,142,3671,0.0,0,177,3818,-0.0,65,112,3818,True,True,True,3706,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r20_III/meta_regla.json,0.54,0.01,0.61,0.04,0.83,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r20_f704_c2,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r20_f704_azar,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r20_f704_anticosto,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r20_f704_soporte,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-r20_f704_antisoporte,178.4,180.47
A2-B0-C2-batch3-r9,472702,471828,min_pendiente_lote_471828,I,7,0.343,0.205,6.02,6,2000,4254,185,0.04348848142924307,True,4069,47,0.9417019275975552,125,2.0,True,-0.0874847664506894,True,4069,0,4587100221,0.47896094159125624,0.07650000000000001,0.9565003686409437,0.954534283607766,0.9557630867535021,0.9700172032440403,4069,0.0037333333333333333,0.003999200159968006,20,1966,4.069,0.5245653759654894,0.4949747460055832,False,"[11.0, 7.0, 6.0, 5.0, 4.0]","[2000, 1148, 682, 462, 330]",4069,0.0076500000000000005,0.00819890681242501,41,1966,4.069,0.6409596052218294,0.7778174580302023,False,"[12.0, 8.0, 6.0, 4.0, 4.0]","[2000, 1151, 687, 440, 330]",4069,0.0034333333333333334,0.0039946737683089215,20,1966,4.069,0.6071010355251576,0.6363961020928925,False,"[12.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1153, 680, 469, 347]",4069,0.007666666666666667,0.008430913348946136,42,1963,4.069,0.5527324083077546,0.42426406796192834,False,"[11.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1150, 689, 460, 332]",4069,0.0,0.0,0,1964,4.069,0.52114237602375,0.4949747460055832,False,"[11.0, 7.0, 6.0, 5.0, 4.0]","[2000, 1152, 697, 461, 325]",-0.0874847664506894,63,122,4006,0.0,0,185,4129,-0.0,125,60,4129,True,True,True,4069,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r9_I/meta_regla.json,1.75,0.04,1.98,0.14,2.65,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch3-r9_f704_c2,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch3-r9_f704_azar,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch3-r9_f704_anticosto,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch3-r9_f704_soporte,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch3-r9_f704_antisoporte,368.96,375.64
A2-B0-C2-batch3-r21,473866,471828,mediana_pendiente_lote_471828,III,6,0.346,0.134,5.31,5,2000,3432,124,0.03613053613053613,True,3308,27,0.9525058275058275,66,1.0,True,-0.08661986608440349,True,3308,0,4598395677,0.7248004383475681,0.09650000000000004,0.9640266021765417,0.9625151148730351,0.963422007255139,0.9709794437726723,3308,0.0037166666666666667,0.0034066274388355527,11,1918,3.308,0.7339741044258867,0.9141620157685638,False,"[14.0, 9.0, 7.0, 5.0, 4.0]","[2000, 1186, 743, 502, 375]",3308,0.005083333333333334,0.005556127173577528,18,1917,3.308,0.6362661635541718,1.3384260835804924,False,"[12.0, 8.0, 7.0, 5.0, 4.0]","[2000, 1184, 747, 506, 382]",3308,0.0017833333333333332,0.0024688818022837156,8,1916,3.308,0.736595789598028,0.9141620157685638,False,"[14.0, 9.0, 7.0, 5.0, 4.0]","[2000, 1183, 742, 508, 375]",3308,0.00675,0.006798516687268232,22,1917,3.308,0.6508170117301778,0.669213041790246,False,"[13.0, 9.0, 7.0, 6.0, 4.0]","[2000, 1184, 747, 506, 375]",3308,0.0,0.0,0,1918,3.308,0.8080479482068134,1.0176896338095724,False,"[15.0, 10.0, 7.0, 5.0, 4.0]","[2000, 1185, 742, 517, 386]",-0.08661986608440349,39,85,3269,0.0,0,124,3366,-0.0,66,58,3366,True,True,True,3308,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r21_III/meta_regla.json,1.18,0.01,1.11,0.06,1.46,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch3-r21_f704_c2,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch3-r21_f704_azar,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch3-r21_f704_anticosto,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch3-r21_f704_soporte,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch3-r21_f704_antisoporte,311.48,315.37
A2-B0-C2-batch3-r100,481529,471828,max_pendiente_lote_471828,I,5,0.569,0.195,6.61,4,2000,2457,83,0.03378103378103378,True,2374,54,0.9340659340659341,137,2.0,True,-0.052816959895177124,True,2374,0,4672757429,1.2549922266543088,0.14999999999999994,0.966301600673968,0.9650379106992418,0.9650379106992418,0.9793597304128054,2374,0.0165,0.014891179839633447,26,1689,2.374,1.2879122335233364,1.738656402226725,False,"[25.0, 17.0, 8.0, 7.0, 5.0]","[2000, 1286, 868, 659, 574]",2374,0.024583333333333332,0.024850703140050088,43,1672,2.374,1.2508081662490262,1.3143923344147965,False,"[25.0, 17.0, 9.0, 7.0, 5.0]","[2000, 1283, 859, 656, 552]",2374,0.010833333333333334,0.010785241248817409,19,1675,2.374,1.2331077114821174,1.738656402226725,False,"[25.0, 17.0, 8.0, 8.0, 5.0]","[2000, 1290, 883, 652, 577]",2374,0.026749999999999996,0.026985645933014352,47,1670,2.374,1.304663426583412,1.8359892548578145,False,"[26.0, 17.0, 8.0, 7.0, 5.0]","[2000, 1292, 878, 662, 563]",2374,0.0013333333333333335,0.0011443829868395957,2,1689,2.374,1.28360876359032,1.738656402226725,False,"[25.0, 17.0, 8.0, 7.0, 5.0]","[2000, 1284, 879, 656, 572]",-0.052816959895177124,79,4,2295,0.0,0,83,2320,-1.0,4,79,133,True,True,True,2374,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r100_I/meta_regla.json,0.49,0.01,0.53,0.03,0.63,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch3-r100_f704_c2,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch3-r100_f704_azar,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch3-r100_f704_anticosto,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch3-r100_f704_soporte,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch3-r100_f704_antisoporte,178.39,180.12
A2-B0-C2-batch4-r18,573575,571828,min_pendiente_lote_571828,I,5,0.364,0.321,6.05,6,2000,4191,205,0.04891434025292293,True,3986,32,0.9415413982343116,79,2.0,True,-0.10205377415042814,True,3986,0,5565971813,0.5348611955256038,0.08200000000000002,0.9510787757150025,0.9485699949824385,0.9500752634219769,0.9588559959859508,3986,0.0029500000000000004,0.002729181245626312,13,1971,3.986,0.562515762560359,0.5656854237492379,False,"[12.0, 7.0, 6.0, 5.0, 4.0]","[2000, 1153, 685, 454, 330]",3986,0.005716666666666667,0.005263157894736842,25,1975,3.986,0.5948013757290326,0.42426406781192816,False,"[12.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1144, 694, 450, 337]",3986,0.0034,0.0027376105573494315,13,1978,3.986,0.5705350338642573,0.5656854237492379,False,"[12.0, 7.0, 6.0, 5.0, 4.0]","[2000, 1144, 677, 453, 341]",3986,0.005833333333333333,0.005692199578355587,27,1973,3.986,0.5791661019482962,0.42426406781192816,False,"[12.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1145, 696, 453, 314]",3986,0.0,0.0,0,1976,3.986,0.5901467511577816,0.42426406781192816,False,"[12.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1147, 687, 458, 327]",-0.10205377415042814,40,165,3946,0.0,0,205,4112,-0.0,79,126,4112,True,True,True,3986,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r18_I/meta_regla.json,1.71,0.06,1.89,0.16,2.47,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch4-r18_f704_c2,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch4-r18_f704_azar,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch4-r18_f704_anticosto,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch4-r18_f704_soporte,/Users/alexis/phantom_cs073/bateria_fase7_f704_cortar_bien/A2-B0-C2-batch4-r18_f704_antisoporte,370.08,376.52
