rule_id,seed,lote,n_cut,suma_grados,grado_medio,std_grado_c2,std_grado_azar,std_grado_anticosto,std_grado_soporte,std_grado_antisoporte,n_nodos_grado_distinto_c2_vs_azar,frac_nodos_grado_distinto_c2_vs_azar,media_abs_dgrado_c2_vs_azar,max_abs_dgrado_c2_vs_azar,spearman_grados_c2_vs_azar,n_nodos_grado_distinto_c2_vs_anticosto,frac_nodos_grado_distinto_c2_vs_anticosto,media_abs_dgrado_c2_vs_anticosto,max_abs_dgrado_c2_vs_anticosto,spearman_grados_c2_vs_anticosto,n_nodos_grado_distinto_c2_vs_soporte,frac_nodos_grado_distinto_c2_vs_soporte,media_abs_dgrado_c2_vs_soporte,max_abs_dgrado_c2_vs_soporte,spearman_grados_c2_vs_soporte,n_nodos_grado_distinto_c2_vs_antisoporte,frac_nodos_grado_distinto_c2_vs_antisoporte,media_abs_dgrado_c2_vs_antisoporte,max_abs_dgrado_c2_vs_antisoporte,spearman_grados_c2_vs_antisoporte
A2-B0-C2-r9,272702,271828,92,7878,3.939,1.8056242687779758,1.8020208100907158,1.7931199067547043,1.8147393752271976,1.7967412167588297,326,0.163,0.173,3,0.9706057337121742,316,0.158,0.178,2,0.9667838978939537,315,0.1575,0.171,3,0.9707062240964546,283,0.1415,0.155,3,0.9718878562076051
A2-B0-C2-r19,273672,271828,156,7358,3.679,1.7495596588856295,1.7343468511229234,1.7326162298674221,1.7409649623125676,1.7435478198202652,487,0.2435,0.269,3,0.9491077113090564,483,0.2415,0.268,3,0.9475547321667204,469,0.2345,0.258,3,0.9502179669399677,456,0.228,0.249,2,0.9524836965454215
A2-B0-C2-r14,273187,271828,122,6592,3.296,1.4395777158597587,1.4420069347960849,1.4357520677331446,1.438535366266676,1.4427002460663823,356,0.178,0.208,3,0.9239532207056099,347,0.1735,0.231,3,0.9006203024125768,377,0.1885,0.221,3,0.9181767278023505,222,0.111,0.143,3,0.9421770125511045
A2-B0-C2-r2,372023,371828,125,8188,4.094,1.576123091639736,1.5815068763682312,1.5984880356136544,1.5796088123329777,1.5827709878564238,388,0.194,0.222,4,0.9321451980575973,357,0.1785,0.228,4,0.9236699156280397,405,0.2025,0.232,4,0.9278652287442958,267,0.1335,0.157,3,0.9526399064484982
A2-B0-C2-r28,374545,371828,237,7894,3.947,1.7097341898669511,1.6906185258656075,1.7303730811590892,1.6923920940491302,1.738157357663569,636,0.318,0.385,4,0.8828024458427296,594,0.297,0.411,5,0.8659356066607685,643,0.3215,0.394,4,0.8801003945658915,380,0.19,0.245,4,0.9307809384255603
A2-B0-C2-r20,373769,371828,177,7412,3.706,1.5519548962518208,1.5615902151332788,1.5509880721656115,1.5692558746106384,1.5561375260561003,519,0.2595,0.291,4,0.923814067637601,519,0.2595,0.31,4,0.9104660411113487,536,0.268,0.305,4,0.9188433908418708,434,0.217,0.25,4,0.9322887827372932
A2-B0-C2-batch3-r9,472702,471828,185,8138,4.069,1.5859505036412707,1.585635203948247,1.591301040029824,1.567558292377033,1.6084896642502866,536,0.268,0.318,4,0.9003488563206906,513,0.2565,0.328,4,0.8900648571516624,543,0.2715,0.319,4,0.8990916481767915,379,0.1895,0.227,4,0.9329338126182867
A2-B0-C2-batch3-r21,473866,471828,124,6616,3.308,1.4325278356806894,1.4436536980869064,1.4443462188824396,1.439838879875106,1.4474584622710251,392,0.196,0.216,3,0.9255301949420105,390,0.195,0.231,3,0.910651703634191,400,0.2,0.218,3,0.9243371109448397,323,0.1615,0.182,2,0.9373556080834082
A2-B0-C2-batch3-r100,481529,471828,83,4748,2.374,1.4057467766279956,1.3889290838628154,1.4223656351304328,1.401115270061675,1.4075240672897924,252,0.126,0.156,3,0.9381747490981521,180,0.09,0.159,4,0.9200615145809659,262,0.131,0.162,2,0.9381487530053021,150,0.075,0.096,3,0.9633266321825162
A2-B0-C2-batch4-r18,573575,571828,205,7972,3.986,1.545252082994875,1.532254548043503,1.5309487254640504,1.5257142589620116,1.5446048038252373,585,0.2925,0.337,3,0.9009531810802578,595,0.2975,0.352,4,0.8919212782081933,619,0.3095,0.352,3,0.8975072649441407,518,0.259,0.288,3,0.9205144119938562
A2-B0-C2-batch4-r43,576000,571828,119,6538,3.269,1.363319111580264,1.3622184112689126,1.3666158933657986,1.3559642325666266,1.3618513134700132,384,0.192,0.217,3,0.9197248786061675,373,0.1865,0.223,3,0.9112368665610376,370,0.185,0.211,3,0.9214616807600755,287,0.1435,0.165,3,0.9389848889805534
A2-B0-C2-batch4-r51,576776,571828,109,4966,2.483,1.2925598632171742,1.2816828780942655,1.283631956598152,1.2859669513638365,1.3098515183027426,349,0.1745,0.201,3,0.9177056730385574,318,0.159,0.205,3,0.9045288937373428,344,0.172,0.201,3,0.9162952073240928,216,0.108,0.132,2,0.9443350926930244
