rule_id,lote,seed,K,kcap,M_pre_poda,n_cut,aristas_c2,aristas_azar,aristas_anticosto,aristas_soporte,aristas_antisoporte,M_identico_en_los_5,fraccion_masa_en_sumideros_c2,kappa_v_agregado_c2,n_sumideros_c2,masa_acretada_total_c2,clustering_c2,pendiente_c2,fraccion_masa_en_sumideros_azar,kappa_v_agregado_azar,n_sumideros_azar,masa_acretada_total_azar,clustering_azar,pendiente_azar,fraccion_masa_en_sumideros_anticosto,kappa_v_agregado_anticosto,n_sumideros_anticosto,masa_acretada_total_anticosto,clustering_anticosto,pendiente_anticosto,fraccion_masa_en_sumideros_soporte,kappa_v_agregado_soporte,n_sumideros_soporte,masa_acretada_total_soporte,clustering_soporte,pendiente_soporte,fraccion_masa_en_sumideros_antisoporte,kappa_v_agregado_antisoporte,n_sumideros_antisoporte,masa_acretada_total_antisoporte,clustering_antisoporte,pendiente_antisoporte,d_frac_masa_c2_menos_azar,d_frac_masa_c2_menos_anticosto,d_frac_masa_c2_menos_soporte,d_frac_masa_c2_menos_antisoporte,orden_c2_gt_azar_gt_anticosto,orden_c2_gt_azar_gt_antisoporte,orden_soporte_gt_azar_gt_antisoporte
A2-B0-C2-batch3-r100,471828,481529,5,4,2457,83,2374,2374,2374,2374,2374,True,0.15199999999999997,1.375,8,2857.6000000000004,0.0165,1.2879122335233364,0.14999999999999994,1.333333333333333,8,2820.0000000000005,0.024583333333333332,1.2508081662490262,0.15099999999999997,1.3424657534246576,8,2838.7999999999997,0.010833333333333334,1.2331077114821174,0.14849999999999997,1.2444444444444438,8,2791.8,0.026749999999999996,1.304663426583412,0.15049999999999994,1.3739130434782603,8,2829.4,0.0013333333333333335,1.28360876359032,0.0020000000000000295,0.0010000000000000009,0.003500000000000003,0.001500000000000029,False,False,False
A2-B0-C2-batch3-r21,471828,473866,6,5,3432,124,3308,3308,3308,3308,3308,True,0.09750000000000003,0.5483870967741936,8,1833.0,0.0037166666666666667,0.7339741044258867,0.10050000000000002,0.5925925925925919,8,1889.4,0.005083333333333334,0.6362661635541718,0.09900000000000003,0.5,8,1861.2,0.0017833333333333332,0.736595789598028,0.10350000000000005,0.6153846153846154,8,1945.8000000000002,0.00675,0.6508170117301778,0.09700000000000002,0.44776119402985076,8,1823.6000000000001,0.0,0.8080479482068134,-0.002999999999999989,-0.0015000000000000013,-0.006000000000000019,0.0005000000000000143,False,False,True
A2-B0-C2-batch3-r9,471828,472702,7,6,4254,185,4069,4069,4069,4069,4069,True,0.07450000000000002,0.3829787234042555,8,1400.6000000000001,0.0037333333333333333,0.5245653759654894,0.07800000000000001,0.35294117647058804,8,1466.3999999999996,0.0076500000000000005,0.6409596052218294,0.07950000000000002,0.4528301886792453,8,1494.6,0.0034333333333333334,0.6071010355251576,0.07650000000000001,0.3076923076923076,8,1438.1999999999998,0.007666666666666667,0.5527324083077546,0.07650000000000001,0.27999999999999986,8,1438.1999999999998,0.0,0.52114237602375,-0.0034999999999999892,-0.0049999999999999906,-0.001999999999999988,-0.001999999999999988,False,False,False
A2-B0-C2-batch4-r18,571828,573575,5,6,4191,205,3986,3986,3986,3986,3986,True,0.08200000000000002,0.3773584905660377,8,1541.6,0.0029500000000000004,0.562515762560359,0.07800000000000001,0.4807692307692307,8,1466.3999999999999,0.005716666666666667,0.5948013757290326,0.07700000000000001,0.30188679245283,8,1447.5999999999997,0.0034,0.5705350338642573,0.07850000000000003,0.44594594594594594,8,1475.8,0.005833333333333333,0.5791661019482962,0.07700000000000001,0.4315068493150683,8,1447.6,0.0,0.5901467511577816,0.0040000000000000036,0.0050000000000000044,0.0034999999999999892,0.0050000000000000044,True,True,True
A2-B0-C2-batch4-r43,571828,576000,7,5,3388,119,3269,3269,3269,3269,3269,True,0.09200000000000003,0.42187500000000006,8,1729.6000000000001,0.0020499999999999997,0.7393344988081424,0.098,0.6174863387978138,8,1842.4,0.0044666666666666665,0.620931557411937,0.09300000000000001,0.5000000000000001,8,1748.4,0.002433333333333333,0.7401566902083312,0.09600000000000003,0.5762711864406779,8,1804.8,0.0045,0.7538732943544552,0.08800000000000001,0.4098360655737705,8,1654.4,0.0,0.7494517436982963,-0.005999999999999978,-0.000999999999999987,-0.0040000000000000036,0.004000000000000017,False,False,False
A2-B0-C2-batch4-r51,571828,576776,8,4,2592,109,2483,2483,2483,2483,2483,True,0.13849999999999998,1.1927083333333324,8,2603.7999999999997,0.009083333333333332,1.0059268047621233,0.1455,1.0952380952380942,9,2735.4,0.015416666666666667,0.9886449397802648,0.14449999999999996,1.3428571428571427,8,2716.6,0.009166666666666667,1.0081947288932736,0.14399999999999996,1.1936936936936933,9,2707.2000000000003,0.017583333333333333,1.084996828831628,0.14399999999999996,1.365,8,2707.2000000000003,0.0,1.056481234539111,-0.007000000000000006,-0.005999999999999978,-0.005499999999999977,-0.005499999999999977,False,False,False
A2-B0-C2-r14,271828,273187,8,5,3418,122,3296,3296,3296,3296,3296,True,0.09750000000000003,0.5156249999999999,8,1833.0,0.004966666666666667,0.7893306509717354,0.09950000000000002,0.5047619047619042,8,1870.6,0.010116666666666668,0.6963511795654602,0.09950000000000002,0.5161290322580644,8,1870.6000000000001,0.004416666666666666,0.7125942848853738,0.10000000000000003,0.5409836065573771,8,1880.0000000000002,0.009883333333333333,0.7409624642244185,0.09900000000000003,0.5230769230769229,8,1861.2000000000003,0.0,0.8031233278768639,-0.001999999999999988,-0.001999999999999988,-0.0025000000000000022,-0.0015000000000000013,False,False,True
A2-B0-C2-r19,271828,273672,5,7,3835,156,3679,3679,3679,3679,3679,True,0.08850000000000004,0.3898305084745762,8,1663.8,0.0010047619047619048,0.6730652317833353,0.08900000000000002,0.3709677419354839,8,1673.2,0.0015547619047619045,0.6582689913862282,0.08650000000000002,0.30481283422459876,8,1626.2,0.0011119047619047619,0.7405283731594052,0.09050000000000001,0.5084745762711865,8,1701.4,0.001988095238095238,0.6991179853957847,0.08900000000000004,0.39285714285714285,8,1673.1999999999998,0.0,0.7142348481979849,-0.0004999999999999866,0.0020000000000000157,-0.001999999999999974,-0.0005000000000000004,False,False,False
A2-B0-C2-r2,371828,372023,5,6,4219,125,4094,4094,4094,4094,4094,True,0.07650000000000001,0.33333333333333304,8,1438.1999999999998,0.0032333333333333333,0.5528223615799522,0.07650000000000001,0.38461538461538464,8,1438.2,0.004683333333333334,0.5460356635165777,0.07700000000000001,0.4259259259259259,8,1447.6,0.001983333333333333,0.5439122536475361,0.07700000000000001,0.4339622641509433,8,1447.6,0.0054666666666666665,0.5167298158412038,0.07350000000000002,0.326923076923077,8,1381.8,0.0,0.5883212832981268,0.0,-0.0005000000000000004,-0.0005000000000000004,0.002999999999999989,False,False,True
A2-B0-C2-r20,371828,373769,5,6,3883,177,3706,3706,3706,3706,3706,True,0.08500000000000002,0.3502824858757061,8,1598.0,0.0023166666666666665,0.7081758225701758,0.08200000000000002,0.35668789808917173,8,1541.6,0.00405,0.6548684162219833,0.08300000000000002,0.42331288343558277,8,1560.3999999999999,0.0021333333333333334,0.5911400385650599,0.0855,0.41818181818181827,8,1607.4,0.004166666666666667,0.5980483596828989,0.08300000000000002,0.5,8,1560.3999999999999,0.0,0.546474417340981,0.0030000000000000027,0.0020000000000000018,-0.0004999999999999866,0.0020000000000000018,False,False,False
