carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,brazo,lote,M_pre_poda,n_cut,n_aristas_brazo,grado_medio,clustering_local,transitividad,pendiente_corregida
A2-B0-C2-batch3-r100_f704_anticosto,A2-B0-C2-batch3-r100,,481529,5,0.569,0.195,6.61,4,2374,,2000,cosmog_00500,15961.2,2838.7999999999993,18800.0,0.15099999999999997,8,0.035,2838.7999999999997,1.3424657534246576,1.344854797979798,0,anticosto,471828,2457,83,2374,2.374,0.010833333333333334,0.010785241248817409,1.2331077114821174
A2-B0-C2-batch3-r100_f704_antisoporte,A2-B0-C2-batch3-r100,,481529,5,0.569,0.195,6.61,4,2374,,2000,cosmog_00500,15970.6,2829.3999999999987,18800.0,0.15049999999999994,8,0.035,2829.4,1.3739130434782603,1.3885074705387197,0,antisoporte,471828,2457,83,2374,2.374,0.0013333333333333335,0.0011443829868395957,1.28360876359032
A2-B0-C2-batch3-r100_f704_azar,A2-B0-C2-batch3-r100,,481529,5,0.569,0.195,6.61,4,2374,,2000,cosmog_00500,15980.0,2819.999999999999,18800.0,0.14999999999999994,8,0.032,2820.0000000000005,1.333333333333333,1.3333333333333333,0,azar,471828,2457,83,2374,2.374,0.024583333333333332,0.024850703140050088,1.2508081662490262
A2-B0-C2-batch3-r100_f704_c2,A2-B0-C2-batch3-r100,,481529,5,0.569,0.195,6.61,4,2374,,2000,cosmog_00500,15942.400000000001,2857.5999999999995,18800.0,0.15199999999999997,8,0.028,2857.6000000000004,1.375,1.3725694444444443,0,c2,471828,2457,83,2374,2.374,0.0165,0.014891179839633447,1.2879122335233364
A2-B0-C2-batch3-r100_f704_soporte,A2-B0-C2-batch3-r100,,481529,5,0.569,0.195,6.61,4,2374,,2000,cosmog_00500,16008.2,2791.7999999999993,18800.0,0.14849999999999997,8,0.031,2791.8,1.2444444444444438,1.2607804232804227,0,soporte,471828,2457,83,2374,2.374,0.026749999999999996,0.026985645933014352,1.304663426583412
A2-B0-C2-batch3-r21_f704_anticosto,A2-B0-C2-batch3-r21,,473866,6,0.346,0.134,5.31,5,3308,,2000,cosmog_00500,16938.8,1861.2000000000007,18800.0,0.09900000000000003,8,0.036,1861.2,0.5,0.5111607142857142,0,anticosto,471828,3432,124,3308,3.308,0.0017833333333333332,0.0024688818022837156,0.736595789598028
A2-B0-C2-batch3-r21_f704_antisoporte,A2-B0-C2-batch3-r21,,473866,6,0.346,0.134,5.31,5,3308,,2000,cosmog_00500,16976.4,1823.6000000000006,18800.000000000004,0.09700000000000002,8,0.038,1823.6000000000001,0.44776119402985076,0.45952380952380945,0,antisoporte,471828,3432,124,3308,3.308,0.0,0.0,0.8080479482068134
A2-B0-C2-batch3-r21_f704_azar,A2-B0-C2-batch3-r21,,473866,6,0.346,0.134,5.31,5,3308,,2000,cosmog_00500,16910.600000000002,1889.4000000000008,18800.000000000004,0.10050000000000002,8,0.037,1889.4,0.5925925925925919,0.5912698412698405,0,azar,471828,3432,124,3308,3.308,0.005083333333333334,0.005556127173577528,0.6362661635541718
A2-B0-C2-batch3-r21_f704_c2,A2-B0-C2-batch3-r21,,473866,6,0.346,0.134,5.31,5,3308,,2000,cosmog_00500,16967.0,1833.0000000000007,18800.0,0.09750000000000003,8,0.042,1833.0,0.5483870967741936,0.5486111111111112,0,c2,471828,3432,124,3308,3.308,0.0037166666666666667,0.0034066274388355527,0.7339741044258867
A2-B0-C2-batch3-r21_f704_soporte,A2-B0-C2-batch3-r21,,473866,6,0.346,0.134,5.31,5,3308,,2000,cosmog_00500,16854.2,1945.8000000000009,18800.0,0.10350000000000005,8,0.033,1945.8000000000002,0.6153846153846154,0.6148313492063492,0,soporte,471828,3432,124,3308,3.308,0.00675,0.006798516687268232,0.6508170117301778
