bloque,variable,etiqueta,n,pearson,p_pearson,spearman,p_spearman
crudo_global,dens,densidad (grado medio 2E/N),254,-0.8288372611706354,1.6795169124992478e-65,-0.9283152650180048,2.8121258179749664e-110
crudo_global,n_aristas,nº de aristas,254,-0.24423505041631555,8.389488998591428e-05,-0.6070453443955076,5.772938383802306e-27
crudo_global,geo,"geometría inicial (FoF b=0.30, masa en grumos)",254,0.8099926934392323,2.4197676346631723e-60,0.9158376950884081,7.597671817301464e-102
crudo_global,geo_cv,geometría inicial (CV de densidad local k=8),254,-0.1049060768628048,0.0952586897714089,-0.5853902624906367,9.329946307013553e-25
crudo_global,geoIC_fof_b0.20,geometría inicial (FoF b=0.20),254,0.83833964629931,2.3897800810872133e-68,0.9407628419939519,2.2830163362165967e-120
crudo_global,geoIC_knn8_p90_med,geometría inicial (p90/mediana densidad local),254,0.26885196774251396,1.3997189050273545e-05,0.2835301515305823,4.411305570048312e-06
crudo_global,pend,pendiente corregida,217,0.1396516823702145,0.039840492104744364,0.6934393103541345,1.9289836416730848e-32
crudo_global,clus,clustering local medio,24,0.5175474449431199,0.009592429277644468,0.23831268230249728,0.26211065773864395
crudo_global,holon,holonomía del grafo final,135,-0.01604112815038914,0.8534958817375586,0.10105350975740042,0.24353138816434766
crudo_global,diam,diámetro corregido,222,0.40769909073345045,2.668848890589363e-10,0.6241780371939665,2.236919575144938e-25
crudo_global,giant,fracción en componente gigante,193,-0.9156183851568316,1.6439355582630532e-77,-0.970733954372303,2.807742989164974e-120
crudo_global,kcap,kcap (tope de capacidad),246,-0.7436520964699903,1.4802901512926417e-44,-0.8063626803215393,1.3905766603132442e-57
crudo_global,K,K,246,0.15434843307336663,0.015390020737950054,0.17709076940988772,0.00534513425522056
colinealidad,dens|pend,,217,-0.17526818120904158,0.00968139762550126,-0.6803550731557663,7.631188242867968e-31
colinealidad,dens|geo,,254,-0.9945149728028798,4.161075291911129e-249,-0.984864590254801,7.956789779413688e-194
colinealidad,dens|geo_cv,,254,0.4993365485963612,2.011328964287922e-17,0.7606774093894833,3.3571552370622705e-49
colinealidad,dens|clus,,24,-0.3614525875018288,0.08266136565534611,-0.06451634970881942,0.764555787324896
colinealidad,pend|geo,,217,0.18820760274894438,0.005413207524513142,0.6726171147713703,6.147559164901809e-30
colinealidad,pend|clus,,24,0.4931675202901966,0.014335428480257808,0.27304347826086955,0.19673072289025423
colinealidad,geo|clus,,24,0.33639919220706627,0.10799258083664948,0.011304347826086955,0.9581901628011082
colinealidad,dens|kcap,,246,0.8706059039080338,4.00702023986713e-77,0.8526580318658168,9.620906824946734e-71
colinealidad,geo|geo_cv,,254,-0.47921652051790214,5.464187006739562e-16,-0.7399121569658642,2.765642286282018e-45
colinealidad,dens|holon,,135,-0.1398620722401294,0.10568375985827085,-0.2197492656164522,0.010440259848466383
colinealidad,pend|holon,,109,0.13176611155249215,0.17200749667570836,0.2665458850809125,0.005084814776763287
