exp,diseno,rule_id,seed,clase,brazo,N_nodos,K,kcap,J,noise,meandeg,n_aristas,grado_medio,clustering,transitividad,n_triangulos,holon,giant,diam,pendiente,frac_masa,masa_acretada,kappa_v,n_sumideros,t_primer_sumidero,carpeta,densidad,geo_sepmedia,geo_fof020,geo_ngrupos020,geo_fof030,geo_ngrupos030,geo_fof050,geo_densk8cv,geo_o4a_fof06,geo_o4a_fof10,geo_o4a_ngrupos06,geo_o4a_knn100x,geo_o4a_knn1000x,geo_o4a_sin_verificar_seed,base,geoIC_fof_b0.20,geoIC_ngrupos_b0.20,geoIC_fof_b0.30,geoIC_ngrupos_b0.30,geoIC_fof_b0.50,geoIC_ngrupos_b0.50,geoIC_knn8_cv,geoIC_knn8_p90_med,masa_particula,lado_nube,n_aristas_cabecera,bateria_raiz
F5B_40pares,pareado,A2-B0-C2-batch3-r0,471829.0,III,unico,2000,5.0,4.0,0.413,0.225,6.59,2308.0,2.308,,,,,0.8405,19.0,1.0889055843285775,0.1504999999999999,2829.4,1.2938596491228065,8,0.029,A2-B0-C2-batch3-r0_III,0.0011545772886443,7.745961543236626,0.796,45.0,0.8119999999999873,4.0,0.818999999999978,3.9666516405061336,,,,,,False,A2-B0-C2-batch3-r0_III,0.796,45,0.8119999999999873,4,0.818999999999978,1,3.9666516405061336,12.29027384118658,9.4,97.5930029872187,2308.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r1,471926.0,I,unico,2000,7.0,6.0,0.531,0.171,5.85,4038.0,4.038,,,,,0.9905,11.0,0.5443072908377857,0.078,1466.4,0.42,8,0.052,A2-B0-C2-batch3-r1_I,0.0020200100050025,,,,,,,,,,,,,False,A2-B0-C2-batch3-r1_I,0.4029999999999998,70,0.5304999999999994,42,0.563499999999988,2,4.479118866433876,8.106073357008938,9.4,97.59297675402505,4038.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r10,472799.0,III,unico,2000,7.0,5.0,0.524,0.164,7.54,3126.0,3.126,,,,,0.927,16.0,0.806767442496431,0.12,2256.0,0.8823529411764706,8,0.034,A2-B0-C2-batch3-r10_III,0.0015637818909454,,,,,,,,,,,,,False,A2-B0-C2-batch3-r10_III,0.6109999999999994,65,0.6840000000000017,12,0.6954999999999828,1,4.242689456873264,15.34903264200662,9.4,97.59304116801827,3126.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r100,481529.0,I,unico,2000,5.0,4.0,0.569,0.195,6.61,2374.0,2.374,,,,,0.8445,1.0,1.2549922266543088,0.1499999999999999,2820.0,1.3287671232876717,8,0.032,A2-B0-C2-batch3-r100_I,0.0011875937968984,7.745961543236626,0.7789999999999998,49.0,0.8004999999999892,5.0,0.8064999999999785,3.991864958894243,,,,,,False,A2-B0-C2-batch3-r100_I,0.7789999999999998,49,0.8004999999999892,5,0.8064999999999785,1,3.991864958894243,13.658652773574142,9.4,97.59296742518222,2374.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r104,481917.0,I,unico,2000,6.0,5.0,0.41,0.11,5.38,3344.0,3.344,,,,,0.966,13.0,0.6941227678174903,0.0985,1851.8,0.5230769230769231,8,0.04,A2-B0-C2-batch3-r104_I,0.0016728364182091,,,,,,,,0.164,0.472,47.0,0.094,0.0465,True,A2-B0-C2-batch3-r104_I,0.5844999999999994,62,0.6584999999999991,13,0.6744999999999836,1,4.231559102734018,8.564504207571716,9.4,97.59297622872568,3344.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r107,482208.0,I,unico,2000,6.0,5.0,0.643,0.335,6.46,3248.0,3.248,,,,,0.9475,13.0,0.6304170393073869,0.1065,2002.2,0.618556701030928,8,0.031,A2-B0-C2-batch3-r107_I,0.0016248124062031,,,,,,,,,,,,,False,A2-B0-C2-batch3-r107_I,0.5894999999999994,65,0.6645000000000018,14,0.6694999999999838,1,4.240382859676898,12.414978262715872,9.4,97.59291332237392,3248.0,bateria_fase5b_a2b0c2_escala_v4
F5B_40pares,pareado,A2-B0-C2-batch3-r108,482305.0,III,unico,2000,6.0,5.0,0.557,0.129,4.23,3245.0,3.245,,,,,0.9695,16.0,0.754323966619054,0.098,1842.4,0.4972375690607732,8,0.037,A2-B0-C2-batch3-r108_III,0.0016233116558279,7.745961543236626,0.6324999999999995,72.0,0.6810000000000026,10.0,0.692499999999983,4.334171100875727,,,,,,False,A2-B0-C2-batch3-r108_III,0.6324999999999995,72,0.6810000000000026,10,0.692499999999983,2,4.334171100875727,7.960527727919061,9.4,97.59301721795134,3245.0,bateria_fase5b_a2b0c2_escala_v4
F5B_40pares,pareado,A2-B0-C2-batch3-r111,482596.0,III,unico,2000,6.0,5.0,0.465,0.345,7.52,3017.0,3.017,,,,,0.9245,15.0,0.9051550092250916,0.122,2293.5999999999995,0.838235294117647,8,0.036,A2-B0-C2-batch3-r111_III,0.0015092546273136,,,,,,,,0.214,0.515,53.0,0.1285,0.048,True,A2-B0-C2-batch3-r111_III,0.6539999999999992,71,0.6955000000000021,12,0.7089999999999822,1,4.156079491344683,14.903601369411886,9.4,97.59292263249878,3017.0,bateria_fase5b_a2b0c2_escala_v4
F5B_40pares,pareado,A2-B0-C2-batch3-r112,482693.0,I,unico,2000,6.0,5.0,0.64,0.311,4.4,3233.0,3.233,,,,,0.9695,14.0,0.6476307093914708,0.1015,1908.2,0.5606060606060604,8,0.042,A2-B0-C2-batch3-r112_I,0.0016173086543271,7.745961543236626,0.6169999999999994,64.0,0.6750000000000015,14.0,0.6914999999999831,4.222577279573662,,,,,,False,A2-B0-C2-batch3-r112_I,0.6169999999999994,64,0.6750000000000015,14,0.6914999999999831,3,4.222577279573662,8.117100265508354,9.4,97.59303099602408,3233.0,bateria_fase5b_a2b0c2_escala_v4
F5B_40pares,pareado,A2-B0-C2-batch3-r114,482887.0,III,unico,2000,6.0,6.0,0.749,0.209,7.44,3978.0,3.978,,,,,0.963,13.0,0.7685330652018251,0.0915,1720.2,0.4411764705882354,8,0.04,A2-B0-C2-batch3-r114_III,0.0019899949974987,7.745961543236626,0.4209999999999997,67.0,0.5454999999999993,35.0,0.5779999999999875,4.42711967872223,,,,,,False,A2-B0-C2-batch3-r114_III,0.4209999999999997,67,0.5454999999999993,35,0.5779999999999875,2,4.42711967872223,12.147716674134092,9.4,97.59298001629658,3978.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r12,472993.0,III,unico,2000,5.0,5.0,0.745,0.243,4.61,3272.0,3.272,,,,,0.9655,15.0,0.7435032678648847,0.1015,1908.2,0.5440414507772019,8,0.037,A2-B0-C2-batch3-r12_III,0.0016368184092046,7.745961543236626,0.6254999999999995,61.0,0.693000000000001,11.0,0.6984999999999827,4.265225390711227,,,,,,False,A2-B0-C2-batch3-r12_III,0.6254999999999995,61,0.693000000000001,11,0.6984999999999827,1,4.265225390711227,8.047795618041404,9.4,97.59299344952343,3272.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r120,483469.0,I,unico,2000,6.0,5.0,0.656,0.147,5.38,3396.0,3.396,,,,,0.9795,13.0,0.5745851449620949,0.0925,1739.0000000000002,0.4444444444444445,8,0.034,A2-B0-C2-batch3-r120_I,0.0016988494247123,,,,,,,,0.16,0.4945,50.0,0.0905,0.0455,True,A2-B0-C2-batch3-r120_I,0.5794999999999995,66,0.6630000000000003,21,0.6699999999999838,1,4.396950042053868,7.252821264358074,9.4,97.59299769849105,3396.0,bateria_fase5b_a2b0c2_escala_v4
F5B_40pares,pareado,A2-B0-C2-batch3-r143,485700.0,I,unico,2000,4.0,5.0,0.585,0.132,6.04,3349.0,3.349,,,,,0.954,1.0,0.7640298812029376,0.1,1880.0,0.393518518518518,8,0.037,A2-B0-C2-batch3-r143_I,0.0016753376688344,,,,,,,,,,,,,False,A2-B0-C2-batch3-r143_I,0.5789999999999994,65,0.6530000000000007,15,0.6664999999999839,1,4.169620382486741,10.076707237291789,9.4,97.59299607745004,3349.0,bateria_fase5b_a2b0c2_escala_v4
F5B_40pares,pareado,A2-B0-C2-batch3-r21,473866.0,III,unico,2000,6.0,5.0,0.346,0.134,5.31,3308.0,3.308,,,,,0.959,14.0,0.7248004383475681,0.0965,1814.2,0.4838709677419354,8,0.042,A2-B0-C2-batch3-r21_III,0.0016548274137068,,,,,,,,,,,,,False,A2-B0-C2-batch3-r21_III,0.5979999999999993,63,0.6670000000000014,14,0.6729999999999836,1,4.32045335197441,7.892860393126151,9.4,97.59298238103982,3308.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r23,474060.0,III,unico,2000,7.0,5.0,0.498,0.338,7.03,3169.0,3.169,,,,,0.9295,13.0,0.7756156905187959,0.1175,2209.0,0.7638888888888888,8,0.032,A2-B0-C2-batch3-r23_III,0.0015852926463231,,,,,,,,,,,,,False,A2-B0-C2-batch3-r23_III,0.5994999999999996,58,0.6780000000000014,18,0.690499999999983,1,4.198722184261216,14.770737639654918,9.4,97.59299940874668,3169.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r25,474254.0,III,unico,2000,8.0,5.0,0.481,0.207,6.78,3134.0,3.134,,,,,0.937,16.0,0.7951507684630403,0.113,2124.4,0.6865671641791045,8,0.03,A2-B0-C2-batch3-r25_III,0.0015677838919459,,,,,,,,,,,,,False,A2-B0-C2-batch3-r25_III,0.6174999999999994,64,0.6890000000000015,19,0.6969999999999827,1,4.148494416619051,12.523546623055635,9.4,97.59303159858874,3134.0,bateria_fase5b_a2b0c2_escala_v3
F5B_40pares,pareado,A2-B0-C2-batch3-r26,474351.0,III,unico,2000,8.0,5.0,0.682,0.271,6.44,3258.0,3.258,,,,,0.9465,15.0,0.7318596368941483,0.1115,2096.2000000000003,0.7205882352941176,8,0.032,A2-B0-C2-batch3-r26_III,0.0016298149074537,7.745961543236626,0.6004999999999994,64.0,0.6590000000000005,21.0,0.6774999999999836,4.28371721390348,,,,,,False,A2-B0-C2-batch3-r26_III,0.6004999999999994,64,0.6590000000000005,21,0.6774999999999836,2,4.28371721390348,11.931920690509337,9.4,97.59303021584368,3258.0,bateria_fase5b_a2b0c2_escala_v4
