n_bandas,variable,rho_medio,z_fisher,p,n_total,rhos
4,geo,0.6574583501054766,12.31610943048972,7.418788509718482e-35,254,0.771;-0.048;0.667;0.879
4,geo_cv,-0.3045251838594415,-4.920022647372163,8.653419899206507e-07,254,-0.442;0.117;-0.308;-0.525
4,pend,0.46113354718406085,7.237493577271528,4.570523841610137e-13,217,0.373;0.268;0.687;0.452
4,kcap,-0.5600847537819679,-8.270972316305508,1.3287090309158845e-16,183,-0.816;-0.118;-0.562
6,geo,0.48553415676590134,8.14597156839745,3.7624853922801955e-16,254,0.546;-0.032;-0.040;0.535;0.797;0.742
6,geo_cv,-0.18787181555717253,-2.960167302464811,0.0030747201883910384,254,-0.184;-0.318;0.240;-0.235;-0.036;-0.534
6,pend,0.40704235990917614,6.187896451751954,6.097235641926708e-10,217,0.225;0.465;0.279;0.619;0.561;0.211
6,kcap,-0.22340512427656511,-2.71122106912138,0.00670359157233751,162,-0.584;-0.144;0.219;-0.308
8,geo,0.40415285025790215,6.52698893918122,6.710500023916371e-11,254,0.388;0.336;-0.174;-0.083;0.742;0.414;0.692;0.592
8,geo_cv,-0.1550164898782419,-2.414853977661371,0.015741519035710052,254,-0.097;-0.239;-0.046;0.213;-0.245;-0.112;-0.177;-0.491
8,pend,0.32173486910258076,4.784509402123552,1.714054744630273e-06,217,0.070;0.495;0.202;0.184;0.516;0.647;0.162;0.159
8,kcap,-0.21815209814651124,-2.6003594861033044,0.009312614832723514,154,-0.406;-0.082;0.006;-0.285;-0.299
4,geo|dens (parcial dentro de banda),0.005691021911656269,0.10381338104142969,0.9173174473135962,254,0.017;-0.171;-0.063;0.237
6,geo|dens (parcial dentro de banda),-0.003428871306071143,-0.06884361081020922,0.9451141040052884,254,0.124;-0.260;-0.182;-0.097;0.333;0.056
8,geo|dens (parcial dentro de banda),-0.05513776788749398,-0.8219575045824734,0.41110108306015825,254,-0.080;-0.326;-0.093;-0.209;-0.106;0.211;0.327;-0.164
4,geo_cv|dens (parcial dentro de banda),0.7952987433560205,16.747481798441207,5.907449600820921e-63,254,0.920;0.892;0.645;0.506
6,geo_cv|dens (parcial dentro de banda),0.7730315058151547,15.521500973181531,2.481771514394023e-54,254,0.946;0.831;0.884;0.622;0.852;-0.198
8,geo_cv|dens (parcial dentro de banda),0.7855999663739638,15.781686264204087,4.159261226690655e-56,254,0.969;0.845;0.923;0.881;0.642;0.802;0.710;-0.516
4,pico_local|dens (parcial dentro de banda),0.2850332267925209,4.50921391707444,6.5068273521382225e-06,254,0.324;0.170;0.551;0.044
6,pico_local|dens (parcial dentro de banda),0.3509321742886823,5.589522744093861,2.2769454343150596e-08,254,0.350;0.335;0.182;0.556;0.226;0.416
8,pico_local|dens (parcial dentro de banda),0.40894279533764377,6.479293875269879,9.215286343828345e-11,254,0.596;0.429;0.090;0.159;0.537;0.480;0.322;0.552
4,pend|dens (parcial dentro de banda),0.160333170206719,2.3292440587286523,0.019846140063398934,217,-0.055;0.140;0.570;-0.085
6,pend|dens (parcial dentro de banda),0.199295372357253,2.8627157916141432,0.004200271351922028,217,-0.128;0.058;0.431;0.623;-0.097;0.187
8,pend|dens (parcial dentro de banda),0.2398915136887273,3.297386150242302,0.000975892296710288,217,-0.004;-0.169;-0.019;0.607;0.575;0.622;-0.218;0.278
