exp,variable,n,rho,p
F5B_40pares,dens,76,-0.9265699640711249,3.736005950803388e-33
F5B_40pares,geo,76,0.8449079029147099,8.504858937194564e-22
F5B_40pares,geo_cv,76,-0.8988759842279256,3.124589614546186e-28
F5B_40pares,pend,73,0.5860158974792242,5.128389847582542e-08
F5B_40pares,geo|dens,76,-0.6178872861832339,2.743476804262228e-09
F5B_40pares,dens|geo,76,-0.7810389074661168,8.671538923198085e-17
O3A_N4000,dens,26,-0.9295726495726495,6.837019677124319e-12
O3A_N4000,geo,26,0.9287057752419444,7.882265364980884e-12
O3A_N4000,geo_cv,26,-0.7784615384615383,2.8294461954881637e-06
O3A_N4000,geo|dens,26,-0.07566460336995667,0.7133446911290432
O3A_N4000,dens|geo,26,-0.3218354071121932,0.10886207959800435
O3B_rewiring,dens,24,-0.9653395971910073,2.5455679794834695e-14
O3B_rewiring,geo,24,0.9349858885955642,2.2333690542219356e-11
O3B_rewiring,geo_cv,24,-0.9567297464698795,2.8071763683102337e-13
O3B_rewiring,pend,24,0.9215046967134887,1.665222609946854e-10
O3B_rewiring,clus,24,0.23831268230249728,0.26211065773864395
O3B_rewiring,geo|dens,24,-0.3321151343110781,0.11284036380952489
O3B_rewiring,dens|geo,24,-0.6761590808564706,0.0002866809397639153
O3C_factorial,dens,47,-0.9563017523066188,1.146076402517028e-25
O3C_factorial,geo,47,0.9473380466465434,6.94190200701784e-24
O3C_factorial,geo_cv,47,-0.9115938062883064,5.476733608708756e-19
O3C_factorial,pend,47,0.8002545462727625,1.480430583806131e-11
O3C_factorial,geo|dens,47,-0.7243766312149964,8.63524432525062e-09
O3C_factorial,dens|geo,47,-0.7977876100393924,1.8975319778643455e-11
O3D_kcap,dens,38,-0.9885586399772727,3.5628218070874113e-31
O3D_kcap,geo,38,0.9733515863023899,1.2812570939765558e-24
O3D_kcap,geo_cv,38,-0.9551846913927659,1.2783506612555685e-20
O3D_kcap,pend,32,0.9720414704345455,1.962199344205944e-20
O3D_kcap,geo|dens,38,-0.5016216222395876,0.0013344946168223175
O3D_kcap,dens|geo,38,-0.7447521241642545,8.251420065558762e-08
O3E_memoria,dens,30,-0.9714031919888945,5.029513655677487e-19
O3E_memoria,geo,30,0.9513742601953089,7.507967899837348e-16
O3E_memoria,geo_cv,30,-0.9515968038819042,7.050680011137168e-16
O3E_memoria,pend,30,0.9495939107025457,1.2284627854365333e-15
O3E_memoria,geo|dens,30,-0.5823307161592788,0.0007350005815838675
O3E_memoria,dens|geo,30,-0.7435318380743252,2.503912113272078e-06
OUT_pendNEG,dens,11,-0.9384990180111028,1.8997419483619767e-05
OUT_pendNEG,geo,11,0.9749455818173592,3.5216074399395975e-07
OUT_pendNEG,geo_cv,11,-0.8974966337290644,0.00017813381131300763
OUT_pendNEG,pend,11,-0.6423706870852695,0.03306470725172014
