bloque,X,M,Y,n,a,b,c,c_prima,indirecto,ic95_bajo,ic95_alto,proporcion_mediada,control,excluye_cero
densidad → geometría → masa (global),dens,geo,masa,254,-0.9945149728028793,-1.3069847803631078,-0.8288372611706348,-2.1286531944672276,1.2998159332965933,0.755441950102416,1.8509288292678425,-1.5682402254222458,,True
"densidad → geometría → masa (global, ctrl N)",dens,geo,masa,254,-0.9923177462135232,-2.240682884747094,-0.7948294414736645,-3.018298831645117,2.2234693901714517,1.8098116461011018,2.611909284779824,-2.797416998103389,N_nodos,True
densidad → geometría → masa (N=2000),dens,geo,masa,228,-0.9949448186471315,-2.1775511767780413,-0.9382997163185454,-3.104842976992822,2.166543260674276,1.7907643891451077,2.55525081961135,-2.309009821696196,,True
densidad → geometría → masa (sin ER),dens,geo,masa,248,-0.9943799695806971,-1.3211000152073273,-0.8229850138157754,-2.136660406750696,1.3136753929349205,0.7720067929031138,1.8721183340193046,-1.5962324597431683,,True
densidad → CV local → masa (global),dens,geo_cv,masa,254,0.4993365485963609,0.41158636545782673,-0.8288372611706348,-1.0343573763476668,0.20552011517703164,0.16498457783703813,0.2510308117606529,-0.24796196407333176,,True
densidad → pendiente → masa (el camino viejo),dens,pend,masa,217,-0.1752681812090417,-0.02482625466528013,-0.9340845542770129,-0.9384358067784286,0.004351252501416134,-0.01782651739955884,0.008738041732624057,-0.004658306875424174,,False
pendiente → geometría → masa,pend,geo,masa,217,0.1882076027489445,0.9115368343271164,0.13965168237021455,-0.0319064800358537,0.17155816240606836,0.0011316910858999978,0.37831046046757943,1.2284718629545057,,True
densidad → geometría → masa | descontando pendiente,dens,geo,masa,217,-0.9922184190188512,-2.2552641237593734,-0.9384358067784286,-3.1761504101248867,2.2377146033464603,1.8477503712065002,2.6553787103486663,-2.3845153682150584,pend,True
O3B: clustering → geometría → masa | descontando densidad,clus,geo,masa,24,-0.025209729985140112,-0.3703378487390083,0.19150399141657856,0.1821678742465901,0.009336117169988062,-0.005310241118341468,0.03674995380303835,0.048751553954189966,dens,False
O3B: densidad → geometría → masa,dens,geo,masa,24,-0.9913203957010295,-0.6013285979324894,-0.971256186752306,-1.5673654904010863,0.5961093036487807,0.10199486311390356,1.291401367596026,-0.6137508432682994,,True
O3B cadena 3 eslabones,dens,clus->geo,masa,24,-0.36145258750182874,-0.37033784873900966,,-0.025209729985139994,-0.0033745637083124314,,,,,False
