variable,n,mediana,media,gana_orig,gana_rewire,p_signos,p_wilcoxon,rho,pearson
masa,12,0.0049999999999999906,0.0053333333333333115,9.0,3.0,0.14599609375,0.00927734375,,
geo,12,-0.0047499999999998654,-0.00016666666666651878,3.0,9.0,0.14599609375,0.423828125,,
geoIC_fof_b0.20,12,-0.011749999999999927,-0.00966666666666674,3.0,9.0,0.14599609375,0.2333984375,,
geoIC_knn8_cv,12,-0.01227921152251632,-0.020044233862504795,6.0,6.0,1.0,0.5185546875,,
geoIC_knn8_p90_med,12,1.2088326671048195,1.3818615991345247,10.0,2.0,0.03857421875,0.04248046875,,
pend,12,0.08765295844528592,0.08159052375490153,10.0,2.0,0.03857421875,0.02685546875,,
clus,12,0.00955,0.009434920634920635,11.0,1.0,0.00634765625,0.0009765625,,
transitividad,12,0.0060765850132764,0.007579257003308168,11.0,1.0,0.00634765625,0.0009765625,,
n_triangulos,12,22.0,20.5,11.0,1.0,0.00634765625,0.0009765625,,
d_masa~d_geo,12,,,,,0.6403345250750125,0.7342228414525194,0.15061319069274445,0.10974153281642907
d_masa~d_geoIC_fof_b0.20,12,,,,,0.9655299853727576,0.9569634050352813,0.014010529366766925,-0.017495023980843655
d_masa~d_geoIC_knn8_cv,12,,,,,0.3592928176714779,0.34043151891380646,-0.2907184843604137,-0.3017860750854132
d_masa~d_geoIC_knn8_p90_med,12,,,,,0.007628750959685522,0.010866482664586175,0.7250448947301884,0.7023784782345517
d_masa~d_pend,12,,,,,0.8456637160508921,0.8490177497003903,0.06304738215045118,-0.06166306780714853
d_masa~d_clus,12,,,,,0.00532943475257012,0.009380744847109953,0.7460606887803388,0.7120466892906716
d_masa~d_transitividad,12,,,,,0.0111699289259676,0.05557784891355347,0.7005264683383464,0.5650348747052008
d_masa~d_n_triangulos,12,,,,,0.005372046947923325,0.003858416002344521,0.7456140350877194,0.7634620527842857
mediacion_pareada_clus->geo->masa,12,-0.0031345256231871147,,,,,,-0.10123583868868888,0.14100695228300456
mediacion_pareada_clus->picolocal->masa,12,0.2049332078468547,0.7120466892906719,,,,,-0.03213914269578836,0.4763345937447982
