bloque,variable,n,parcial_r,parcial_p,parcial_rho,parcial_rho_p,semiparcial_r,semiparcial_p,controles
GLOBAL dens|geo,dens,254,-0.672443254668353,8.699334080457891e-35,-0.6164486378893909,5.6070033122345195e-28,-0.29493402536464225,1.717264369949717e-06,geo+exp
GLOBAL dens|geo,geo,254,-0.5433590648661293,6.531313407106762e-21,-0.12786113928294982,0.04174186495011097,-0.2101136241919499,0.0007521217542204371,dens+exp
GLOBAL dens|geo|pend,dens,217,-0.7312285173000175,1.4165384309135894e-37,-0.5905116708169245,8.7398203563109e-22,-0.2413930251271953,0.00033243434343003484,"geo,pend+exp"
GLOBAL dens|geo|pend,geo,217,-0.6105203688583618,1.4865838889908398e-23,-0.15693290401345192,0.020735682950160456,-0.17358614615895607,0.010413346010308274,"dens,pend+exp"
GLOBAL dens|geo|pend,pend,217,0.3248554404493999,1.0028143800175071e-06,0.401737815924119,8.015857734094494e-10,0.07734778847099272,0.2565749317431771,"dens,geo+exp"
GLOBAL dens|geo|geo_cv|pend,dens,217,-0.7289454261072031,3.0609823132701933e-37,-0.5361066961593162,1.518379366342852e-17,-0.23967614377453766,0.00036758927731445567,"geo,geo_cv,pend+exp"
GLOBAL dens|geo|geo_cv|pend,geo,217,-0.6087056667547757,2.1768975898585837e-23,-0.2480294118071683,0.00022387352606074925,-0.1726895571222703,0.010823139737403559,"dens,geo_cv,pend+exp"
GLOBAL dens|geo|geo_cv|pend,geo_cv,217,-0.029696553249730084,0.6635429070060044,-0.5603165846918026,2.4571969426663703e-19,-0.006687232685327053,0.921978964735722,"dens,geo,pend+exp"
GLOBAL dens|geo|geo_cv|pend,pend,217,0.3246542622855847,1.0192701751423374e-06,0.3068641881545091,4.1069776468509905e-06,0.07726015278500482,0.25711581863054467,"dens,geo,geo_cv+exp"
GLOBAL sin ajuste por experimento,dens,217,-0.7645425833586965,6.98133825639312e-43,-0.6485724628644445,2.735297748366399e-27,-0.3234929651177713,1.1194231263002144e-06,"geo,pend"
GLOBAL sin ajuste por experimento,geo,217,-0.6432704710190706,9.754463608588881e-27,-0.18218925694896917,0.007126537041974127,-0.22914214814216144,0.0006705440063095343,"dens,pend"
GLOBAL sin ajuste por experimento,pend,217,0.02656299168405056,0.697197763108975,0.19586195758890174,0.0037714465172190245,0.007247123762283932,0.9154700072782166,"dens,geo"
SÓLO N=2000,dens,217,-0.7312285173000175,1.4165384309135894e-37,-0.5905116708169245,8.7398203563109e-22,-0.2413930251271953,0.00033243434343003484,"geo,pend+exp"
SÓLO N=2000,geo,217,-0.6105203688583618,1.4865838889908398e-23,-0.15693290401345192,0.020735682950160456,-0.17358614615895607,0.010413346010308274,"dens,pend+exp"
SÓLO N=2000,pend,217,0.3248554404493999,1.0028143800175071e-06,0.401737815924119,8.015857734094494e-10,0.07734778847099272,0.2565749317431771,"dens,geo+exp"
SIN controles Erdős-Rényi,dens,217,-0.7312285173000175,1.4165384309135894e-37,-0.5905116708169245,8.7398203563109e-22,-0.2413930251271953,0.00033243434343003484,"geo,pend+exp"
SIN controles Erdős-Rényi,geo,217,-0.6105203688583618,1.4865838889908398e-23,-0.15693290401345192,0.020735682950160456,-0.17358614615895607,0.010413346010308274,"dens,pend+exp"
SIN controles Erdős-Rényi,pend,217,0.3248554404493999,1.0028143800175071e-06,0.401737815924119,8.015857734094494e-10,0.07734778847099272,0.2565749317431771,"dens,geo+exp"
O3B (único con clustering),dens,24,-0.7658708821510811,1.288853630161443e-05,-0.7413094315246899,3.405624397298228e-05,-0.16432998270951785,0.44289636132049715,"geo,pend,clus"
O3B (único con clustering),geo,24,-0.41071718744419955,0.046190448475532386,0.08316978159604185,0.6992251998713885,-0.06214832808671747,0.7729725908737615,"dens,pend,clus"
O3B (único con clustering),pend,24,0.39171409879664965,0.05835730111774196,0.20839446724361144,0.3284678839905995,0.05873659314765303,0.7851426916025416,"dens,geo,clus"
O3B (único con clustering),clus,24,0.6662925402909693,0.0003784281607900409,0.5383677003958545,0.006648543840108245,0.12327494199735928,0.5660503222922678,"dens,geo,pend"
O3B clustering | dens+geo,dens,24,-0.7358999025999227,4.158709593522372e-05,-0.7307990350552858,4.999241144132823e-05,-0.1629715045768793,0.4467279025484144,"geo,clus"
O3B clustering | dens+geo,geo,24,-0.30431407766667606,0.14823495579919607,0.26288236551550687,0.21457797372182516,-0.04790313037589056,0.82409921646822,"dens,clus"
O3B clustering | dens+geo,clus,24,0.7443025017266719,3.0428913522284413e-05,0.7017917469121941,0.0001324895134279098,0.16711478982996572,0.43509682287024415,"dens,geo"
