variable,subconjunto,n,r_parcial,p
geo_FoF,todo (mezclando N),254,-0.24433542010811124,8.33147341324338e-05
geo_FoF,sólo N=2000,228,-0.6323363352783227,7.312469851526526e-27
geo_FoF,sin controles ER,248,-0.24621381392734965,8.91834604675938e-05
geo_FoF,dentro de F5B_40pares,76,-0.6178872861832339,2.743476804262228e-09
geo_FoF,dentro de O3A_N4000,26,-0.07566460336995667,0.7133446911290432
geo_FoF,dentro de O3B_rewiring,24,-0.3321151343110781,0.11284036380952489
geo_FoF,dentro de O3C_factorial,47,-0.7243766312149964,8.63524432525062e-09
geo_FoF,dentro de O3D_kcap,38,-0.5016216222395876,0.0013344946168223175
geo_FoF,dentro de O3E_memoria,30,-0.5823307161592788,0.0007350005815838675
CV_local,todo (mezclando N),254,0.637369597043295,2.3384654161543732e-30
CV_local,sólo N=2000,228,0.07129028116718172,0.2837615750868679
CV_local,sin controles ER,248,0.6390184217000081,7.285975391408711e-30
CV_local,dentro de F5B_40pares,76,-0.209537743332241,0.06926954391089503
CV_local,dentro de O3A_N4000,26,-0.11777865312585964,0.5666310690840127
CV_local,dentro de O3B_rewiring,24,-0.4018914933345313,0.05156676840688747
CV_local,dentro de O3C_factorial,47,-0.16533906013916208,0.26671899218691525
CV_local,dentro de O3D_kcap,38,0.25069335459706243,0.1289857081690509
CV_local,dentro de O3E_memoria,30,0.20696396926375574,0.27248617950137405
pico_local,todo (mezclando N),254,0.30271409588913173,8.810054775138026e-07
pico_local,sólo N=2000,228,0.713103191685172,1.0232345753634202e-36
pico_local,sin controles ER,248,0.3023558268607299,1.2254517933042423e-06
pico_local,dentro de F5B_40pares,76,0.8366890580495111,4.917690754858484e-21
pico_local,dentro de O3A_N4000,26,0.6399829117011907,0.00043004954855731627
pico_local,dentro de O3B_rewiring,24,0.6568945996245857,0.0004884867388203775
pico_local,dentro de O3C_factorial,47,0.8716885892833606,1.5520629347627723e-15
pico_local,dentro de O3D_kcap,38,0.79096044557659,3.4330228295220606e-09
pico_local,dentro de O3E_memoria,30,0.8988209650784235,1.5398314117440404e-11
pendiente,todo (mezclando N),217,-0.06845493232941118,0.3154953368790539
pendiente,sólo N=2000,217,-0.06845493232941118,0.3154953368790539
pendiente,sin controles ER,217,-0.06845493232941118,0.3154953368790539
pendiente,dentro de F5B_40pares,73,0.49701510690969697,7.718941818231032e-06
pendiente,dentro de O3B_rewiring,24,0.4680985513235203,0.02106323128828016
pendiente,dentro de O3C_factorial,47,0.7350515008049374,4.0245417353316864e-09
pendiente,dentro de O3D_kcap,32,0.5969148598641509,0.0003105478370350384
pendiente,dentro de O3E_memoria,30,0.585977671905383,0.0006678316486783467
