bloque,variable,exp,n,rho,p,rho_global,signo_opuesto
simpson,dens,F5B_40pares,76,-0.9265699640711249,3.736005950803388e-33,-0.9283152650180048,False
simpson,dens,O3A_N4000,26,-0.9295726495726495,6.837019677124319e-12,-0.9283152650180048,False
simpson,dens,O3B_rewiring,24,-0.9653395971910073,2.5455679794834695e-14,-0.9283152650180048,False
simpson,dens,O3C_factorial,47,-0.9563017523066188,1.146076402517028e-25,-0.9283152650180048,False
simpson,dens,O3D_kcap,38,-0.9885586399772727,3.5628218070874113e-31,-0.9283152650180048,False
simpson,dens,O3E_memoria,30,-0.9714031919888945,5.029513655677487e-19,-0.9283152650180048,False
simpson,dens,OUT_pendNEG,11,-0.9384990180111028,1.8997419483619767e-05,-0.9283152650180048,False
efectos_fijos,dens,TODOS,254,-0.8753017154888942,1.7519277302372185e-81,-0.9283152650180048,False
simpson,geo,F5B_40pares,76,0.8449079029147099,8.504858937194564e-22,0.9158376950884081,False
simpson,geo,O3A_N4000,26,0.9287057752419444,7.882265364980884e-12,0.9158376950884081,False
simpson,geo,O3B_rewiring,24,0.9349858885955642,2.2333690542219356e-11,0.9158376950884081,False
simpson,geo,O3C_factorial,47,0.9473380466465434,6.94190200701784e-24,0.9158376950884081,False
simpson,geo,O3D_kcap,38,0.9733515863023899,1.2812570939765558e-24,0.9158376950884081,False
simpson,geo,O3E_memoria,30,0.9513742601953089,7.507967899837348e-16,0.9158376950884081,False
simpson,geo,OUT_pendNEG,11,0.9749455818173592,3.5216074399395975e-07,0.9158376950884081,False
efectos_fijos,geo,TODOS,254,0.8361579091525841,1.11702308899178e-67,0.9158376950884081,False
simpson,pend,F5B_40pares,73,0.5860158974792242,5.128389847582542e-08,0.6934393103541345,False
simpson,pend,O3B_rewiring,24,0.9215046967134887,1.665222609946854e-10,0.6934393103541345,False
simpson,pend,O3C_factorial,47,0.8002545462727625,1.480430583806131e-11,0.6934393103541345,False
simpson,pend,O3D_kcap,32,0.9720414704345455,1.962199344205944e-20,0.6934393103541345,False
simpson,pend,O3E_memoria,30,0.9495939107025457,1.2284627854365333e-15,0.6934393103541345,False
simpson,pend,OUT_pendNEG,11,-0.6423706870852695,0.03306470725172014,0.6934393103541345,True
efectos_fijos,pend,TODOS,217,0.810710981022844,6.840328901058579e-52,0.6934393103541345,False
