metrica,brazo_a,brazo_b,n,media_a,media_b,delta_medio,delta_mediano,delta_sd,delta_rel_pct,delta_en_particulas,n_a_gana,n_b_gana,n_empates,p_signos,p_wilcoxon
fraccion_masa_en_sumideros,alineado,permutado,12,0.08312500000000002,0.11387500000000002,-0.030750000000000003,-0.03549999999999999,0.01801325269703594,-27.0032930845225,-61.50000000000001,2,10,0,0.03857421875,0.00244140625
fraccion_masa_en_sumideros,alineado,anti,12,0.08312500000000002,0.13849999999999998,-0.05537499999999997,-0.06149999999999997,0.02521644935715212,-39.98194945848374,-110.74999999999994,1,11,0,0.00634765625,0.0009765625
fraccion_masa_en_sumideros,alineado,alin_dil,12,0.08312500000000002,0.14491666666666664,-0.06179166666666663,-0.07024999999999995,0.024558333461866706,-42.639447958596875,-123.58333333333326,1,11,0,0.00634765625,0.0009765625
fraccion_masa_en_sumideros,alineado,perm_dil,12,0.08312500000000002,0.14162499999999997,-0.05849999999999996,-0.06649999999999998,0.02696040868317161,-41.30626654898498,-116.99999999999991,1,11,0,0.00634765625,0.0009765625
fraccion_masa_en_sumideros,permutado,anti,12,0.11387500000000002,0.13849999999999998,-0.02462499999999997,-0.025999999999999947,0.009603798964235685,-17.779783393501784,-49.249999999999936,0,12,0,0.00048828125,0.00048828125
fraccion_masa_en_sumideros,permutado,alin_dil,12,0.11387500000000002,0.14491666666666664,-0.031041666666666617,-0.03474999999999993,0.01156298627151098,-21.420356526739475,-62.08333333333323,0,12,0,0.00048828125,0.00048828125
fraccion_masa_en_sumideros,permutado,perm_dil,12,0.11387500000000002,0.14162499999999997,-0.02774999999999996,-0.031749999999999966,0.011616015589771643,-19.593998234774908,-55.499999999999915,1,11,0,0.00634765625,0.0009765625
fraccion_masa_en_sumideros,anti,alin_dil,12,0.13849999999999998,0.14491666666666664,-0.0064166666666666495,-0.004500000000000004,0.005961365513695555,-4.427832087406545,-12.833333333333298,0,12,0,0.00048828125,0.00048828125
fraccion_masa_en_sumideros,anti,perm_dil,12,0.13849999999999998,0.14162499999999997,-0.003124999999999989,-0.0025000000000000022,0.004012055696160125,-2.2065313327449174,-6.249999999999978,3,8,1,0.2265625,0.0283203125
fraccion_masa_en_sumideros,alin_dil,perm_dil,12,0.14491666666666664,0.14162499999999997,0.00329166666666666,0.002250000000000002,0.006062021614989997,2.3242130038246502,6.583333333333321,9,2,1,0.0654296875,0.09765625
kappa_v_agregado,alineado,permutado,12,0.5448832549275143,0.7507665251133678,-0.2058832701858535,-0.14782777892656912,0.21553867383165184,-27.423075390150693,nan,3,9,0,0.14599609375,0.00927734375
kappa_v_agregado,alineado,anti,12,0.5448832549275143,1.1533842168163944,-0.60850096188888,-0.6368803281572311,0.3111964853323862,-52.75787140286024,nan,0,12,0,0.00048828125,0.00048828125
kappa_v_agregado,alineado,alin_dil,12,0.5448832549275143,1.2041458327797283,-0.6592625778522142,-0.7440805571240354,0.28713837463084796,-54.74939661837551,nan,1,11,0,0.00634765625,0.0009765625
kappa_v_agregado,alineado,perm_dil,12,0.5448832549275143,1.1845838854709503,-0.639700630543436,-0.7021860206070729,0.3092334356858665,-54.002138505295704,nan,1,11,0,0.00634765625,0.0009765625
kappa_v_agregado,permutado,anti,12,0.7507665251133678,1.1533842168163944,-0.40261769170302664,-0.4239420453856567,0.19234152112974384,-34.907508342219565,nan,0,12,0,0.00048828125,0.00048828125
kappa_v_agregado,permutado,alin_dil,12,0.7507665251133678,1.2041458327797283,-0.45337930766636064,-0.49465654953755983,0.23285033550887885,-37.65152818905252,nan,1,11,0,0.00634765625,0.0009765625
kappa_v_agregado,permutado,perm_dil,12,0.7507665251133678,1.1845838854709503,-0.43381736035758256,-0.44373234819155083,0.21660308985663623,-36.62191978790185,nan,1,11,0,0.00634765625,0.0009765625
kappa_v_agregado,anti,alin_dil,12,1.1533842168163944,1.2041458327797283,-0.050761615963334,-0.03108721001729231,0.15861802730897526,-4.2155704551293915,nan,4,8,0,0.3876953125,0.33935546875
kappa_v_agregado,anti,perm_dil,12,1.1533842168163944,1.1845838854709503,-0.031199668654555923,-0.04456632960154083,0.11868776576435375,-2.6338082965016865,nan,5,7,0,0.7744140625,0.38037109375
