rule_id,seed,lote,motivo_seleccion,rol_fase5b,K,J,noise,meandeg,kcap,n_nodos,grado_inicial_medio,grado_inicial_cv,unif_reproduce_motor,n_aristas_motor,n_aristas_dif_vs_motor,pendiente_corregida_fase5b_ref,frac_masa_fase5b,kappa_v_fase5b,multiconjunto_alineado_vs_permutado,multiconjunto_alineado_vs_anti,seed_perm,seed_anti,cupo_media_unif,cupo_cv_unif,cupo_min_unif,cupo_max_unif,cupo_suma_unif,rho_cupo_grado_unif,cupo_media_alineado,cupo_cv_alineado,cupo_min_alineado,cupo_max_alineado,cupo_suma_alineado,rho_cupo_grado_alineado,cupo_media_permutado,cupo_cv_permutado,cupo_min_permutado,cupo_max_permutado,cupo_suma_permutado,rho_cupo_grado_permutado,cupo_media_anti,cupo_cv_anti,cupo_min_anti,cupo_max_anti,cupo_suma_anti,rho_cupo_grado_anti,jaccard_alineado_permutado,jaccard_alineado_anti,jaccard_alineado_unif,n_aristas_unif,clustering_local_unif,transitividad_unif,n_triangulos_unif,gigante_unif,grado_medio_unif,pendiente_corregida_unif,z_agg_unif,z_sostenido_unif,diams_unif,n_cajas_unif,n_aristas_alineado,clustering_local_alineado,transitividad_alineado,n_triangulos_alineado,gigante_alineado,grado_medio_alineado,pendiente_corregida_alineado,z_agg_alineado,z_sostenido_alineado,diams_alineado,n_cajas_alineado,n_aristas_permutado,clustering_local_permutado,transitividad_permutado,n_triangulos_permutado,gigante_permutado,grado_medio_permutado,pendiente_corregida_permutado,z_agg_permutado,z_sostenido_permutado,diams_permutado,n_cajas_permutado,n_aristas_anti,clustering_local_anti,transitividad_anti,n_triangulos_anti,gigante_anti,grado_medio_anti,pendiente_corregida_anti,z_agg_anti,z_sostenido_anti,diams_anti,n_cajas_anti,aristas_identicas_en_brazos,d_aristas_alineado_menos_permutado,d_aristas_alineado_menos_anti,meta5b_existe,meta5b_rule_id_ok,meta5b_seed_ok,meta5b_n_aristas,meta5b_n_aristas_coincide,meta5b_ruta,t_cupos_s,t_dinamica_s,t_verif_motor_s,t_clustering_s,t_pendiente_s,t_total_s
A2-B0-C2-r9,272702,271828,min_pendiente_lote_271828,I,5,0.493,0.244,4.25,7,2000,4.25,0.48532798455802617,True,3939,0,0.5562821419510406,0.08050000000000002,0.3859649122807018,True,True,2646845629,2646845641,7.0,0.0,7,7,14000,nan,7.096,0.4804425646492894,1,20,14192,1.0,7.096,0.4804425646492894,1,20,14192,0.01550967877469282,7.096,0.4804425646492894,1,20,14192,-0.9802742952165726,0.7623382846190704,0.5813730196831493,0.9334769083512802,3939,0.0012857142857142856,0.0016175776774280514,8,1957,3.939,0.5531006665758372,0.9398511621266321,False,"[10.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1155, 736, 487, 354]",4141,0.0005813492063492064,0.0008783229886403561,5,1964,4.141,0.5915874199590554,0.0,False,"[11.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1162, 736, 491, 377]",3215,0.0015222222222222221,0.0017753230101587927,6,1929,3.215,0.7128478443070169,0.9520557536648655,False,"[13.0, 9.0, 6.0, 6.0, 4.0]","[2000, 1209, 762, 559, 424]",2447,0.0037833333333333334,0.0034655371582595304,6,1854,2.447,0.8404073762492781,0.6380730611704396,False,"[18.0, 13.0, 9.0, 7.0, 5.0]","[2000, 1244, 827, 571, 456]",False,926,1694,True,True,True,3939,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r9_I/meta_regla.json,0.05,3.25,1.03,0.05,1.25,5.65
A2-B0-C2-r19,273672,271828,mediana_pendiente_lote_271828,III,5,0.341,0.326,4.02,7,2000,4.019,0.49374185312196406,True,3679,0,0.7198659721923732,0.08700000000000001,0.43636363636363634,True,True,2656260449,2656260461,7.0,0.0,7,7,14000,nan,6.9075,0.5023951467213184,1,19,13815,1.0,6.9075,0.5023951467213185,1,19,13815,0.03005147107447035,6.9075,0.5023951467213185,1,19,13815,-0.9737962613836837,0.7412872042737217,0.5629648627853295,0.9156075241484494,3679,0.0010047619047619048,0.001393512425485794,6,1955,3.679,0.6730652317833353,0.1948736042769376,False,"[12.0, 9.0, 7.0, 5.0, 4.0]","[2000, 1166, 732, 520, 391]",3857,0.0008857142857142857,0.0012244897959183673,6,1961,3.857,0.5570752684482894,0.707106779686548,False,"[10.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1166, 736, 507, 395]",2988,0.002667857142857143,0.002437043054427295,7,1914,2.988,0.6418987454242903,0.9141620163685641,False,"[12.0, 12.0, 7.0, 6.0, 5.0]","[2000, 1215, 808, 580, 444]",2237,0.0035833333333333333,0.0028388928317956,4,1798,2.237,1.1220208926950146,2.825938745968981,False,"[26.0, 19.0, 11.0, 8.0, 5.0]","[2000, 1256, 821, 583, 480]",False,869,1620,True,True,True,3679,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r19_III/meta_regla.json,0.06,3.17,0.8,0.04,1.13,5.21
A2-B0-C2-r14,273187,271828,max_pendiente_lote_271828,III,8,0.567,0.198,5.76,5,2000,5.76,0.42757001403062417,True,3296,0,0.7728999554058272,0.09900000000000003,0.5151515151515152,True,True,2651553039,2651553051,5.0,0.0,5,5,10000,nan,4.9295,0.4412167772265046,1,14,9859,0.9938864299250392,4.9295,0.4412167772265046,1,14,9859,-0.012088463426829356,4.9295,0.4412167772265046,1,14,9859,-0.9784987443226699,0.5079399608440287,0.38068935041979673,0.5955056179775281,3296,0.004966666666666667,0.005912863070539419,19,1926,3.296,0.7893306509717354,1.2626386077878904,False,"[17.0, 11.0, 6.0, 5.0, 5.0]","[2000, 1176, 737, 492, 377]",4088,0.003915512265512265,0.0034119988626670457,20,1939,4.088,0.5652439313592793,0.5656854237492379,False,"[10.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1180, 758, 519, 403]",2844,0.011794047619047619,0.00856398163087998,23,1857,2.844,1.032569513813001,1.4142135599730945,False,"[18.0, 12.0, 7.0, 6.0, 4.0]","[2000, 1246, 809, 607, 484]",2161,0.015483333333333335,0.013071895424836602,18,1757,2.161,1.1461044888843657,0.9019574242303309,False,"[23.0, 17.0, 12.0, 7.0, 5.0]","[2000, 1292, 876, 655, 526]",False,1244,1927,True,True,True,3296,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r14_III/meta_regla.json,0.06,3.66,0.84,0.04,1.26,5.93
A2-B0-C2-r2,372023,371828,min_pendiente_lote_371828,I,5,0.517,0.323,5.74,6,2000,5.74,0.42504426584817107,True,4094,0,0.5395267020843031,0.07600000000000001,0.5000000000000001,True,True,3610855255,3610855267,6.0,0.0,6,6,12000,nan,5.7605,0.4309638346120364,1,15,11521,0.9999972534603229,5.7605,0.4309638346120364,1,15,11521,-0.03380082178339117,5.7605,0.4309638346120364,1,15,11521,-0.9884256289341614,0.5727962427745664,0.44646098003629764,0.7112714156898107,4094,0.0032333333333333333,0.002970100983433437,15,1971,4.094,0.5528223615799522,0.14142135593730937,False,"[11.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1147, 684, 447, 339]",5395,0.0012494949494949495,0.0014278914802475012,14,1991,5.395,0.4525054314504619,0.1948736042769372,False,"[9.0, 6.0, 5.0, 4.0, 4.0]","[2000, 1129, 669, 460, 319]",3312,0.006863888888888889,0.004174009832112049,15,1922,3.312,0.7273291563517528,0.527791685852937,False,"[15.0, 9.0, 6.0, 5.0, 5.0]","[2000, 1197, 766, 548, 411]",2575,0.009183333333333333,0.005123825789923143,10,1845,2.575,0.8336179227775424,0.6208146316164124,False,"[17.0, 13.0, 8.0, 7.0, 5.0]","[2000, 1237, 816, 586, 472]",False,2083,2820,True,True,True,4094,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r2_I/meta_regla.json,0.08,3.8,1.05,0.05,1.46,6.51
A2-B0-C2-r28,374545,371828,mediana_pendiente_lote_371828,III,6,0.47,0.23,7.76,6,2000,7.76,0.3602121087799837,True,3947,0,0.7055880853285688,0.08950000000000002,0.4285714285714286,True,True,3635333787,3635333799,6.0,0.0,6,6,12000,nan,6.0065,0.3693391957333773,1,15,12013,0.9916659045463159,6.0065,0.3693391957333773,1,15,12013,-0.025647657808390685,6.0065,0.3693391957333773,1,15,12013,-0.9783699233601169,0.5058823529411764,0.42645099904852524,0.5912533131389626,3947,0.010516666666666665,0.0076262452765372725,37,1947,3.947,0.6864755601172486,0.42426406811192885,False,"[13.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1176, 717, 473, 368]",4458,0.010721031746031746,0.005035199776213343,36,1891,4.458,0.59663562670513,0.3535533899182736,False,"[10.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1189, 782, 557, 436]",3606,0.015376984126984128,0.008935390255078663,39,1921,3.606,0.75919673765427,0.848528135623857,False,"[13.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1220, 786, 579, 445]",3038,0.022600000000000002,0.011243611584327087,33,1886,3.038,0.8058290881873051,0.3897472085538748,False,"[15.0, 11.0, 7.0, 5.0, 5.0]","[2000, 1239, 804, 588, 447]",False,852,1420,True,True,True,3947,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r28_III/meta_regla.json,0.08,3.93,1.25,0.11,1.75,7.16
A2-B0-C2-r20,373769,371828,max_pendiente_lote_371828,III,5,0.302,0.292,4.7,6,2000,4.7,0.4653206568771838,True,3706,0,0.7745872074489132,0.08650000000000002,0.39784946236559127,True,True,3627801931,3627801943,6.0,0.0,6,6,12000,nan,6.014,0.45131122337967955,1,18,12028,0.9999742995757988,6.014,0.45131122337967955,1,18,12028,-0.037012483749067585,6.014,0.45131122337967955,1,18,12028,-0.9853661177114688,0.6506578947368421,0.5063848524878908,0.7803013758462546,3706,0.0023166666666666665,0.0028945887271850123,12,1968,3.706,0.7081758225701758,0.3863703299156276,False,"[14.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1161, 713, 467, 350]",4446,0.0014392857142857143,0.0015159937338925665,10,1976,4.446,0.5042503842292249,0.4397356198928587,False,"[10.0, 7.0, 5.0, 5.0, 4.0]","[2000, 1155, 707, 486, 347]",3081,0.004101190476190476,0.0029608509705011513,9,1914,3.081,0.7942786083959329,0.8485281356238566,False,"[14.0, 9.0, 7.0, 5.0, 4.0]","[2000, 1204, 786, 544, 428]",2396,0.0026333333333333334,0.0030450669914738123,5,1828,2.396,0.9058536947105,0.527791686002937,False,"[19.0, 13.0, 10.0, 6.0, 5.0]","[2000, 1247, 809, 577, 448]",False,1365,2050,True,True,True,3706,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r20_III/meta_regla.json,0.06,4.62,1.05,0.05,1.21,7.07
A2-B0-C2-batch3-r9,472702,471828,min_pendiente_lote_471828,I,7,0.343,0.205,6.02,6,2000,6.02,0.4029600413913433,True,4069,0,0.47896094159125624,0.07650000000000001,0.4130434782608696,True,True,4588045629,4588045641,6.0,0.0,6,6,12000,nan,6.0235,0.4014010923522126,1,16,12047,0.9999985195316426,6.0235,0.40140109235221255,1,16,12047,-0.0036661084186674978,6.0235,0.40140109235221255,1,16,12047,-0.9840346002694997,0.5766436292752082,0.46300588340167587,0.6646696035242291,4069,0.0037333333333333333,0.003999200159968006,20,1966,4.069,0.5245653759654894,0.4949747460055832,False,"[11.0, 7.0, 6.0, 5.0, 4.0]","[2000, 1148, 682, 462, 330]",5378,0.0019745670995670998,0.0022731969415168423,22,1985,5.378,0.3737592494142597,0.14142135593730937,False,"[8.0, 7.0, 5.0, 5.0, 4.0]","[2000, 1126, 676, 447, 318]",3519,0.008875,0.005656665027053615,23,1944,3.519,0.7316897158262821,0.5122102156764564,False,"[13.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1193, 771, 530, 398]",2828,0.0145,0.00919348098620978,22,1897,2.828,0.9454044708071242,0.973933593203002,False,"[18.0, 13.0, 7.0, 5.0, 5.0]","[2000, 1229, 784, 568, 446]",False,1859,2550,True,True,True,4069,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r9_I/meta_regla.json,0.07,4.59,0.97,0.05,1.91,7.64
A2-B0-C2-batch3-r21,473866,471828,mediana_pendiente_lote_471828,III,6,0.346,0.134,5.31,5,2000,5.31,0.42877927588583786,True,3308,0,0.7248004383475681,0.09650000000000004,0.48387096774193544,True,True,4599343413,4599343425,5.0,0.0,5,5,10000,nan,5.2305,0.40268982969421213,1,14,10461,0.9992278276810268,5.2305,0.40268982969421213,1,14,10461,0.006954060656379387,5.2305,0.40268982969421213,1,14,10461,-0.9744586182342007,0.582974358974359,0.45230705565901097,0.6427836112826848,3308,0.0037166666666666667,0.0034066274388355527,11,1918,3.308,0.7339741044258867,0.9141620157685638,False,"[14.0, 9.0, 7.0, 5.0, 4.0]","[2000, 1186, 743, 502, 375]",4671,0.0015821067821067821,0.001829611559392006,13,1981,4.671,0.4457920745550196,0.5656854237492382,False,"[9.0, 7.0, 6.0, 5.0, 4.0]","[2000, 1159, 705, 478, 357]",3046,0.004216666666666667,0.0036834468132604086,11,1907,3.046,0.8239631127319419,1.7193455792343815,False,"[18.0, 11.0, 8.0, 6.0, 5.0]","[2000, 1234, 801, 549, 434]",2348,0.007916666666666666,0.005493387589013225,9,1803,2.348,1.02670101984207,0.9019803845634848,False,"[22.0, 14.0, 10.0, 7.0, 5.0]","[2000, 1262, 840, 609, 498]",False,1625,2323,True,True,True,3308,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r21_III/meta_regla.json,0.08,4.01,0.81,0.04,1.1,6.08
A2-B0-C2-batch3-r100,481529,471828,max_pendiente_lote_471828,I,5,0.569,0.195,6.61,4,2000,6.61,0.38089519213660084,True,2374,0,1.2549922266543088,0.14999999999999994,1.3287671232876717,True,True,4673720491,4673720503,4.0,0.0,4,4,8000,nan,3.9715,0.3867057759511552,1,10,7943,0.9825659465510469,3.9715,0.3867057759511552,1,10,7943,0.015557394799499828,3.9715,0.3867057759511552,1,10,7943,-0.9769646914000584,0.4642857142857143,0.38514357053682896,0.5682110682110683,2374,0.0165,0.014891179839633447,26,1689,2.374,1.2879122335233364,1.738656402226725,False,"[25.0, 17.0, 8.0, 7.0, 5.0]","[2000, 1286, 868, 659, 574]",2500,0.014194841269841269,0.00989010989010989,24,1599,2.5,1.0250048787918775,0.8796336770189331,False,"[15.0, 11.0, 8.0, 6.0, 5.0]","[2000, 1344, 982, 788, 683]",2256,0.018964285714285715,0.013080568720379148,23,1664,2.256,1.236958552453429,0.901980384734913,False,"[22.0, 14.0, 8.0, 7.0, 5.0]","[2000, 1332, 933, 730, 618]",1938,0.015799999999999998,0.012842465753424657,15,1605,1.938,1.320498160870958,1.2382753448152322,False,"[27.0, 20.0, 10.0, 8.0, 6.0]","[2000, 1345, 958, 719, 628]",False,244,562,True,True,True,2374,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r100_I/meta_regla.json,0.07,3.08,0.73,0.02,0.84,4.76
A2-B0-C2-batch4-r18,573575,571828,min_pendiente_lote_571828,I,5,0.364,0.321,6.05,6,2000,6.05,0.41852793307367914,True,3986,0,0.5348611955256038,0.08200000000000002,0.5510204081632653,True,True,5567118967,5567118979,6.0,0.0,6,6,12000,nan,6.053,0.41723245790458924,1,17,12106,0.9999989822040939,6.053,0.4172324579045891,1,17,12106,-0.03756383813461247,6.053,0.41723245790458924,1,17,12106,-0.983532481463062,0.5605530276513826,0.4421182266009852,0.648267456033432,3986,0.0029500000000000004,0.002729181245626312,13,1971,3.986,0.562515762560359,0.5656854237492379,False,"[12.0, 7.0, 6.0, 5.0, 4.0]","[2000, 1153, 685, 454, 330]",5480,0.0017635531135531135,0.0010760401721664275,11,1991,5.48,0.42738050165704483,0.42426406781192816,False,"[8.0, 7.0, 5.0, 4.0, 4.0]","[2000, 1132, 666, 452, 320]",3437,0.00771547619047619,0.0041254834550923936,16,1942,3.437,0.7814888828378025,0.4242640678119288,False,"[13.0, 10.0, 6.0, 5.0, 4.0]","[2000, 1195, 760, 532, 430]",2717,0.004933333333333334,0.004047976011994003,9,1885,2.717,0.90774563741719,0.26389584320146836,False,"[18.0, 13.0, 8.0, 6.0, 5.0]","[2000, 1235, 801, 569, 473]",False,2043,2763,True,True,True,3986,True,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r18_I/meta_regla.json,0.08,4.74,1.01,0.06,1.38,7.31
