rule_id,lote,seed,K,kcap,grado_inicial_medio,M_objetivo_diluido,n_aristas_unif,unif_reproduce_motor,meta5b_n_aristas_coincide,multiconjunto_ok,frac_masa_fase5b_unif,aristas_alineado,aristas_permutado,aristas_anti,aristas_alin_dil,aristas_perm_dil,densidad_igualada_trio,fraccion_masa_en_sumideros_alineado,kappa_v_agregado_alineado,n_sumideros_alineado,masa_acretada_total_alineado,clustering_alineado,pendiente_alineado,rho_cupo_grado_alineado,fraccion_masa_en_sumideros_permutado,kappa_v_agregado_permutado,n_sumideros_permutado,masa_acretada_total_permutado,clustering_permutado,pendiente_permutado,rho_cupo_grado_permutado,fraccion_masa_en_sumideros_anti,kappa_v_agregado_anti,n_sumideros_anti,masa_acretada_total_anti,clustering_anti,pendiente_anti,rho_cupo_grado_anti,fraccion_masa_en_sumideros_alin_dil,kappa_v_agregado_alin_dil,n_sumideros_alin_dil,masa_acretada_total_alin_dil,clustering_alin_dil,pendiente_alin_dil,rho_cupo_grado_alin_dil,fraccion_masa_en_sumideros_perm_dil,kappa_v_agregado_perm_dil,n_sumideros_perm_dil,masa_acretada_total_perm_dil,clustering_perm_dil,pendiente_perm_dil,rho_cupo_grado_perm_dil,d_frac_masa_limpio,d_frac_masa_crudo
A2-B0-C2-batch3-r100,471828,481529,5,4,6.61,1938,2374,True,True,True,0.14999999999999994,2500,2256,1938,1938,1938,True,0.15699999999999992,1.3636363636363638,8,2951.6,0.014194841269841269,1.0250048787918775,0.9825659465510469,0.15299999999999997,1.337899543378995,8,2876.4,0.018964285714285715,1.236958552453429,0.015557394799499828,0.15499999999999994,1.425925925925926,8,2913.9999999999995,0.015799999999999998,1.320498160870958,-0.9769646914000584,0.15599999999999994,1.274261603375527,8,2932.7999999999997,0.0045,1.361664698989335,0.9825659465510469,0.15299999999999994,1.3167420814479638,8,2876.4,0.011133333333333334,1.3094328130237307,0.015557394799499828,0.0030000000000000027,0.003999999999999948
A2-B0-C2-batch3-r21,471828,473866,6,5,5.31,2348,3308,True,True,True,0.09650000000000004,4671,3046,2348,2348,2348,True,0.068,0.45967741935483886,8,1278.3999999999999,0.0015821067821067821,0.4457920745550196,0.9992278276810268,0.10800000000000003,0.5846153846153846,9,2030.4000000000003,0.004216666666666667,0.8239631127319419,0.006954060656379387,0.13799999999999998,1.1848341232227477,8,2594.4,0.007916666666666666,1.02670101984207,-0.9744586182342007,0.14449999999999996,1.2592592592592589,8,2716.6,0.0003333333333333333,1.1187503632429143,0.9992278276810268,0.14799999999999996,1.3380281690140843,8,2782.4,0.002101190476190476,1.1235818087673863,0.006954060656379387,-0.003500000000000003,-0.04000000000000002
A2-B0-C2-batch3-r9,471828,472702,7,6,6.02,2828,4069,True,True,True,0.07650000000000001,5378,3519,2828,2828,2828,True,0.056500000000000015,0.4687499999999999,8,1062.2,0.0019745670995670998,0.3737592494142597,0.9999985195316426,0.09450000000000001,0.5172413793103448,8,1776.6,0.008875,0.7316897158262821,-0.0036661084186674978,0.11700000000000002,0.7536945812807883,8,2199.6000000000004,0.0145,0.9454044708071242,-0.9840346002694997,0.133,1.056338028169014,8,2500.3999999999996,0.00085,0.8755135491890756,0.9999985195316426,0.12450000000000001,0.8883720930232557,8,2340.6000000000004,0.006180952380952381,0.6690607717654777,-0.0036661084186674978,0.008499999999999994,-0.038
A2-B0-C2-batch4-r18,571828,573575,5,6,6.05,2717,3986,True,True,True,0.08200000000000002,5480,3437,2717,2717,2717,True,0.05350000000000001,0.41772151898734156,8,1005.8,0.0017635531135531135,0.42738050165704483,0.9999989822040939,0.09650000000000004,0.5322580645161291,8,1814.1999999999998,0.00771547619047619,0.7814888828378025,-0.03756383813461247,0.12450000000000001,0.8935185185185178,8,2340.6000000000004,0.004933333333333334,0.90774563741719,-0.983532481463062,0.12799999999999997,0.9004329004329,8,2406.3999999999996,0.0,0.8373050382369214,0.9999989822040939,0.1305,1.0285714285714285,8,2453.4,0.005001190476190476,0.7618038710660378,-0.03756383813461247,-0.00250000000000003,-0.04300000000000003
A2-B0-C2-batch4-r43,571828,576000,7,5,4.53,1906,3269,True,True,True,0.09350000000000003,4235,2628,1906,1906,1906,True,0.07450000000000002,0.36956521739130443,8,1400.6000000000001,0.001131013431013431,0.5847280864923076,0.9999643993937578,0.1275,0.9705882352941175,8,2397.0,0.004183333333333333,0.9140538413108851,0.01038162920086988,0.15349999999999994,1.465753424657534,8,2885.8,0.005,1.15361224368173,-0.981542430920081,0.15449999999999994,1.3215859030837005,8,2904.6,0.0002833333333333333,1.2038643844650736,0.9999643993937578,0.15249999999999994,1.282051282051282,8,2866.9999999999995,0.0010833333333333333,1.2176659001570926,0.01038162920086988,0.0020000000000000018,-0.05299999999999998
A2-B0-C2-batch4-r51,571828,576776,8,4,5.29,1848,2483,True,True,True,0.14499999999999996,3101,2359,1848,1848,1848,True,0.12000000000000002,0.8142857142857141,8,2256.0,0.0070734126984126995,0.8068187202661815,0.9891246829869885,0.14499999999999996,1.2453703703703698,8,2726.0,0.011523809523809523,1.0987568051426821,0.001657476375939289,0.15649999999999994,1.3376623376623376,9,2942.2000000000003,0.012083333333333331,1.4142646100381469,-0.9640426911189194,0.15949999999999992,1.384615384615384,8,2998.6,0.004473809523809523,1.2972354842523235,0.9891246829869885,0.15749999999999995,1.4736842105263155,8,2961.0,0.007966666666666667,1.2428174424567775,0.001657476375939289,0.001999999999999974,-0.02499999999999994
A2-B0-C2-r14,271828,273187,8,5,5.76,2161,3296,True,True,True,0.09900000000000003,4088,2844,2161,2161,2161,True,0.09000000000000004,0.44262295081967207,8,1691.9999999999998,0.003915512265512265,0.5652439313592793,0.9938864299250392,0.12300000000000001,0.8823529411764707,8,2312.4,0.011794047619047619,1.032569513813001,-0.012088463426829356,0.14849999999999997,1.32,8,2791.7999999999993,0.015483333333333335,1.1461044888843657,-0.9784987443226699,0.15349999999999997,1.2927927927927918,8,2885.8000000000006,0.0013095238095238095,1.052261188836643,0.9938864299250392,0.15099999999999997,1.273504273504273,8,2838.7999999999997,0.0074142857142857135,1.0254928059436847,-0.012088463426829356,0.0025000000000000022,-0.032999999999999974
A2-B0-C2-r19,271828,273672,5,7,4.019,2237,3679,True,True,True,0.08700000000000001,3857,2988,2237,2237,2237,True,0.08200000000000002,0.41818181818181815,8,1541.6,0.0008857142857142857,0.5570752684482894,1.0,0.11250000000000004,0.7575757575757575,8,2115.0,0.002667857142857143,0.6418987454242903,0.03005147107447035,0.14449999999999996,1.3568075117370886,8,2716.6,0.0035833333333333333,1.1220208926950146,-0.9737962613836837,0.14849999999999997,1.2077922077922079,8,2791.8,0.0,1.0522156530727316,1.0,0.14699999999999996,1.3653846153846145,8,2763.6000000000004,0.00215,1.1419122842565774,0.03005147107447035,0.0015000000000000013,-0.030500000000000027
A2-B0-C2-r2,371828,372023,5,6,5.74,2575,4094,True,True,True,0.07600000000000001,5395,3312,2575,2575,2575,True,0.054000000000000006,0.40740740740740733,8,1015.2,0.0012494949494949495,0.4525054314504619,0.9999972534603229,0.10350000000000004,0.5781249999999998,8,1945.8,0.006863888888888889,0.7273291563517528,-0.03380082178339117,0.14,1.2242152466367715,8,2632.0,0.009183333333333333,0.8336179227775424,-0.9884256289341614,0.1415,1.2394366197183098,8,2660.2000000000003,0.00034047619047619047,1.0143896070141647,0.9999972534603229,0.13849999999999996,1.1523809523809518,8,2603.8,0.002807142857142857,1.0050798370026617,-0.03380082178339117,0.0030000000000000304,-0.04950000000000003
A2-B0-C2-r20,371828,373769,5,6,4.7,2396,3706,True,True,True,0.08650000000000002,4446,3081,2396,2396,2396,True,0.06950000000000002,0.39024390243902446,8,1306.6,0.0014392857142857143,0.5042503842292249,0.9999742995757988,0.11000000000000003,0.7024390243902437,8,2068.0,0.004101190476190476,0.7942786083959329,-0.037012483749067585,0.13599999999999998,1.1126760563380278,8,2556.8,0.0026333333333333334,0.9058536947105,-0.9853661177114688,0.14349999999999996,1.3382352941176472,8,2697.8,0.0010333333333333332,1.179042399334332,0.9999742995757988,0.14349999999999996,1.2796208530805682,8,2697.8,0.0020499999999999997,1.0075512139006846,-0.037012483749067585,0.0,-0.04050000000000001
