carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,brazo,brazo_origen,diluido,lote,n_aristas_brazo,grado_medio,clustering_local,transitividad,pendiente_corregida,cupo_cv,rho_cupo_grado,n_quitadas_al_azar
A2-B0-C2-batch3-r100_f706_alin_dil,A2-B0-C2-batch3-r100,,481529,5,0.569,0.195,6.61,4,1938,,2000,cosmog_00500,15867.2,2932.799999999999,18800.0,0.15599999999999994,8,0.029,2932.7999999999997,1.274261603375527,1.2817971380471378,0,alin_dil,alineado,True,471828,1938,1.938,0.0045,0.004114285714285714,1.361664698989335,0.3867057759511552,0.9825659465510469,562
A2-B0-C2-batch3-r100_f706_alineado,A2-B0-C2-batch3-r100,,481529,5,0.569,0.195,6.61,4,2500,,2000,cosmog_00500,15848.400000000001,2951.5999999999985,18800.0,0.15699999999999992,8,0.03,2951.6,1.3636363636363638,1.3901515151515151,0,alineado,alineado,False,471828,2500,2.5,0.014194841269841269,0.00989010989010989,1.0250048787918775,0.3867057759511552,0.9825659465510469,0
A2-B0-C2-batch3-r100_f706_anti,A2-B0-C2-batch3-r100,,481529,5,0.569,0.195,6.61,4,1938,,2000,cosmog_00500,15886.0,2913.999999999999,18800.0,0.15499999999999994,8,0.027,2913.9999999999995,1.425925925925926,1.4336805555555552,0,anti,anti,False,471828,1938,1.938,0.015799999999999998,0.012842465753424657,1.320498160870958,0.3867057759511552,-0.9769646914000584,0
A2-B0-C2-batch3-r100_f706_perm_dil,A2-B0-C2-batch3-r100,,481529,5,0.569,0.195,6.61,4,1938,,2000,cosmog_00500,15923.6,2876.3999999999987,18800.0,0.15299999999999994,8,0.029,2876.4,1.3167420814479638,1.3267840038314174,0,perm_dil,permutado,True,471828,1938,1.938,0.011133333333333334,0.010043780582024209,1.3094328130237307,0.3867057759511552,0.015557394799499828,318
A2-B0-C2-batch3-r100_f706_permutado,A2-B0-C2-batch3-r100,,481529,5,0.569,0.195,6.61,4,2256,,2000,cosmog_00500,15923.6,2876.399999999999,18800.0,0.15299999999999997,8,0.024,2876.4,1.337899543378995,1.348958333333333,0,permutado,permutado,False,471828,2256,2.256,0.018964285714285715,0.013080568720379148,1.236958552453429,0.3867057759511552,0.015557394799499828,0
A2-B0-C2-batch3-r21_f706_alin_dil,A2-B0-C2-batch3-r21,,473866,6,0.346,0.134,5.31,5,2348,,2000,cosmog_00500,16083.400000000001,2716.5999999999995,18800.0,0.14449999999999996,8,0.032,2716.6,1.2592592592592589,1.2599537037037032,0,alin_dil,alineado,True,471828,2348,2.348,0.0003333333333333333,0.0005522827687776141,1.1187503632429143,0.40268982969421213,0.9992278276810268,2323
A2-B0-C2-batch3-r21_f706_alineado,A2-B0-C2-batch3-r21,,473866,6,0.346,0.134,5.31,5,4671,,2000,cosmog_00500,17521.600000000002,1278.4000000000003,18800.000000000004,0.068,8,0.058,1278.3999999999999,0.45967741935483886,0.5425595238095242,0,alineado,alineado,False,471828,4671,4.671,0.0015821067821067821,0.001829611559392006,0.4457920745550196,0.40268982969421213,0.9992278276810268,0
A2-B0-C2-batch3-r21_f706_anti,A2-B0-C2-batch3-r21,,473866,6,0.346,0.134,5.31,5,2348,,2000,cosmog_00500,16205.6,2594.3999999999996,18800.0,0.13799999999999998,8,0.037,2594.4,1.1848341232227477,1.20298611111111,0,anti,anti,False,471828,2348,2.348,0.007916666666666666,0.005493387589013225,1.02670101984207,0.40268982969421213,-0.9744586182342007,0
A2-B0-C2-batch3-r21_f706_perm_dil,A2-B0-C2-batch3-r21,,473866,6,0.346,0.134,5.31,5,2348,,2000,cosmog_00500,16017.6,2782.399999999999,18800.0,0.14799999999999996,8,0.03,2782.4,1.3380281690140843,1.3715277777777775,0,perm_dil,permutado,True,471828,2348,2.348,0.002101190476190476,0.0033550792171481826,1.1235818087673863,0.40268982969421213,0.006954060656379387,698
A2-B0-C2-batch3-r21_f706_permutado,A2-B0-C2-batch3-r21,,473866,6,0.346,0.134,5.31,5,3046,,2000,cosmog_00500,16769.600000000002,2030.4000000000008,18800.000000000004,0.10800000000000003,9,0.031,2030.4000000000003,0.5846153846153846,0.5798611111111109,1,permutado,permutado,False,471828,3046,3.046,0.004216666666666667,0.0036834468132604086,0.8239631127319419,0.40268982969421213,0.006954060656379387,0
A2-B0-C2-batch3-r9_f706_alin_dil,A2-B0-C2-batch3-r9,,472702,7,0.343,0.205,6.02,6,2828,,2000,cosmog_00500,16299.6,2500.4,18800.0,0.133,8,0.027,2500.3999999999996,1.056338028169014,1.0625,0,alin_dil,alineado,True,471828,2828,2.828,0.00085,0.001151336829985928,0.8755135491890756,0.4014010923522126,0.9999985195316426,2550
A2-B0-C2-batch3-r9_f706_alineado,A2-B0-C2-batch3-r9,,472702,7,0.343,0.205,6.02,6,5378,,2000,cosmog_00500,17737.8,1062.2000000000003,18800.0,0.056500000000000015,8,0.057,1062.2,0.4687499999999999,0.5041666666666665,0,alineado,alineado,False,471828,5378,5.378,0.0019745670995670998,0.0022731969415168423,0.3737592494142597,0.4014010923522126,0.9999985195316426,0
