var_a,var_b,n,spearman,pearson,abs_spearman
frac_aristas_en_triangulo,modularidad_tri,252,0.9999799408386143,0.9999990298331125,0.9999799408386143
tri_ar_media_todas,frac_aristas_en_triangulo,254,0.9998577505361983,0.9998806800897213,0.9998577505361983
tri_ar_media_todas,modularidad_tri,252,0.9998297782994281,0.9998758441114698,0.9998297782994281
tri_ar_media_sop,frac_aristas_multi_tri,252,0.9997439941449264,0.9927173160119902,0.9997439941449264
gini_tri_nodo,frac_nodos_en_triangulo,252,-0.999076827384768,-0.9990140543074969,0.999076827384768
n_triangulos,n_comp_tri_arista,252,0.9988101810678611,0.9980460606085745,0.9988101810678611
n_comp_tri,n_comp_tri_arista,252,0.9971320757301301,0.9961669184527847,0.9971320757301301
n_triangulos,n_comp_tri,252,0.9953302350490195,0.993411010400329,0.9953302350490195
tri_ar_media_sop,tri_ar_max,252,0.9716913658983758,0.8417036286332876,0.9716913658983758
tri_ar_max,frac_aristas_multi_tri,252,0.9700696122753838,0.8232379096036976,0.9700696122753838
transitividad,clustering,254,0.9696360774549493,0.9772896831909998,0.9696360774549493
frac_aristas_en_triangulo,transitividad,254,0.9645220447227185,0.9690242323909503,0.9645220447227185
transitividad,modularidad_tri,252,0.9641679705119135,0.9692648808394415,0.9641679705119135
tri_ar_media_todas,transitividad,254,0.963778569801882,0.9680493189873258,0.963778569801882
tri_ar_media_todas,frac_nodos_en_triangulo,254,0.9636483204417996,0.9238886465853722,0.9636483204417996
frac_aristas_en_triangulo,frac_nodos_en_triangulo,254,0.9630425538558304,0.9227658244510577,0.9630425538558304
tri_ar_media_todas,gini_tri_nodo,252,-0.9629450683664607,-0.9216413797528437,0.9629450683664607
frac_aristas_en_triangulo,gini_tri_nodo,252,-0.9626692483493552,-0.9210383372540798,0.9626692483493552
gini_tri_nodo,modularidad_tri,252,-0.9622572963025139,-0.9207177870448329,0.9622572963025139
frac_nodos_en_triangulo,modularidad_tri,252,0.961713770180409,0.9218229463733112,0.961713770180409
frac_nodos_en_triangulo,n_triangulos,254,0.9598379468575914,0.9640526103382001,0.9598379468575914
gini_tri_nodo,n_triangulos,252,-0.9572487826995044,-0.9609925850781811,0.9572487826995044
frac_nodos_en_triangulo,n_comp_tri_arista,252,0.9571731308465383,0.9611648735561781,0.9571731308465383
gini_tri_nodo,n_comp_tri_arista,252,-0.9571117941710384,-0.9610884667149681,0.9571117941710384
gini_tri_nodo,n_comp_tri,252,-0.9552560379184689,-0.9557630665220785,0.9552560379184689
frac_nodos_en_triangulo,n_comp_tri,252,0.9534406151476534,0.9534085916800058,0.9534406151476534
frac_aristas_en_triangulo,clustering,254,0.9515201278757761,0.9767849053293812,0.9515201278757761
clustering,modularidad_tri,252,0.950934631141987,0.9772044873753085,0.950934631141987
tri_ar_media_todas,clustering,254,0.9503680199564672,0.9762412913181863,0.9503680199564672
grado_medio,giant,254,0.9369104595786856,0.7934567579580285,0.9369104595786856
tri_ar_media_todas,n_triangulos,254,0.9361926133015622,0.8993562091244659,0.9361926133015622
tri_ar_media_todas,n_comp_tri_arista,252,0.935562520634678,0.8990829314155867,0.935562520634678
frac_aristas_en_triangulo,n_triangulos,254,0.9352648171721686,0.8979274711262651,0.9352648171721686
n_comp_tri_arista,modularidad_tri,252,0.9351254646263647,0.8984129662504472,0.9351254646263647
frac_aristas_en_triangulo,n_comp_tri_arista,252,0.9351192619346762,0.8985624738691715,0.9351192619346762
n_triangulos,modularidad_tri,252,0.9336741377465781,0.8968686053252426,0.9336741377465781
tri_ar_media_sop,tri_ar_p99_sop,252,0.93311648472094,0.9091214597428252,0.93311648472094
tri_ar_p99_sop,frac_aristas_multi_tri,252,0.9323844887484827,0.8905734221762327,0.9323844887484827
