exp,diseno,rule_id,seed,clase,brazo,N_nodos,K,kcap,J,noise,meandeg,n_aristas,grado_medio,clustering,transitividad,n_triangulos,holon,giant,diam,pendiente,frac_masa,masa_acretada,kappa_v,n_sumideros,t_primer_sumidero,carpeta,densidad,geo_sepmedia,geo_fof020,geo_ngrupos020,geo_fof030,geo_ngrupos030,geo_fof050,geo_densk8cv,geo_o4a_fof06,geo_o4a_fof10,geo_o4a_ngrupos06,geo_o4a_knn100x,geo_o4a_knn1000x,geo_o4a_sin_verificar_seed,base,geoIC_fof_b0.20,geoIC_ngrupos_b0.20,geoIC_fof_b0.30,geoIC_ngrupos_b0.30,geoIC_fof_b0.50,geoIC_ngrupos_b0.50,geoIC_knn8_cv,geoIC_knn8_p90_med,masa_particula,lado_nube,n_aristas_cabecera,bateria_raiz,f800_n_aristas,f800_grado_medio,f800_giant,f800_n_componentes,f800_diam,f800_asortatividad,f800_clustering,f800_transitividad,f800_n_triangulos,f800_tri_ar_media_sop,f800_tri_ar_mediana_sop,f800_tri_ar_max,f800_tri_ar_p99_sop,f800_tri_ar_media_todas,f800_frac_aristas_en_triangulo,f800_frac_aristas_multi_tri,f800_gini_tri_nodo,f800_tri_por_nodo_max,f800_frac_nodos_en_triangulo,f800_n_comp_tri,f800_tam_mayor_comp_tri,f800_frac_mayor_comp_tri,f800_tam_medio_comp_tri,f800_n_comp_tri_arista,f800_frac_mayor_comp_tri_arista,f800_modularidad_tri,f800_dist_media_tri,f800_dist_media_azar,f800_pendiente_nativa,f800_pendiente_canon,f800_ok,f800_motivo,f800_sha256,f800_archivo,f800_receta
F5B_40pares,pareado,A2-B0-C2-batch3-r0,471829.0,III,unico,2000,5.0,4.0,0.413,0.225,6.59,2308.0,2.308,,,,,0.8405,19.0,1.0889055843285775,0.1504999999999999,2829.4,1.2938596491228065,8,0.029,A2-B0-C2-batch3-r0_III,0.0011545772886443,7.745961543236626,0.796,45.0,0.8119999999999873,4.0,0.818999999999978,3.9666516405061336,,,,,,False,A2-B0-C2-batch3-r0_III,0.796,45,0.8119999999999873,4,0.818999999999978,1,3.9666516405061336,12.29027384118658,9.4,97.5930029872187,2308.0,bateria_fase5b_a2b0c2_escala_v3,2308,2.308,0.8405,30,19.0,0.05357958157913702,0.017,0.01635372501514234,27,1.0,1.0,1.0,1.0,0.03509532062391681,0.03509532062391681,0.0,0.9614506172839506,2.0,0.0395,25.0,2.0,0.07407407407407407,1.08,27.0,0.037037037037037035,0.034971514196720614,9.299999999999999,7.877430555555556,1.0889055843285775,1.0887557522803921,True,,ab7a06a4dfaa6aa23c9b6d586728e103e335c19a21367d0bd76191849e8ef186,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r0__s471829__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=471829, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r1,471926.0,I,unico,2000,7.0,6.0,0.531,0.171,5.85,4038.0,4.038,,,,,0.9905,11.0,0.5443072908377857,0.078,1466.4,0.42,8,0.052,A2-B0-C2-batch3-r1_I,0.0020200100050025,,,,,,,,,,,,,False,A2-B0-C2-batch3-r1_I,0.4029999999999998,70,0.5304999999999994,42,0.563499999999988,2,4.479118866433876,8.106073357008938,9.4,97.59297675402505,4038.0,bateria_fase5b_a2b0c2_escala_v3,4038,4.038,0.9905,2,10.0,0.0899095693478036,0.0035666666666666668,0.004281927547067219,21,1.0161290322580645,1.0,2.0,1.3900000000000006,0.015601783060921248,0.015354135710747894,0.016129032258064516,0.9713571428571428,2.0,0.03,19.0,2.0,0.09523809523809523,1.105263157894737,20.0,0.09523809523809523,0.01527123395106567,5.505,5.841035353535354,0.5443072908377857,0.4985474856470867,True,,1c5ead5216935e9553400f55a15092f4c7c9ef481a3d54f5b06f5196405c47a4,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r1__s471926__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=471926, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r10,472799.0,III,unico,2000,7.0,5.0,0.524,0.164,7.54,3126.0,3.126,,,,,0.927,16.0,0.806767442496431,0.12,2256.0,0.8823529411764706,8,0.034,A2-B0-C2-batch3-r10_III,0.0015637818909454,,,,,,,,,,,,,False,A2-B0-C2-batch3-r10_III,0.6109999999999994,65,0.6840000000000017,12,0.6954999999999828,1,4.242689456873264,15.34903264200662,9.4,97.59304116801827,3126.0,bateria_fase5b_a2b0c2_escala_v3,3126,3.126,0.927,7,16.0,0.043653276160671925,0.01735,0.012685677111568905,39,1.0,1.0,1.0,1.0,0.03742802303262956,0.03742802303262956,0.0,0.9453632478632479,2.0,0.0565,35.0,2.0,0.05128205128205128,1.1142857142857143,39.0,0.02564102564102564,0.037271758258086776,7.003947368421054,6.930877855729448,0.806767442496431,0.8409866073171368,True,,035da2534b24c0d843097cc0ccbf608db621284a0b28bc06a021ddb7672463cb,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r10__s472799__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=472799, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r100,481529.0,I,unico,2000,5.0,4.0,0.569,0.195,6.61,2374.0,2.374,,,,,0.8445,1.0,1.2549922266543088,0.1499999999999999,2820.0,1.3287671232876717,8,0.032,A2-B0-C2-batch3-r100_I,0.0011875937968984,7.745961543236626,0.7789999999999998,49.0,0.8004999999999892,5.0,0.8064999999999785,3.991864958894243,,,,,,False,A2-B0-C2-batch3-r100_I,0.7789999999999998,49,0.8004999999999892,5,0.8064999999999785,1,3.991864958894243,13.658652773574142,9.4,97.59296742518222,2374.0,bateria_fase5b_a2b0c2_escala_v3,2374,2.374,0.8445,29,25.0,0.06961437490940507,0.0165,0.014891179839633447,26,1.0263157894736843,1.0,2.0,2.0,0.03285593934288121,0.03201347935973041,0.02631578947368421,0.9674487179487179,3.0,0.0355,21.0,4.0,0.15384615384615385,1.2380952380952381,24.0,0.11538461538461539,0.031888254816110226,8.857456140350877,8.981753554502369,1.2549922266543088,1.2879122335233364,True,,06f809cb6457ee0b70416392c8bae847a4fa215cec44af7226bbdf67b558a0f0,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r100__s481529__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=481529, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r104,481917.0,I,unico,2000,6.0,5.0,0.41,0.11,5.38,3344.0,3.344,,,,,0.966,13.0,0.6941227678174903,0.0985,1851.8,0.5230769230769231,8,0.04,A2-B0-C2-batch3-r104_I,0.0016728364182091,,,,,,,,0.164,0.472,47.0,0.094,0.0465,True,A2-B0-C2-batch3-r104_I,0.5844999999999994,62,0.6584999999999991,13,0.6744999999999836,1,4.231559102734018,8.564504207571716,9.4,97.59297622872568,3344.0,bateria_fase5b_a2b0c2_escala_v3,3344,3.344,0.966,10,13.0,0.10077995465918492,0.004716666666666667,0.003980404164115126,13,1.0,1.0,1.0,1.0,0.01166267942583732,0.01166267942583732,0.0,0.9805,1.0,0.0195,13.0,1.0,0.07692307692307693,1.0,13.0,0.07692307692307693,0.0116190168136604,6.769230769230769,6.87916450889004,0.6941227678174903,0.6806472268315817,True,,dd6741645a17768f2811e05f20dca2c232db633d778720dbb01c3f4d8ac5dedf,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r104__s481917__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=481917, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r107,482208.0,I,unico,2000,6.0,5.0,0.643,0.335,6.46,3248.0,3.248,,,,,0.9475,13.0,0.6304170393073869,0.1065,2002.2,0.618556701030928,8,0.031,A2-B0-C2-batch3-r107_I,0.0016248124062031,,,,,,,,,,,,,False,A2-B0-C2-batch3-r107_I,0.5894999999999994,65,0.6645000000000018,14,0.6694999999999838,1,4.240382859676898,12.414978262715872,9.4,97.59291332237392,3248.0,bateria_fase5b_a2b0c2_escala_v4,3248,3.248,0.9475,4,15.0,0.0654096700861559,0.009783333333333333,0.008367768595041323,27,1.0,1.0,1.0,1.0,0.024938423645320198,0.024938423645320198,0.0,0.9604876543209877,2.0,0.04,26.0,2.0,0.07407407407407407,1.0384615384615385,27.0,0.037037037037037035,0.02484119158587931,6.676923076923076,6.630983808518127,0.6304170393073869,0.8130370369499209,True,,755a4986dfb754307b2ca11b8e8a0a76897fe6fb4647c191f5801ab3957b5ec6,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r107__s482208__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=482208, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r108,482305.0,III,unico,2000,6.0,5.0,0.557,0.129,4.23,3245.0,3.245,,,,,0.9695,16.0,0.754323966619054,0.098,1842.4,0.4972375690607732,8,0.037,A2-B0-C2-batch3-r108_III,0.0016233116558279,7.745961543236626,0.6324999999999995,72.0,0.6810000000000026,10.0,0.692499999999983,4.334171100875727,,,,,,False,A2-B0-C2-batch3-r108_III,0.6324999999999995,72,0.6810000000000026,10,0.692499999999983,2,4.334171100875727,7.960527727919061,9.4,97.59301721795134,3245.0,bateria_fase5b_a2b0c2_escala_v4,3245,3.245,0.9695,5,16.0,0.04664455268244959,0.0009666666666666668,0.00162057044079516,5,1.0,1.0,1.0,1.0,0.004622496147919877,0.004622496147919877,0.0,0.9925,1.0,0.0075,5.0,1.0,0.2,1.0,5.0,0.2,0.00459913438002284,6.6,6.977081183350531,0.754323966619054,0.7629705254110892,True,,165e3bfd09163ffbf7f1f61a5f4c2a5b7f0f68c6729251f0419bec941272d988,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r108__s482305__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=482305, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r111,482596.0,III,unico,2000,6.0,5.0,0.465,0.345,7.52,3017.0,3.017,,,,,0.9245,15.0,0.9051550092250916,0.122,2293.5999999999995,0.838235294117647,8,0.036,A2-B0-C2-batch3-r111_III,0.0015092546273136,,,,,,,,0.214,0.515,53.0,0.1285,0.048,True,A2-B0-C2-batch3-r111_III,0.6539999999999992,71,0.6955000000000021,12,0.7089999999999822,1,4.156079491344683,14.903601369411886,9.4,97.59292263249878,3017.0,bateria_fase5b_a2b0c2_escala_v4,3017,3.017,0.9245,10,15.0,0.08675392573659504,0.01706666666666667,0.01285317276516906,37,1.0,1.0,1.0,1.0,0.03679151474975141,0.03679151474975141,0.0,0.9464639639639639,2.0,0.0545,35.0,2.0,0.05405405405405406,1.0571428571428572,37.0,0.02702702702702703,0.03665025907219602,7.28611111111111,6.729347041847042,0.9051550092250915,0.7894309120929355,True,,faa91e489b4316d13d764781df522023162827a4c6a1e9648f171f2b15254ec0,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r111__s482596__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=482596, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r112,482693.0,I,unico,2000,6.0,5.0,0.64,0.311,4.4,3233.0,3.233,,,,,0.9695,14.0,0.6476307093914708,0.1015,1908.2,0.5606060606060604,8,0.042,A2-B0-C2-batch3-r112_I,0.0016173086543271,7.745961543236626,0.6169999999999994,64.0,0.6750000000000015,14.0,0.6914999999999831,4.222577279573662,,,,,,False,A2-B0-C2-batch3-r112_I,0.6169999999999994,64,0.6750000000000015,14,0.6914999999999831,3,4.222577279573662,8.117100265508354,9.4,97.59303099602408,3233.0,bateria_fase5b_a2b0c2_escala_v4,3233,3.233,0.9695,8,14.0,0.04253543738372469,0.0015666666666666667,0.0019749835418038184,6,1.0,1.0,1.0,1.0,0.005567584287039901,0.005567584287039901,0.0,0.991,1.0,0.009,6.0,1.0,0.16666666666666666,1.0,6.0,0.16666666666666666,0.00554433579094493,7.0,6.8265823873409,0.6476307093914708,0.6399786421122585,True,,a609da2608b7fb178f44a4e39da6b76680b605a9d18f0f58a7e4fecd9ec15678,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r112__s482693__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=482693, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r114,482887.0,III,unico,2000,6.0,6.0,0.749,0.209,7.44,3978.0,3.978,,,,,0.963,13.0,0.7685330652018251,0.0915,1720.2,0.4411764705882354,8,0.04,A2-B0-C2-batch3-r114_III,0.0019899949974987,7.745961543236626,0.4209999999999997,67.0,0.5454999999999993,35.0,0.5779999999999875,4.42711967872223,,,,,,False,A2-B0-C2-batch3-r114_III,0.4209999999999997,67,0.5454999999999993,35,0.5779999999999875,2,4.42711967872223,12.147716674134092,9.4,97.59298001629658,3978.0,bateria_fase5b_a2b0c2_escala_v3,3978,3.978,0.963,5,13.0,0.08078149761790018,0.0116,0.008045052292839904,40,1.0169491525423728,1.0,2.0,1.8299999999999983,0.030165912518853696,0.029663147310206132,0.01694915254237288,0.9457,2.0,0.057,36.0,3.0,0.075,1.1111111111111112,38.0,0.05,0.029529825427483124,5.928205128205128,5.710979929161748,0.7685330652018251,0.7296803263915126,True,,63cf2c3c269a66151928fcb4b54fee459caa99d18f9b20b58a9d1f3702c9178b,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r114__s482887__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=482887, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r12,472993.0,III,unico,2000,5.0,5.0,0.745,0.243,4.61,3272.0,3.272,,,,,0.9655,15.0,0.7435032678648847,0.1015,1908.2,0.5440414507772019,8,0.037,A2-B0-C2-batch3-r12_III,0.0016368184092046,7.745961543236626,0.6254999999999995,61.0,0.693000000000001,11.0,0.6984999999999827,4.265225390711227,,,,,,False,A2-B0-C2-batch3-r12_III,0.6254999999999995,61,0.693000000000001,11,0.6984999999999827,1,4.265225390711227,8.047795618041404,9.4,97.59299344952343,3272.0,bateria_fase5b_a2b0c2_escala_v3,3272,3.272,0.9655,6,14.0,0.10736488917164425,0.0032,0.003188097768331562,10,1.0,1.0,1.0,1.0,0.009168704156479218,0.009168704156479218,0.0,0.985,1.0,0.015,10.0,1.0,0.1,1.0,10.0,0.1,0.009130828142466867,6.866666666666667,6.773186528497409,0.7435032678648847,0.6740274866430683,True,,b66227701fdab5e3933adb28e87ddead3736adb0b5b8847502398083130bcf19,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r12__s472993__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=472993, N=2000)"
