rule_id,seed,brazo,clustering_hist,clustering_f800,dif_clustering,transitividad_hist,transitividad_f800,dif_transitividad,n_tri_hist,n_tri_f800,dif_n_tri,pend_hist,pend_nativa,pend_canon
A2-B0-C2-batch3-r0,471829.0,orig,0.017,0.017,0.0,0.0163537250151423,0.01635372501514234,3.8163916471489756e-17,27.0,27,0.0,1.088755752280392,1.0889055843285775,1.0887557522803921
A2-B0-C2-batch3-r0,471829.0,rewire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0447958637572663,1.0676846097241737,1.0447958637572663
A2-B0-C2-batch3-r111,482596.0,orig,0.0170666666666666,0.01706666666666667,6.938893903907228e-17,0.012853172765169,0.01285317276516906,5.898059818321144e-17,37.0,37,0.0,0.7894309120929355,0.9051550092250915,0.7894309120929355
A2-B0-C2-batch3-r111,482596.0,rewire,0.0001833333333333,0.00018333333333333334,3.333921680392926e-17,0.0003473830477072,0.0003473830477072719,7.188260403578894e-17,1.0,1,0.0,0.8671196518219336,0.8944160836567454,0.8671196518219336
A2-B0-C2-batch3-r60,477649.0,orig,0.019,0.019,0.0,0.0137062625362157,0.013706262536215734,3.2959746043559335e-17,41.0,41,0.0,0.9265824692819378,0.9268169943894311,0.9265824692819378
A2-B0-C2-batch3-r60,477649.0,rewire,0.0018,0.0018,0.0,0.0020057945174949,0.0020057945174949856,8.543513119185775e-17,6.0,6,0.0,0.8837448890066177,0.8853124545289995,0.8837448890066177
A2-B0-C2-batch4-r10,572799.0,orig,0.01155,0.011550000000000001,1.734723475976807e-18,0.0086685159500693,0.008668515950069348,4.85722573273506e-17,25.0,25,0.0,1.00288992732594,0.9674452669352483,1.00288992732594
A2-B0-C2-batch4-r10,572799.0,rewire,0.0011833333333333,0.0011833333333333333,3.3393426912553537e-17,0.0020804438280166,0.0020804438280166435,4.336808689942018e-17,6.0,6,0.0,0.8697157941056846,0.871501199014525,0.8697157941056846
A2-B0-C2-batch4-r36,575321.0,orig,0.0213333333333333,0.021333333333333336,3.469446951953614e-17,0.0178500595001983,0.017850059500198336,3.469446951953614e-17,30.0,30,0.0,1.1388881788592264,1.0121015869766785,1.1388881788592264
A2-B0-C2-batch4-r36,575321.0,rewire,0.0003333333333333,0.0003333333333333333,3.333921680392926e-17,0.0005950019833399,0.0005950019833399445,4.445228907190568e-17,1.0,1,0.0,1.0082924310578296,1.0025331574037746,1.0082924310578296
A2-B0-C2-batch4-r62,577843.0,orig,0.00525,0.00525,0.0,0.0045955882352941,0.004595588235294118,1.8214596497756474e-17,15.0,15,0.0,0.8938269333275853,0.8791813251603616,0.8938269333275853
A2-B0-C2-batch4-r62,577843.0,rewire,0.0004833333333333,0.00048333333333333334,3.333921680392926e-17,0.0006127450980392,0.0006127450980392157,1.5720931501039814e-17,2.0,2,0.0,0.6169557999414776,0.5596263549028045,0.6169557999414776
A2-B0-C2-r14,273187.0,orig,0.0049666666666666,0.004966666666666667,6.678685382510707e-17,0.0059128630705394,0.005912863070539419,1.9081958235744878e-17,19.0,19,0.0,0.7893306509717354,0.7728999554058272,0.7893306509717354
A2-B0-C2-r14,273187.0,rewire,0.0012,0.0012000000000000001,2.168404344971009e-19,0.0009336099585062,0.0009336099585062241,2.4069288229178198e-17,3.0,3,0.0,0.7716226038922163,0.7377337666536359,0.7716226038922163
A2-B0-C2-r17,273478.0,orig,0.0118833333333333,0.01188333333333333,3.122502256758253e-17,0.0091646476350995,0.009164647635099547,4.683753385137379e-17,29.0,29,0.0,0.8559190857277267,0.7340887838072664,0.8559190857277267
A2-B0-C2-r17,273478.0,rewire,0.00135,0.00135,0.0,0.0012640893289792,0.0012640893289792478,4.7921736023859296e-17,4.0,4,0.0,0.7930617521912765,0.6762853955855886,0.7930617521912765
A2-B0-C2-r19,273672.0,orig,0.0010047619047619,0.0010047619047619048,4.7704895589362195e-18,0.0013935124254857,0.001393512425485794,9.389190813724468e-17,6.0,6,0.0,0.6730652317833353,0.7198659721923732,0.6730652317833353
A2-B0-C2-r19,273672.0,rewire,0.0012357142857142,0.0012357142857142857,8.565197162635485e-17,0.0016257644964,0.001625764496400093,9.302454639925628e-17,7.0,7,0.0,0.77627282511484,0.7695176380239883,0.77627282511484
A2-B0-C2-r20,373769.0,orig,0.0023166666666666,0.0023166666666666665,6.635317295611287e-17,0.002894588727185,0.0028945887271850123,1.214306433183765e-17,12.0,12,0.0,0.7081758225701758,0.7745872074489132,0.7081758225701758
A2-B0-C2-r20,373769.0,rewire,0.00075,0.00075,0.0,0.0007236471817962,0.0007236471817962531,5.312590645178972e-17,3.0,3,0.0,0.5957272392160541,0.6045589218528358,0.5957272392160541
A2-B0-C2-r28,374545.0,orig,0.0105166666666666,0.010516666666666665,6.591949208711867e-17,0.0076262452765372,0.0076262452765372725,7.28583859910259e-17,37.0,37,0.0,0.6864755601172486,0.7055880853285688,0.6864755601172486
A2-B0-C2-r28,374545.0,rewire,0.0017833333333333,0.0017833333333333334,3.3393426912553537e-17,0.0020611473720371,0.0020611473720371005,4.336808689942018e-19,10.0,10,0.0,0.5587917632620671,0.5188170710742069,0.5587917632620671
A2-B0-C2-r39,375612.0,orig,0.0032333333333333,0.0032333333333333333,3.3393426912553537e-17,0.0039664176637799,0.003966417663779996,9.627715291671279e-17,20.0,20,0.0,0.7408037939170649,0.7271595357141946,0.7408037939170649
A2-B0-C2-r39,375612.0,rewire,0.0015999999999999,0.0015999999999999999,9.996344030316351e-17,0.0017848879487009,0.0017848879487009982,9.82287168271867e-17,9.0,9,0.0,0.5289574198292217,0.5368871969626542,0.5289574198292217
