medida,descripcion,rho,p,n,nota
frac_aristas_en_triangulo,D  soporte: fracción de aristas con triángulo,-0.7978789368491637,7.052148914505502e-10,40,
frac_nodos_en_triangulo,soporte: nodos que tocan algún triángulo,-0.7424015009380863,4.167164765141299e-08,40,
tri_por_arista_media,A  triángulos por arista con triángulo,0.7393121262864207,5.0725906722974824e-08,40,
clustering_local,clustering local medio (NO explicativa: falla en el signo),-0.7212007504690432,1.5238888958606868e-07,40,
gini_tri_nodo,B  Gini de concentración por nodo,0.7099437148217638,2.895087609968973e-07,40,
frac_aristas_multi_tri,C  solapamiento: aristas en >1 triángulo,0.6396359198479062,8.851689213400278e-06,40,
frac_aristas_carga3mas,fracción de aristas del soporte con >=3,0.6244435622851863,1.6606315502168905e-05,40,
tri_por_nodo_max,máximo de triángulos en un solo nodo,0.6185851379337839,2.098115826709064e-05,40,
pendiente_corr,pendiente corregida log(diám)-log(N_cajas),0.6140712945590995,2.50433009199401e-05,40,
gigante,tamaño de la componente gigante,-0.578809442808315,9.13174602242158e-05,40,
gini_tri_arista,Gini de la carga por arista,0.5101131657187631,0.0007720945555038121,40,
dist_media_tri,distancia media entre triángulos (saltos),0.47148217636022516,0.002133142373422239,40,
tri_por_arista_max,E  cola: máximo de triángulos en una arista,0.45510163037999674,0.003171602554170044,40,
modularidad_tri,modularidad de la partición inducida,-0.3046904315196999,0.055920226652089726,40,
solapamiento_aristas,aristas compartidas con el grafo original,-0.27359438421822807,0.1117591325636646,35,
frac_mayor_comp_tri,fracción de triángulos en el cúmulo mayor,-0.2662413812207059,0.09679623385228382,40,
n_comp_tri,nº de cúmulos de triángulos,-0.25688417949186215,0.1095669907920858,40,
asortatividad,asortatividad de grados,-0.12945590994371484,0.4259465730563529,40,
transitividad,transitividad global (fija por diseño),nan,nan,0,sin variación entre brazos
