contraste,objetivo,medida,descripcion,media_a,media_b,delta,delta_rel_rango,rango_entre_brazos
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),tri_por_arista_media,A  triángulos por arista con triángulo,1.0,1.0288312966107187,-0.028831296610718732,-0.02081411914977734,1.3851797620283708
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),gini_tri_nodo,B  Gini de concentración por nodo,0.7543212858226314,0.6727698742871191,0.08155141153551232,0.3107307274056409,0.26245042521672374
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),frac_aristas_multi_tri,C  solapamiento: aristas en >1 triángulo,0.0,0.028786300210430698,-0.028786300210430698,-0.0358709230361101,0.8024967793957367
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),frac_aristas_en_triangulo,D  soporte: fracción de aristas con triángulo,0.27455006402423277,0.2561557759008042,0.018394288123428557,0.10858542858511525,0.1693992312146201
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),tri_por_arista_max,E  cola: máximo de triángulos en una arista,1.0,1.75,-0.75,-0.25,3.0
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),frac_nodos_en_triangulo,soporte: nodos que tocan algún triángulo,0.3050625,0.36275,-0.0576875,-0.2115516846206739,0.27268749999999997
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),tri_por_nodo_max,máximo de triángulos en un solo nodo,2.25,2.0,0.25,0.03571428571428571,7.0
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),gini_tri_arista,Gini de la carga por arista,0.0,0.022948038733925945,-0.022948038733925945,-0.11890531416871357,0.19299422312921355
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),frac_aristas_carga3mas,fracción de aristas del soporte con >=3,0.0,4.499640028797696e-05,-4.499640028797696e-05,-0.00010017492282635485,0.4491782875238606
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),n_comp_tri,nº de cúmulos de triángulos,5.5,139.625,-134.125,-1.0,134.125
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),frac_mayor_comp_tri,fracción de triángulos en el cúmulo mayor,0.5877153524222771,0.0972980168169864,0.49041733560529066,0.8613507540876074,0.5693584562130779
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),modularidad_tri,modularidad de la partición inducida,0.09558037900313224,0.21658189681672668,-0.12100151781359446,-0.7233764691762478,0.1672732290440497
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),dist_media_tri,distancia media entre triángulos (saltos),7.470841343435195,7.694369309358999,-0.22352796592380353,-0.08101640314278484,2.759045788910841
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),clustering_local,clustering local medio (NO explicativa: falla en el signo),0.10225,0.11788541666666667,-0.015635416666666662,-0.30122416215131437,0.05190625
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),transitividad,transitividad global (fija por diseño),0.08504389737067279,0.08504389737067279,0.0,nan,0.0
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),asortatividad,asortatividad de grados,-0.2051154855891721,-0.19725782484311363,-0.007857660746058428,-0.3273158499216316,0.02400635578124239
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),pendiente_corr,pendiente corregida log(diám)-log(N_cajas),0.7693103836236694,0.7514626098340562,0.017847773789613386,0.0752182647114131,0.2372797864732618
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),gigante,tamaño de la componente gigante,1861.125,1860.25,0.875,0.02766798418972332,31.625
abanico - disp,C1  Gini por nodo (las tres medidas de arista fijas POR CONSTRUCCIÓN),solapamiento_aristas,aristas compartidas con el grafo original,0.0015754842047103047,0.0016908165162720897,-0.00011533231156178505,-0.17919144090821845,0.0006436262300098254
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),tri_por_arista_media,A  triángulos por arista con triángulo,1.0172740229602708,1.5617840867906272,-0.5445100638303564,-0.39309703964560516,1.3851797620283708
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),gini_tri_nodo,B  Gini de concentración por nodo,0.6991477356857176,0.8696152909822663,-0.17046755529654856,-0.6495228771520623,0.26245042521672374
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),frac_aristas_multi_tri,C  solapamiento: aristas en >1 triángulo,0.008779635440216352,0.5617840867906272,-0.5530044513504109,-0.6891048855882159,0.8024967793957367
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),frac_aristas_en_triangulo,D  soporte: fracción de aristas con triángulo,0.263518292096238,0.17359085446145867,0.08992743763477934,0.5308609548578523,0.1693992312146201
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),tri_por_arista_max,E  cola: máximo de triángulos en una arista,2.625,2.0,0.625,0.20833333333333334,3.0
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),frac_nodos_en_triangulo,soporte: nodos que tocan algún triángulo,0.3575625,0.16725,0.19031250000000002,0.6979142791657118,0.27268749999999997
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),tri_por_nodo_max,máximo de triángulos en un solo nodo,4.75,4.875,-0.125,-0.017857142857142856,7.0
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),gini_tri_arista,Gini de la carga por arista,0.015814836426385454,0.1539021335436273,-0.13808729711724183,-0.7154996397212863,0.19299422312921355
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),frac_aristas_carga3mas,fracción de aristas del soporte con >=3,0.005864935573786023,0.0,0.005864935573786023,0.013057032667623042,0.4491782875238606
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),n_comp_tri,nº de cúmulos de triángulos,109.375,22.75,86.625,0.6458527493010252,134.125
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),frac_mayor_comp_tri,fracción de triángulos en el cúmulo mayor,0.1945171415289724,0.21788835484939578,-0.023371213320423384,-0.04104832915957762,0.5693584562130779
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),modularidad_tri,modularidad de la partición inducida,0.1681676319571181,0.15469987114811232,0.013467760809005786,0.08051354592706038,0.1672732290440497
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),dist_media_tri,distancia media entre triángulos (saltos),7.743848114995733,9.052881800351898,-1.309033685356166,-0.47445159867133596,2.759045788910841
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),clustering_local,clustering local medio (NO explicativa: falla en el signo),0.11273124999999998,0.08123749999999999,0.031493749999999994,0.6067429259482239,0.05190625
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),transitividad,transitividad global (fija por diseño),0.08504389737067279,0.08504389737067279,0.0,nan,0.0
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),asortatividad,asortatividad de grados,-0.19796849529302335,-0.20759446688606703,0.00962597159304365,0.40097596156452037,0.02400635578124239
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),pendiente_corr,pendiente corregida log(diám)-log(N_cajas),0.790139723451624,0.8391143349202288,-0.04897461146860482,-0.20640026778734308,0.2372797864732618
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),gigante,tamaño de la componente gigante,1859.625,1860.0,-0.375,-0.011857707509881422,31.625
cola - malla,C2  cola (máximo por arista) contra media (fracción con >=2),solapamiento_aristas,aristas compartidas con el grafo original,0.0015216588204709967,0.0017616618800016688,-0.00024000305953067203,-0.37289198037657384,0.0006436262300098254
