rule_id,seed,clase,nivel,a_pico,carpeta,N,masa_particula,masa_total,n_aristas,grado_medio,grafo_sha256,radio_burbuja,sep_media,n_centros,pico_original,pico_logrado,pico_razon,cv_original,cv_logrado,fof030_original,fof030_logrado,fof030_razon,n_grupos_fof,n_particulas_movidas,frac_movidas,desp_max,desp_medio_movidas,caja_x,caja_y,caja_z,lado_original,ic_ida_vuelta_ok,ic_md5_igual_al_original,frac_masa_historica,kappa_v_historica,ic_original
A2-B0-C2-batch4-r47,576388,III,L0,-0.35,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-batch4-r47_s576388_f802_L0,2000,9.4,18800.0,3282,3.282,f94ea97a75d9e9f53e227b9e16fe5fe1133afea63a78bb892d68e63d96ee7b35,7.745951050173112,7.745951050173112,30,6.028091084201561,5.769747868911274,0.9571434452993994,4.217924389749361,3.7669843247479453,0.6774999999999985,0.6764999999999987,0.9985239852398525,9,747,0.3735,0.7759539231069225,0.42908389844570816,97.71659717405782,97.89295536400117,97.6557855048259,97.59286779568401,True,False,0.093,0.4,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r47_III/cosmogenesis_ic.txt
A2-B0-C2-batch4-r47,576388,III,L1,0.0,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-batch4-r47_s576388_f802_L1,2000,9.4,18800.0,3282,3.282,f94ea97a75d9e9f53e227b9e16fe5fe1133afea63a78bb892d68e63d96ee7b35,7.745951050173112,7.745951050173112,30,6.028091084201561,6.028091084201561,1.0,4.217924389749361,4.217924389749361,0.6774999999999985,0.6774999999999985,1.0,11,747,0.3735,0.0,0.0,97.59239606057645,97.59286779568401,97.59285152602703,97.59286779568401,True,True,0.093,0.4,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r47_III/cosmogenesis_ic.txt
A2-B0-C2-batch4-r47,576388,III,L2,0.2,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-batch4-r47_s576388_f802_L2,2000,9.4,18800.0,3282,3.282,f94ea97a75d9e9f53e227b9e16fe5fe1133afea63a78bb892d68e63d96ee7b35,7.745951050173112,7.745951050173112,30,6.028091084201561,8.331704175672634,1.3821463642957201,4.217924389749361,4.375078701713653,0.6774999999999985,0.6779999999999989,1.0007380073800745,12,747,0.3735,0.4434022417753823,0.24519079911183328,97.59183718564059,97.59286779568401,97.59278824685215,97.59286779568401,True,False,0.093,0.4,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r47_III/cosmogenesis_ic.txt
A2-B0-C2-batch4-r47,576388,III,L3,0.35,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-batch4-r47_s576388_f802_L3,2000,9.4,18800.0,3282,3.282,f94ea97a75d9e9f53e227b9e16fe5fe1133afea63a78bb892d68e63d96ee7b35,7.745951050173112,7.745951050173112,30,6.028091084201561,11.096425393757166,1.840785953423748,4.217924389749361,4.467424792474415,0.6774999999999985,0.6779999999999988,1.0007380073800742,14,747,0.3735,0.7759539231069225,0.42908389844570827,97.59182454174125,97.59286779568401,97.59278824685215,97.59286779568401,True,False,0.093,0.4,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r47_III/cosmogenesis_ic.txt
A2-B0-C2-batch4-r47,576388,III,L4,0.5,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-batch4-r47_s576388_f802_L4,2000,9.4,18800.0,3282,3.282,f94ea97a75d9e9f53e227b9e16fe5fe1133afea63a78bb892d68e63d96ee7b35,7.745951050173112,7.745951050173112,30,6.028091084201561,18.172108592791677,3.014571004147099,4.217924389749361,4.549783871981978,0.6774999999999985,0.6760000000000014,0.9977859778597827,19,747,0.3735,1.1085056044384627,0.6129769977795829,97.59182454174125,97.59286779568401,97.59278824685215,97.59286779568401,True,False,0.093,0.4,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r47_III/cosmogenesis_ic.txt
A2-B0-C2-batch3-r120,483469,I,L0,-0.35,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-batch3-r120_s483469_f802_L0,2000,9.4,18800.0,3396,3.396,03faead2d1c7a349142fecc26785ddeebb15ccfeac11fffe4a020acd443cfcd1,7.7459613605657385,7.7459613605657385,30,7.252821264358074,5.971989213724316,0.8234022314974115,4.396950042053868,3.986416302846887,0.6630000000000003,0.6620000000000003,0.9984917043740573,17,748,0.374,0.7759530210315086,0.41851602042536457,97.7194343469735,97.76164394051825,97.77168459221522,97.59299769849105,True,False,0.0925,0.4444444444444445,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r120_I/cosmogenesis_ic.txt
A2-B0-C2-batch3-r120,483469,I,L1,0.0,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-batch3-r120_s483469_f802_L1,2000,9.4,18800.0,3396,3.396,03faead2d1c7a349142fecc26785ddeebb15ccfeac11fffe4a020acd443cfcd1,7.7459613605657385,7.7459613605657385,30,7.252821264358074,7.252821264358074,1.0,4.396950042053868,4.396950042053868,0.6630000000000003,0.6630000000000003,1.0,21,748,0.374,0.0,0.0,97.59295480017329,97.59299769849105,97.59295275989612,97.59299769849105,True,True,0.0925,0.4444444444444445,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r120_I/cosmogenesis_ic.txt
A2-B0-C2-batch3-r120,483469,I,L2,0.2,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-batch3-r120_s483469_f802_L2,2000,9.4,18800.0,3396,3.396,03faead2d1c7a349142fecc26785ddeebb15ccfeac11fffe4a020acd443cfcd1,7.7459613605657385,7.7459613605657385,30,7.252821264358074,10.521985359314078,1.450743783115321,4.396950042053868,4.538529629425805,0.6630000000000003,0.6629999999999997,0.9999999999999991,23,748,0.374,0.44340172630371916,0.23915201167163705,97.59288682943104,97.59299489409068,97.59295275989612,97.59299769849105,True,False,0.0925,0.4444444444444445,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r120_I/cosmogenesis_ic.txt
A2-B0-C2-batch3-r120,483469,I,L3,0.35,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-batch3-r120_s483469_f802_L3,2000,9.4,18800.0,3396,3.396,03faead2d1c7a349142fecc26785ddeebb15ccfeac11fffe4a020acd443cfcd1,7.7459613605657385,7.7459613605657385,30,7.252821264358074,14.16244021540032,1.9526801639242928,4.396950042053868,4.623485893898885,0.6630000000000003,0.6599999999999996,0.995475113122171,26,748,0.374,0.7759530210315082,0.4185160204253645,97.59288682943104,97.59299489409068,97.59295275989612,97.59299769849105,True,False,0.0925,0.4444444444444445,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r120_I/cosmogenesis_ic.txt
A2-B0-C2-batch3-r120,483469,I,L4,0.5,/Users/alexis/phantom_cs073/bateria_fase8_f802_pico/A2-B0-C2-batch3-r120_s483469_f802_L4,2000,9.4,18800.0,3396,3.396,03faead2d1c7a349142fecc26785ddeebb15ccfeac11fffe4a020acd443cfcd1,7.7459613605657385,7.7459613605657385,30,7.252821264358074,22.173178147657904,3.0571797290278857,4.396950042053868,4.701931316451447,0.6630000000000003,0.6599999999999995,0.9954751131221707,29,748,0.374,1.1085043157592982,0.5978800291790924,97.59288682943104,97.59299489409068,97.59295275989612,97.59299769849105,True,False,0.0925,0.4444444444444445,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r120_I/cosmogenesis_ic.txt
