carpeta,rule_id,seed,variante,brazo,realizacion,lote,T_objetivo,n_aristas,n_triangulos,pico_p90_med,pico_cv,pico_max_med,frac_aristas_en_triangulo,tri_por_arista_media,frac_aristas_multi_tri,gini_tri_nodo,pendiente_corregida,frac_masa,n_sumideros,kappa_v,t_primer_sumidero,n_gas_inicial,n_dump_final,clave
A2-B0-C2-batch3-r0_s471829_f803_disp0,A2-B0-C2-batch3-r0,471829,disp0,disp,0,471828,55,2308,55,10.742162024332204,3.9063309147242,512.0816652068308,0.07149046793760831,1.0,0.0,0.9175,1.1237439164364877,0.14649999999999996,8,1.2918660287081343,0.033,2000,cosmog_00500,A2-B0-C2-batch3-r0_s471829
A2-B0-C2-batch3-r0_s471829_f803_disp1,A2-B0-C2-batch3-r0,471829,disp1,disp,1,471828,55,2308,55,11.381124063384798,3.888437342855398,478.69335238420666,0.07149046793760831,1.0,0.0,0.9175,1.1132649372908,0.14849999999999997,8,1.3896713615023473,0.024,2000,cosmog_00500,A2-B0-C2-batch3-r0_s471829
A2-B0-C2-batch3-r0_s471829_f803_disp2,A2-B0-C2-batch3-r0,471829,disp2,disp,2,471828,55,2308,55,11.817875928366744,3.9340803266187376,515.2748607324418,0.07149046793760831,1.0,0.0,0.9175,0.9398186047381308,0.14649999999999994,8,1.3009259259259256,0.03,2000,cosmog_00500,A2-B0-C2-batch3-r0_s471829
A2-B0-C2-batch3-r0_s471829_f803_solap0,A2-B0-C2-batch3-r0,471829,solap0,solap,0,471828,55,2308,55,11.299893695648535,3.9231009089493574,446.24930486042246,0.033362218370883885,2.142857142857143,0.7792207792207793,0.9830272727272727,1.1065306814445515,0.14549999999999996,8,1.0987654320987645,0.027,2000,cosmog_00500,A2-B0-C2-batch3-r0_s471829
A2-B0-C2-batch3-r0_s471829_f803_solap1,A2-B0-C2-batch3-r0,471829,solap1,solap,1,471828,55,2308,55,11.777244086555386,3.869255102412474,431.9585163167315,0.03552859618717504,2.0121951219512195,0.7439024390243902,0.9817363636363636,1.0478497470375308,0.14949999999999994,8,1.3424657534246576,0.032,2000,cosmog_00500,A2-B0-C2-batch3-r0_s471829
A2-B0-C2-batch3-r0_s471829_f803_solap2,A2-B0-C2-batch3-r0,471829,solap2,solap,2,471828,55,2308,54,10.547021109736326,4.0198981128379305,707.2617107684415,0.036395147313691506,1.9285714285714286,0.6904761904761905,0.9812592592592593,1.1723793066040011,0.14699999999999996,8,1.273972602739726,0.03,2000,cosmog_00500,A2-B0-C2-batch3-r0_s471829
A2-B0-C2-batch3-r111_s482596_f803_disp0,A2-B0-C2-batch3-r111,482596,disp0,disp,0,471828,126,3017,126,11.510312425309253,4.088445097849264,632.2692506583984,0.12529002320185614,1.0,0.0,0.811,0.7552892358511442,0.11450000000000002,8,0.704225352112676,0.035,2000,cosmog_00500,A2-B0-C2-batch3-r111_s482596
A2-B0-C2-batch3-r111_s482596_f803_disp1,A2-B0-C2-batch3-r111,482596,disp1,disp,1,471828,126,3017,126,11.443962511345543,4.1754731704975505,646.3976497265921,0.12529002320185614,1.0,0.0,0.811,0.6154449963232396,0.11500000000000005,8,0.7688442211055273,0.033,2000,cosmog_00500,A2-B0-C2-batch3-r111_s482596
A2-B0-C2-batch3-r111_s482596_f803_disp2,A2-B0-C2-batch3-r111,482596,disp2,disp,2,471828,126,3017,126,10.346170717630987,4.182368961705618,665.9074838697165,0.12529002320185614,1.0,0.0,0.811,0.7895815647484997,0.113,8,0.7142857142857142,0.04,2000,cosmog_00500,A2-B0-C2-batch3-r111_s482596
A2-B0-C2-batch3-r111_s482596_f803_solap0,A2-B0-C2-batch3-r111,482596,solap0,solap,0,471828,126,3017,126,13.522863718629152,4.045346445848148,582.0698363479954,0.05236990387802453,2.392405063291139,0.8544303797468354,0.9696084656084656,0.9528426305381087,0.12300000000000001,8,0.8333333333333334,0.035,2000,cosmog_00500,A2-B0-C2-batch3-r111_s482596
A2-B0-C2-batch3-r111_s482596_f803_solap1,A2-B0-C2-batch3-r111,482596,solap1,solap,1,471828,126,3017,126,13.1602198331986,4.18911453775656,802.0068240380798,0.04839244282399735,2.589041095890411,0.8767123287671232,0.9730132275132275,0.6947865772260505,0.12100000000000001,8,0.898550724637681,0.036,2000,cosmog_00500,A2-B0-C2-batch3-r111_s482596
A2-B0-C2-batch3-r111_s482596_f803_solap2,A2-B0-C2-batch3-r111,482596,solap2,solap,2,471828,126,3017,126,12.708908974959636,4.091580357162958,696.4273667792049,0.05004971826317534,2.5033112582781456,0.8410596026490066,0.9721878306878307,0.8880543955447618,0.12350000000000001,8,0.9646464646464642,0.034,2000,cosmog_00500,A2-B0-C2-batch3-r111_s482596
A2-B0-C2-batch3-r60_s477649_f803_disp0,A2-B0-C2-batch3-r60,477649,disp0,disp,0,471828,239,3068,239,12.553431131749639,4.092840808620481,663.3708934920045,0.2333767926988266,1.0013966480446927,0.0013966480446927375,0.6434944211994421,0.757207358537202,0.12549999999999997,8,0.8857142857142857,0.04,2000,cosmog_00500,A2-B0-C2-batch3-r60_s477649
A2-B0-C2-batch3-r60_s477649_f803_disp1,A2-B0-C2-batch3-r60,477649,disp1,disp,1,471828,239,3068,239,14.158572505804443,4.209503095970986,962.5665570278569,0.23370273794002608,1.0,0.0,0.6415,0.7662422767517293,0.12400000000000001,8,0.8632075471698113,0.026,2000,cosmog_00500,A2-B0-C2-batch3-r60_s477649
A2-B0-C2-batch3-r60_s477649_f803_disp2,A2-B0-C2-batch3-r60,477649,disp2,disp,2,471828,239,3068,239,13.837676999375162,4.058245567117986,663.2746079271292,0.23370273794002608,1.0,0.0,0.6415,0.7950167616246191,0.1265,8,0.9428571428571428,0.037,2000,cosmog_00500,A2-B0-C2-batch3-r60_s477649
A2-B0-C2-batch3-r60_s477649_f803_solap0,A2-B0-C2-batch3-r60,477649,solap0,solap,0,471828,239,3068,239,17.180232489663318,4.1697859165560525,872.6889121998264,0.10039113428943937,2.3279220779220777,0.8311688311688312,0.9406645746164575,0.7335545631776581,0.13699999999999998,8,1.1732673267326728,0.034,2000,cosmog_00500,A2-B0-C2-batch3-r60_s477649
A2-B0-C2-batch3-r60_s477649_f803_solap1,A2-B0-C2-batch3-r60,477649,solap1,solap,1,471828,239,3068,239,18.04872346642146,4.102601408220045,938.1219649850665,0.08670143415906127,2.6954887218045114,0.8796992481203008,0.951636680613668,0.8021993812942835,0.13799999999999998,8,1.1739130434782605,0.032,2000,cosmog_00500,A2-B0-C2-batch3-r60_s477649
A2-B0-C2-batch3-r60_s477649_f803_solap2,A2-B0-C2-batch3-r60,477649,solap2,solap,2,471828,239,3068,238,16.37771838698115,4.176336771717785,957.8897019071601,0.08898305084745763,2.6153846153846154,0.9084249084249084,0.9487801120448179,0.817884526829941,0.131,8,0.9459459459459459,0.033,2000,cosmog_00500,A2-B0-C2-batch3-r60_s477649
A2-B0-C2-batch4-r10_s572799_f803_disp0,A2-B0-C2-batch4-r10,572799,disp0,disp,0,571828,118,2994,118,14.119443620240256,4.20781834717527,942.7485886977361,0.11823647294589178,1.0,0.0,0.823,0.7368302410185906,0.126,8,0.9558823529411764,0.034,2000,cosmog_00500,A2-B0-C2-batch4-r10_s572799
A2-B0-C2-batch4-r10_s572799_f803_disp1,A2-B0-C2-batch4-r10,572799,disp1,disp,1,571828,118,2994,118,12.763970151407872,4.081088236549832,592.5974238871285,0.11823647294589178,1.0,0.0,0.823,0.6971447877289805,0.125,8,0.9468599033816419,0.036,2000,cosmog_00500,A2-B0-C2-batch4-r10_s572799
