clave,n_solap,n_disp,T,masa_solap,masa_disp,d_masa_ancla,d_pico_ancla,d_soporte_ancla,kappa_solap,kappa_disp,t1_solap,t1_disp,nsum_solap,nsum_disp
A2-B0-C2-batch3-r0_s471829,3,3,55,0.1473333333333333,0.14716666666666664,0.0001666666666666483,-0.10566770804783232,-0.0363951473136915,1.2384012627543826,1.327487772045469,0.029666666666666664,0.028999999999999998,8.0,8.0
A2-B0-C2-batch3-r111_s482596,3,3,126,0.12250000000000001,0.1141666666666667,0.008333333333333318,2.030515624167201,-0.07501933488012374,0.8988435075391595,0.7291184291679725,0.035,0.036000000000000004,8.0,8.0
A2-B0-C2-batch3-r60_s477649,3,3,239,0.13533333333333333,0.12533333333333332,0.010000000000000009,3.6856645687122267,-0.14156888309430682,1.0977087720522931,0.8972596585804133,0.033,0.034333333333333334,8.0,8.0
A2-B0-C2-batch4-r10_s572799,3,3,118,0.13516666666666666,0.12433333333333334,0.01083333333333332,3.011774036857199,-0.06958361166777999,1.0822461595464095,0.9088505933774473,0.030666666666666665,0.034,8.0,8.0
A2-B0-C2-batch4-r36_s575321,3,3,31,0.14866666666666664,0.14616666666666664,0.0025000000000000022,0.43192811020682775,-0.01863707497510314,1.329994131496562,1.3298251859763104,0.033,0.034,8.0,8.0
A2-B0-C2-batch4-r62_s577843,3,3,220,0.11366666666666671,0.10183333333333337,0.011833333333333335,5.000652865506559,-0.12084470041426694,0.688031000697842,0.540113308766823,0.035,0.037333333333333336,8.0,8.0
A2-B0-C2-r14_s273187,3,3,250,0.11200000000000003,0.10283333333333337,0.009166666666666656,4.265452239301471,-0.13895631067961167,0.7043698345205881,0.5659708450753226,0.034333333333333334,0.041666666666666664,8.0,8.0
A2-B0-C2-r17_s273478,3,3,181,0.12716666666666665,0.11300000000000003,0.014166666666666619,5.418857385238891,-0.10763559768299107,0.9320042570042567,0.6380962832894351,0.03266666666666667,0.03333333333333333,8.0,8.0
A2-B0-C2-r19_s273672,3,3,939,0.12666666666666668,0.1156666666666667,0.010999999999999982,3.1050439938493035,-0.41034701458729733,0.9216606830525637,0.8182954354271675,0.031,0.03266666666666667,8.0,8.0
A2-B0-C2-r20_s373769,3,3,562,0.11833333333333335,0.09783333333333337,0.020499999999999977,8.951329333762818,-0.27531930203273974,0.8137287858106755,0.5581147878158484,0.028,0.041,8.0,8.0
A2-B0-C2-r28_s374545,3,3,1149,0.13616666666666666,0.10383333333333337,0.03233333333333328,15.380531149163552,-0.4072291191622331,1.054068491568491,0.5467306325515279,0.03,0.03366666666666667,8.0,8.333333333333334
A2-B0-C2-r39_s375612,3,3,1100,0.12383333333333331,0.09566666666666669,0.028166666666666618,15.680095871821607,-0.4064005224916319,0.8735207739483459,0.5532763691354243,0.03266666666666667,0.03833333333333333,8.0,8.0
