analisis,n,efecto_bruto_part,residuo_part,ee_part,p,frac_sobrevive,rho,pendiente
residuo del brazo condicionando por pico_p90_med,72,26.499999999999936,6.612284089517661,1.241538137810407,1.1894258403100887e-06,0.24952015432142177,,
residuo del brazo condicionando por pico_cv,72,26.499999999999936,25.322739559075035,2.4588518339731618,1.3680545947704827e-15,0.9555750777009471,,
residuo del brazo condicionando por pico_max_med,72,26.499999999999936,20.64504512052998,2.507679235226303,7.501231045696454e-12,0.7790583064350954,,
residuo del brazo condicionando por log_pico_p90_med,72,26.499999999999936,4.840649428465089,1.5561238649419398,0.0027134627817797553,0.18266601616849437,,
Spearman parcial: masa vs SOPORTE descontando el pico,72,,,,,,-0.16984483707454304,
Spearman parcial: masa vs PICO descontando el soporte,72,,,,,,0.8296303134615597,
PAR: Δmasa ~ Δpico + Δsoporte — coef. Δpico [part./unidad],12,,3.7848245921822055,0.9783393998729863,0.0037967506792711075,,,
PAR: Δmasa ~ Δpico + Δsoporte — coef. Δsoporte [part./unidad],12,,13.80903765100689,24.979385171638214,0.593851047228898,,,
"PAR: Δmasa ~ Δpico + Δsoporte — ORDENADA (Δpico=0, Δsoporte=0)",12,,8.39231056825603,3.4891444822894324,0.0395550651256999,,,
PAR: Δmasa ~ Δpico — ORDENADA (extrapolación a Δpico=0),12,,7.521075401222168,3.0029133107029073,0.031200349018086986,,,3.351801051826378
