observable,pearson,p_pearson,spearman,p_spearman
ini_fof_ell0.45_nmin5,0.9920197165733169,2.7759683963311244e-21,0.9873804242100701,4.20174564576634e-19
ini_knn8_frac_rho_mayor_100x,0.9843508144880319,4.418544906562629e-18,0.9871657529553947,5.053381989289507e-19
ini_fof_ell0.6_nmin10,0.9776296740593641,2.1816094423707362e-16,0.9915164173580188,5.42725099049531e-21
ini_fof_ell0.45_nmin3,0.9770080394748222,2.940817662734418e-16,0.9806354279230468,4.523822682949129e-17
ini_fof_ell0.45_nmin10,0.9762575834976388,4.172508532485101e-16,0.9547433454018924,4.556825195820294e-13
ini_fof_ell0.6_nmin5,0.9671725209435341,1.412309650124768e-14,0.9754189590683099,6.088906592000356e-16
fin_fof_ell1.0_nmin10,0.9615593699132869,7.810271370276768e-14,0.9480097733317784,2.0305131907839008e-12
fin_knn8_frac_rho_mayor_1000x,0.9569929776425752,2.6281661526740226e-13,0.9473340811932849,2.333014824444123e-12
fin_knn8_frac_rho_mayor_100x,0.9468963024218009,2.550186587400293e-12,0.9229597607031291,1.3648400517448512e-10
ini_knn8_frac_rho_mayor_1000x,0.9357739095573612,1.9602709179766037e-11,0.9652609642472345,2.6088644188912232e-14
fin_fof_ell0.6_nmin10,0.9258552712189209,9.078773442360021e-11,0.9084187272678996,8.531679505728136e-10
ini_fof_ell0.6_nmin3,0.8889951493330136,6.4492723603536505e-09,0.8302872848800414,5.167805442275053e-07
fin_fof_ell0.45_nmin10,0.8871235056979122,7.682017677845788e-09,0.8600958168581772,7.146751944293529e-08
ini_fof_ell1.0_nmin10,0.8795159804139583,1.5174835134572944e-08,0.8737758639997792,2.4626685367206645e-08
ini_fof_ell0.3_nmin3,0.8693787065672345,3.513447096792683e-08,0.854529697774813,1.0682968165526483e-07
fin_fof_ell2.0_nmin10,0.8562479853499042,9.453059914339143e-08,0.7961715856801994,3.270360171426701e-06
ini_fof_ell1.0_nmin5,0.830010351918162,5.254132281417349e-07,0.713944028470605,8.933383012402716e-05
fin_fof_ell0.3_nmin10,0.8250284109729173,7.04360205373284e-07,0.7822880743500733,6.295614866849769e-06
ini_fof_ell2.0_nmin3,0.8171675959897045,1.0985032659467573e-06,0.7374376162447749,3.931029391205033e-05
fin_fof_ell1.0_nmin5,0.803463864361213,2.2720299888074472e-06,0.7561454731760582,1.9190851055341652e-05
fin_fof_ell0.3_nmin3,0.8016463706780218,2.4913818111070465e-06,0.6573853912364926,0.0004821205829456201
ini_fof_ell2.0_nmin5,0.7977693662606191,3.023294005989925e-06,0.7200349586342788,7.277224726019175e-05
fin_fof_ell0.45_nmin5,0.7949246001476956,3.4754799146745235e-06,0.7243856230369027,6.265497424466805e-05
fin_fof_ell2.0_nmin5,0.7927792172747614,3.855245363375213e-06,0.6766754339562181,0.00028246550872189867
fin_fof_ell0.45_nmin3,0.787208836827209,5.018828308730357e-06,0.6717425837651518,0.0003250282229795524
fin_fof_ell0.6_nmin5,0.7828637998643169,6.132685875447355e-06,0.6943660386587968,0.00016701151052078713
fin_fof_ell2.0_nmin3,0.7826544863790267,6.191483267412222e-06,0.6595607234378046,0.0004547605845556441
ini_fof_ell1.0_nmin3,0.7805156501235402,6.821569986604507e-06,0.6581755000326255,0.0004720227486813917
fin_fof_ell0.6_nmin3,0.7685917448820627,1.149131455332833e-05,0.605177418405004,0.0017289689752207494
fin_fof_ell0.3_nmin5,0.7663237137289459,1.2646066475627095e-05,0.6047423519647416,0.0017458667041772204
ini_fof_ell2.0_nmin10,0.7475368828435226,2.689589470692953e-05,0.6436031940972649,0.0006908923331751468
fin_fof_ell1.0_nmin3,0.7452062350974217,2.9402792484095068e-05,0.6146649842206805,0.001393661378685078
ini_fof_ell0.3_nmin5,0.7281220538591141,5.49741837492972e-05,0.6870385848779406,0.00020852430609022117
ini_fof_ell0.3_nmin10,0.6422121411386227,0.0007157529761049314,0.6094175942177026,0.001571462213501066
