observable,columna,n,signos_positivos,delta_medio,delta_mediano,media_solap,media_disj,pct_relativo,p_wilcoxon,p_t_pareado,p_binomial_signos
PHANTOM (fracción de masa en sumideros),frac_masa,12,12,0.014333333333333302,0.013249999999999942,0.1280833333333333,0.11375,12.600732600732574,0.00048828125,8.742209660164986e-05,0.00048828125
"MOTOR INDEPENDIENTE (t=0.5, FoF ell=1.0 n>=5)",fin_fof_ell1.0_nmin5,12,4,-0.014583333333333332,-0.01899999999999999,0.3491666666666667,0.36375,-4.009163802978236,0.06396484375,0.06185482318303499,0.3876953125
"IC SIN INTEGRAR (t=0, FoF ell=1.0 n>=5)",ini_fof_ell1.0_nmin5,12,4,-0.018125000000000002,-0.027250000000000024,0.4054166666666666,0.4235416666666667,-4.279390063944909,0.12939453125,0.11050058383454645,0.3876953125
motor indep. — fof_ell0.3_nmin3,fin_fof_ell0.3_nmin3,12,3,-0.010749999999999994,-0.015,0.22070833333333337,0.23145833333333335,-4.644464446444641,0.0771484375,0.07780762513845736,0.14599609375
motor indep. — fof_ell0.3_nmin5,fin_fof_ell0.3_nmin5,12,4,-0.0019583333333333445,-0.003250000000000003,0.10229166666666667,0.10425000000000001,-1.8784972022382198,0.423828125,0.6301501458930953,0.3876953125
motor indep. — fof_ell0.3_nmin10,fin_fof_ell0.3_nmin10,12,8,0.003458333333333336,0.0040000000000000036,0.06808333333333334,0.064625,5.351386202450036,0.15478515625,0.1584889331707982,0.3876953125
motor indep. — fof_ell0.45_nmin3,fin_fof_ell0.45_nmin3,12,3,-0.013500000000000007,-0.021249999999999963,0.38354166666666667,0.3970416666666667,-3.4001469199286407,0.06201171875,0.0385572963183216,0.14599609375
motor indep. — fof_ell0.45_nmin5,fin_fof_ell0.45_nmin5,12,5,-0.004291666666666662,-0.005250000000000005,0.18733333333333335,0.19162499999999996,-2.239617308110457,0.6220703125,0.6190316161641779,0.7744140625
motor indep. — fof_ell0.45_nmin10,fin_fof_ell0.45_nmin10,12,10,0.006500000000000006,0.004249999999999997,0.09741666666666667,0.09091666666666666,7.149404216315314,0.00390625,0.008404836357274676,0.03857421875
motor indep. — fof_ell0.6_nmin3,fin_fof_ell0.6_nmin3,12,2,-0.019083333333333324,-0.022249999999999992,0.47583333333333333,0.49491666666666667,-3.855867991244315,0.0048828125,0.002205673818839227,0.03857421875
motor indep. — fof_ell0.6_nmin5,fin_fof_ell0.6_nmin5,12,4,-0.009708333333333347,-0.004000000000000059,0.24574999999999994,0.2554583333333334,-3.8003588321644144,0.26611328125,0.30919649030720964,0.3876953125
motor indep. — fof_ell0.6_nmin10,fin_fof_ell0.6_nmin10,12,10,0.008208333333333335,0.010250000000000009,0.12183333333333331,0.11362499999999999,7.224055738907226,0.04248046875,0.023318956362923738,0.03857421875
motor indep. — fof_ell1.0_nmin3,fin_fof_ell1.0_nmin3,12,1,-0.023583333333333328,-0.02724999999999994,0.5623333333333332,0.5859166666666668,-4.025032001137817,0.0029296875,0.0006078916461765635,0.00634765625
motor indep. — fof_ell1.0_nmin10,fin_fof_ell1.0_nmin10,12,10,0.013541666666666665,0.013249999999999984,0.17045833333333335,0.15691666666666668,8.629845990440785,0.01171875,0.01419895750866626,0.03857421875
motor indep. — fof_ell2.0_nmin3,fin_fof_ell2.0_nmin3,12,2,-0.014458333333333342,-0.016500000000000015,0.68425,0.6987083333333334,-2.0692945315761238,0.00390625,0.0018627359210158542,0.03857421875
motor indep. — fof_ell2.0_nmin5,fin_fof_ell2.0_nmin5,12,1,-0.020624999999999994,-0.019500000000000017,0.5885416666666666,0.6091666666666667,-3.3857729138166883,0.00732421875,0.004206060173488788,0.00634765625
motor indep. — fof_ell2.0_nmin10,fin_fof_ell2.0_nmin10,12,5,0.002416666666666676,-0.005249999999999921,0.33608333333333335,0.3336666666666666,0.7242757242757272,0.90966796875,0.8523698516283622,0.7744140625
motor indep. — knn8_frac_rho_mayor_100x,fin_knn8_frac_rho_mayor_100x,12,9,0.010875000000000004,0.0072500000000000064,0.1848333333333333,0.17395833333333333,6.251497005988027,0.04931640625,0.05139084178311603,0.14599609375
motor indep. — knn8_frac_rho_mayor_1000x,fin_knn8_frac_rho_mayor_1000x,12,9,0.008833333333333332,0.00825,0.11845833333333332,0.10962500000000001,8.057772709996197,0.0048828125,0.002226757762779056,0.14599609375
IC t=0 — fof_ell0.3_nmin3,ini_fof_ell0.3_nmin3,12,9,0.0037499999999999986,0.0037499999999999964,0.04283333333333333,0.03908333333333334,9.594882729211083,0.17041015625,0.09444645886132128,0.14599609375
IC t=0 — fof_ell0.3_nmin5,ini_fof_ell0.3_nmin5,12,9,0.0032083333333333334,0.004249999999999997,0.03591666666666666,0.032708333333333346,9.808917197452226,0.08056640625,0.0724287786874004,0.14599609375
