rule_id,seed,n_triangulos,frac_masa__solap,frac_masa__disj,frac_masa__d,fin_fof_ell1.0_nmin5__solap,fin_fof_ell1.0_nmin5__disj,fin_fof_ell1.0_nmin5__d,ini_fof_ell1.0_nmin5__solap,ini_fof_ell1.0_nmin5__disj,ini_fof_ell1.0_nmin5__d,kappa_v__solap,kappa_v__disj,kappa_v__d,n_sumideros__solap,n_sumideros__disj,n_sumideros__d,fin_fof_ell0.3_nmin3__solap,fin_fof_ell0.3_nmin3__disj,fin_fof_ell0.3_nmin3__d,fin_fof_ell0.3_nmin5__solap,fin_fof_ell0.3_nmin5__disj,fin_fof_ell0.3_nmin5__d,fin_fof_ell0.3_nmin10__solap,fin_fof_ell0.3_nmin10__disj,fin_fof_ell0.3_nmin10__d,fin_fof_ell0.45_nmin3__solap,fin_fof_ell0.45_nmin3__disj,fin_fof_ell0.45_nmin3__d,fin_fof_ell0.45_nmin5__solap,fin_fof_ell0.45_nmin5__disj,fin_fof_ell0.45_nmin5__d,fin_fof_ell0.45_nmin10__solap,fin_fof_ell0.45_nmin10__disj,fin_fof_ell0.45_nmin10__d,fin_fof_ell0.6_nmin3__solap,fin_fof_ell0.6_nmin3__disj,fin_fof_ell0.6_nmin3__d,fin_fof_ell0.6_nmin5__solap,fin_fof_ell0.6_nmin5__disj,fin_fof_ell0.6_nmin5__d,fin_fof_ell0.6_nmin10__solap,fin_fof_ell0.6_nmin10__disj,fin_fof_ell0.6_nmin10__d,fin_fof_ell1.0_nmin3__solap,fin_fof_ell1.0_nmin3__disj,fin_fof_ell1.0_nmin3__d,fin_fof_ell1.0_nmin10__solap,fin_fof_ell1.0_nmin10__disj,fin_fof_ell1.0_nmin10__d,fin_fof_ell2.0_nmin3__solap,fin_fof_ell2.0_nmin3__disj,fin_fof_ell2.0_nmin3__d,fin_fof_ell2.0_nmin5__solap,fin_fof_ell2.0_nmin5__disj,fin_fof_ell2.0_nmin5__d,fin_fof_ell2.0_nmin10__solap,fin_fof_ell2.0_nmin10__disj,fin_fof_ell2.0_nmin10__d,fin_knn8_frac_rho_mayor_100x__solap,fin_knn8_frac_rho_mayor_100x__disj,fin_knn8_frac_rho_mayor_100x__d,fin_knn8_frac_rho_mayor_1000x__solap,fin_knn8_frac_rho_mayor_1000x__disj,fin_knn8_frac_rho_mayor_1000x__d,ini_fof_ell0.3_nmin3__solap,ini_fof_ell0.3_nmin3__disj,ini_fof_ell0.3_nmin3__d,ini_fof_ell0.3_nmin5__solap,ini_fof_ell0.3_nmin5__disj,ini_fof_ell0.3_nmin5__d,ini_fof_ell0.3_nmin10__solap,ini_fof_ell0.3_nmin10__disj,ini_fof_ell0.3_nmin10__d,ini_fof_ell0.45_nmin3__solap,ini_fof_ell0.45_nmin3__disj,ini_fof_ell0.45_nmin3__d,ini_fof_ell0.45_nmin5__solap,ini_fof_ell0.45_nmin5__disj,ini_fof_ell0.45_nmin5__d,ini_fof_ell0.45_nmin10__solap,ini_fof_ell0.45_nmin10__disj,ini_fof_ell0.45_nmin10__d,ini_fof_ell0.6_nmin3__solap,ini_fof_ell0.6_nmin3__disj,ini_fof_ell0.6_nmin3__d,ini_fof_ell0.6_nmin5__solap,ini_fof_ell0.6_nmin5__disj,ini_fof_ell0.6_nmin5__d,ini_fof_ell0.6_nmin10__solap,ini_fof_ell0.6_nmin10__disj,ini_fof_ell0.6_nmin10__d,ini_fof_ell1.0_nmin3__solap,ini_fof_ell1.0_nmin3__disj,ini_fof_ell1.0_nmin3__d,ini_fof_ell1.0_nmin10__solap,ini_fof_ell1.0_nmin10__disj,ini_fof_ell1.0_nmin10__d,ini_fof_ell2.0_nmin3__solap,ini_fof_ell2.0_nmin3__disj,ini_fof_ell2.0_nmin3__d,ini_fof_ell2.0_nmin5__solap,ini_fof_ell2.0_nmin5__disj,ini_fof_ell2.0_nmin5__d,ini_fof_ell2.0_nmin10__solap,ini_fof_ell2.0_nmin10__disj,ini_fof_ell2.0_nmin10__d,ini_knn8_frac_rho_mayor_100x__solap,ini_knn8_frac_rho_mayor_100x__disj,ini_knn8_frac_rho_mayor_100x__d,ini_knn8_frac_rho_mayor_1000x__solap,ini_knn8_frac_rho_mayor_1000x__disj,ini_knn8_frac_rho_mayor_1000x__d,coincide_fin,coincide_ini
A2-B0-C2-batch3-r0,471829,57,0.1539999999999999,0.1455,0.008499999999999897,0.4665,0.4895,-0.022999999999999965,0.5810000000000001,0.627,-0.04599999999999993,1.3713080168776366,1.28095238095238,0.09035563592525664,8.0,8.0,0.0,0.3205,0.337,-0.016500000000000015,0.147,0.1495,-0.0025000000000000022,0.0735,0.0815,-0.008000000000000007,0.523,0.5405,-0.01749999999999996,0.286,0.2565,0.02949999999999997,0.126,0.1119999999999999,0.014000000000000096,0.5965,0.6204999999999999,-0.02399999999999991,0.3364999999999999,0.3385,-0.002000000000000113,0.1605,0.1495,0.01100000000000001,0.6815,0.7165,-0.03500000000000003,0.2015,0.2175,-0.015999999999999986,0.801,0.8215,-0.020499999999999963,0.7310000000000001,0.7655,-0.034499999999999864,0.451,0.507,-0.055999999999999994,0.222,0.2345,-0.012499999999999983,0.153,0.141,0.01200000000000001,0.048,0.053,-0.0049999999999999975,0.0385,0.0415,-0.0030000000000000027,0.022,0.018,0.004,0.1745,0.1715,0.002999999999999975,0.1555,0.1485,0.007000000000000006,0.1455,0.14,0.005499999999999977,0.309,0.3325,-0.02350000000000002,0.226,0.2365,-0.010499999999999982,0.2195,0.212,0.007500000000000007,0.7035,0.7360000000000001,-0.032500000000000084,0.4065,0.4610000000000001,-0.054500000000000104,0.8210000000000001,0.8330000000000001,-0.01200000000000001,0.8210000000000001,0.8330000000000001,-0.01200000000000001,0.8145,0.8185,-0.0040000000000000036,0.191,0.1865,0.004500000000000004,0.052,0.0525,-0.0005000000000000004,False,False
A2-B0-C2-batch3-r111,482596,158,0.1279999999999999,0.115,0.012999999999999887,0.3675,0.4005,-0.03300000000000003,0.4305,0.425,0.005500000000000005,0.9532710280373832,0.7101449275362319,0.24312610050115124,8.0,8.0,0.0,0.2285,0.239,-0.010499999999999982,0.1144999999999999,0.114,0.0004999999999998894,0.064,0.067,-0.0030000000000000027,0.405,0.404,0.0010000000000000009,0.214,0.2215,-0.007500000000000007,0.097,0.098,-0.0010000000000000009,0.4925,0.498,-0.005500000000000005,0.259,0.2995,-0.04049999999999998,0.131,0.1155,0.0155,0.5775,0.5955,-0.018000000000000016,0.1694999999999999,0.1595,0.009999999999999898,0.6995,0.7015,-0.0020000000000000018,0.6115,0.5915,0.020000000000000018,0.341,0.3,0.041000000000000036,0.19,0.1775,0.012500000000000011,0.1205,0.1145,0.0059999999999999915,0.046,0.038,0.008,0.037,0.0335,0.003499999999999996,0.0185,0.01,0.008499999999999999,0.129,0.1195,0.009500000000000008,0.1185,0.101,0.017499999999999988,0.113,0.101,0.011999999999999997,0.226,0.2055,0.020500000000000018,0.1535,0.149,0.004500000000000004,0.143,0.133,0.009999999999999981,0.56,0.5770000000000001,-0.017000000000000015,0.284,0.255,0.02899999999999997,0.723,0.7240000000000001,-0.001000000000000112,0.7190000000000001,0.718,0.001000000000000112,0.6815,0.695,-0.013499999999999956,0.1395,0.123,0.016500000000000015,0.0495,0.0485,0.0010000000000000009,False,True
A2-B0-C2-batch3-r60,477649,187,0.1285,0.119,0.009500000000000008,0.348,0.388,-0.040000000000000036,0.3885,0.4235,-0.034999999999999976,1.0285714285714287,0.8214285714285713,0.2071428571428574,8.0,8.0,0.0,0.203,0.227,-0.023999999999999994,0.093,0.1085,-0.0155,0.0655,0.065,0.0005000000000000004,0.3755,0.401,-0.025500000000000023,0.1745,0.1985,-0.02400000000000002,0.0975,0.0965,0.0010000000000000009,0.4665,0.5025,-0.03599999999999992,0.2345,0.276,-0.04150000000000004,0.1095,0.1169999999999999,-0.007499999999999896,0.557,0.5865,-0.02949999999999997,0.1675,0.164,0.003500000000000003,0.6785000000000001,0.6935,-0.014999999999999902,0.5855,0.6045,-0.019000000000000017,0.35,0.3425,0.007499999999999951,0.183,0.1765,0.006500000000000006,0.115,0.1085,0.006500000000000006,0.0455,0.041,0.004499999999999997,0.0365,0.033,0.003499999999999996,0.0125,0.0105,0.002,0.125,0.124,0.0010000000000000009,0.1155,0.107,0.008500000000000008,0.0995,0.104,-0.00449999999999999,0.214,0.2264999999999999,-0.0124999999999999,0.1595,0.145,0.014500000000000013,0.1505,0.136,0.014499999999999985,0.527,0.5670000000000001,-0.040000000000000036,0.2585,0.2585,0.0,0.7070000000000001,0.718,-0.010999999999999899,0.705,0.7075,-0.0025000000000000577,0.6895,0.6845,0.0050000000000000044,0.1355,0.127,0.008500000000000008,0.05,0.0495,0.0005000000000000004,False,False
A2-B0-C2-batch4-r10,572799,280,0.1339999999999999,0.131,0.0029999999999998916,0.3925,0.3785,0.014000000000000012,0.4345,0.483,-0.04849999999999999,1.0416666666666667,1.0571428571428567,-0.015476190476189977,8.0,8.0,0.0,0.232,0.2455,-0.013499999999999984,0.1005,0.108,-0.007499999999999993,0.0695,0.071,-0.0014999999999999875,0.383,0.414,-0.030999999999999972,0.2035,0.212,-0.008500000000000008,0.104,0.0985,0.005499999999999991,0.4765,0.5135000000000001,-0.03700000000000009,0.2665,0.2725,-0.006000000000000005,0.132,0.126,0.006000000000000005,0.5840000000000001,0.609,-0.02499999999999991,0.1905,0.17,0.02049999999999999,0.71,0.727,-0.017000000000000015,0.632,0.652,-0.020000000000000018,0.3685,0.3845,-0.016000000000000014,0.1935,0.19,0.003500000000000003,0.1245,0.126,-0.0015000000000000013,0.043,0.041,0.001999999999999995,0.0385,0.032,0.006499999999999999,0.023,0.0105,0.012499999999999999,0.1394999999999999,0.138,0.0014999999999998903,0.1305,0.1185,0.01200000000000001,0.1155,0.1095,0.006000000000000005,0.249,0.2465,0.0025000000000000022,0.191,0.173,0.018000000000000016,0.178,0.154,0.023999999999999994,0.5770000000000001,0.6215,-0.044499999999999984,0.295,0.305,-0.010000000000000009,0.733,0.7445,-0.011500000000000066,0.7295,0.7425,-0.013000000000000012,0.718,0.718,0.0,0.154,0.147,0.007000000000000006,0.0515,0.0515,0.0,True,False
A2-B0-C2-batch4-r36,575321,90,0.1504999999999999,0.1455,0.004999999999999921,0.4335,0.4755,-0.04199999999999998,0.5885,0.636,-0.04749999999999999,1.3076923076923077,1.1973684210526314,0.1103238866396763,8.0,8.0,0.0,0.3095,0.3325,-0.02300000000000002,0.123,0.133,-0.010000000000000009,0.0805,0.0755,0.0050000000000000044,0.497,0.5285000000000001,-0.031500000000000083,0.2235,0.2714999999999999,-0.047999999999999904,0.1065,0.109,-0.0025000000000000022,0.597,0.619,-0.02200000000000002,0.3055,0.3475,-0.04199999999999998,0.1394999999999999,0.154,-0.014500000000000096,0.6885000000000001,0.705,-0.016499999999999848,0.2035,0.206,-0.0025000000000000022,0.809,0.807,0.0020000000000000018,0.7425,0.743,-0.0004999999999999449,0.4355,0.4965,-0.061,0.2185,0.2305,-0.01200000000000001,0.137,0.137,0.0,0.045,0.0525,-0.0075,0.0345,0.043,-0.008499999999999994,0.0105,0.03,-0.019499999999999997,0.164,0.165,-0.0010000000000000009,0.154,0.1475,0.006500000000000006,0.1485,0.1425,0.006000000000000005,0.3195,0.317,0.0025000000000000022,0.2395,0.2215,0.017999999999999988,0.2185,0.206,0.012500000000000011,0.72,0.7415,-0.021500000000000075,0.368,0.436,-0.068,0.8235,0.83,-0.00649999999999995,0.8235,0.83,-0.00649999999999995,0.8170000000000001,0.8175,-0.0004999999999999449,0.1845,0.1815,0.0030000000000000027,0.0515,0.051,0.0005000000000000004,False,False
A2-B0-C2-batch4-r62,577843,264,0.1195,0.106,0.013499999999999998,0.3345,0.313,0.02150000000000002,0.3339999999999999,0.3975,-0.06350000000000011,0.7999999999999998,0.5846153846153846,0.21538461538461517,8.0,8.0,0.0,0.185,0.221,-0.036000000000000004,0.089,0.0925,-0.003500000000000003,0.0655,0.0665,-0.0010000000000000009,0.352,0.3775,-0.025500000000000023,0.155,0.158,-0.0030000000000000027,0.092,0.0815,0.010499999999999995,0.4595,0.482,-0.022499999999999964,0.223,0.2065,0.016500000000000015,0.111,0.098,0.012999999999999998,0.5405,0.573,-0.03249999999999997,0.1535,0.1375,0.015999999999999986,0.6715,0.6940000000000001,-0.022500000000000075,0.5505,0.5785,-0.028000000000000025,0.304,0.332,-0.028000000000000025,0.1635,0.1555,0.008000000000000007,0.1065,0.1015,0.0049999999999999906,0.0385,0.034,0.004499999999999997,0.032,0.0255,0.006500000000000002,0.0105,0.005,0.0055000000000000005,0.1135,0.096,0.0175,0.106,0.09,0.016,0.096,0.077,0.019000000000000003,0.1735,0.185,-0.01150000000000001,0.14,0.1235,0.016500000000000015,0.135,0.113,0.022000000000000006,0.4995,0.5579999999999999,-0.05849999999999994,0.2035,0.2525,-0.049000000000000016,0.6955,0.7055,-0.010000000000000009,0.6925,0.6970000000000001,-0.0045000000000000595,0.676,0.6829999999999999,-0.006999999999999895,0.1245,0.1085,0.016,0.05,0.0475,0.0025000000000000022,True,False
A2-B0-C2-r14,273187,237,0.1125,0.101,0.011499999999999996,0.293,0.308,-0.015000000000000013,0.3695,0.3915,-0.02200000000000002,0.7058823529411763,0.546875,0.1590073529411763,8.0,8.0,0.0,0.2055,0.209,-0.003500000000000003,0.1025,0.0985,0.00399999999999999,0.064,0.059,0.0050000000000000044,0.361,0.3645,-0.003500000000000003,0.1705,0.1635,0.007000000000000006,0.091,0.0865,0.004500000000000004,0.437,0.477,-0.03999999999999998,0.2255,0.226,-0.0005000000000000004,0.11,0.103,0.007000000000000006,0.5335000000000001,0.5720000000000001,-0.03849999999999998,0.146,0.1355,0.010499999999999982,0.6555,0.686,-0.030500000000000083,0.5395,0.588,-0.04849999999999999,0.3155,0.3265,-0.01100000000000001,0.1675,0.164,0.003500000000000003,0.1055,0.106,-0.0005000000000000004,0.0385,0.0365,0.0020000000000000018,0.037,0.032,0.0049999999999999975,0.006,0.0105,-0.0045000000000000005,0.105,0.087,0.018000000000000002,0.0975,0.081,0.0165,0.0915,0.081,0.010499999999999995,0.187,0.19,-0.0030000000000000027,0.1385,0.121,0.017500000000000016,0.123,0.1085,0.014499999999999999,0.5155,0.5415000000000001,-0.026000000000000134,0.2405,0.2215,0.01899999999999999,0.6885000000000001,0.7060000000000001,-0.01749999999999996,0.6755,0.7045,-0.029000000000000026,0.6405,0.693,-0.05249999999999999,0.118,0.1,0.017999999999999988,0.0485,0.0445,0.0040000000000000036,False,False
A2-B0-C2-r17,273478,286,0.1285,0.114,0.014499999999999999,0.3485,0.372,-0.02350000000000002,0.3895,0.4115,-0.021999999999999964,0.9315068493150682,0.7014925373134329,0.23001431200163536,8.0,8.0,0.0,0.204,0.233,-0.029000000000000026,0.0995,0.111,-0.011499999999999996,0.069,0.066,0.0030000000000000027,0.369,0.4005,-0.03150000000000003,0.186,0.221,-0.035,0.0985,0.0955,0.0030000000000000027,0.4815,0.4985,-0.017000000000000015,0.2465,0.28,-0.03350000000000003,0.125,0.122,0.0030000000000000027,0.563,0.5865,-0.023500000000000076,0.171,0.1685,0.0025000000000000022,0.6845,0.7005,-0.016000000000000014,0.5845,0.6175,-0.03300000000000003,0.331,0.281,0.04999999999999999,0.182,0.184,-0.0020000000000000018,0.122,0.11,0.011999999999999997,0.039,0.044,-0.0049999999999999975,0.0315,0.0355,-0.003999999999999997,0.01,0.021,-0.011000000000000001,0.129,0.1155,0.013499999999999998,0.1165,0.0985,0.018000000000000002,0.1165,0.096,0.020500000000000004,0.22,0.2185,0.0015000000000000013,0.161,0.144,0.017000000000000015,0.156,0.129,0.026999999999999996,0.527,0.557,-0.030000000000000027,0.284,0.2245,0.05949999999999997,0.7125,0.7245,-0.01200000000000001,0.7055,0.7210000000000001,-0.01550000000000007,0.6685000000000001,0.6995,-0.030999999999999917,0.139,0.1225,0.016500000000000015,0.0505,0.0485,0.0020000000000000018,False,False
A2-B0-C2-r19,273672,788,0.129,0.1085,0.020500000000000004,0.3275,0.3765,-0.04899999999999999,0.3735,0.406,-0.03250000000000003,0.9142857142857144,0.75,0.16428571428571437,9.0,8.0,1.0,0.208,0.2289999999999999,-0.020999999999999908,0.088,0.109,-0.021000000000000005,0.0655,0.059,0.006500000000000006,0.3695,0.388,-0.018500000000000016,0.165,0.209,-0.043999999999999984,0.0895,0.0855,0.00399999999999999,0.46,0.4885,-0.02849999999999997,0.2155,0.2675,-0.05200000000000002,0.1185,0.1,0.01849999999999999,0.5375,0.5765,-0.039000000000000035,0.169,0.148,0.02100000000000002,0.672,0.6960000000000001,-0.02400000000000002,0.5695,0.6185,-0.049000000000000044,0.337,0.3389999999999999,-0.0019999999999998908,0.1885,0.1585,0.03,0.1155,0.1,0.0155,0.045,0.033,0.011999999999999997,0.0385,0.031,0.0075,0.027,0.005,0.022,0.1325,0.102,0.030500000000000013,0.12,0.0815,0.03849999999999999,0.1175,0.0815,0.03599999999999999,0.209,0.2225,-0.013500000000000012,0.1669999999999999,0.134,0.03299999999999989,0.153,0.121,0.032,0.512,0.5670000000000001,-0.05500000000000005,0.2575,0.239,0.018500000000000016,0.6995,0.703,-0.0034999999999999476,0.6920000000000001,0.6955,-0.0034999999999999476,0.6525,0.675,-0.022500000000000075,0.141,0.106,0.03499999999999999,0.05,0.0465,0.003500000000000003,False,False
A2-B0-C2-r20,373769,468,0.1075,0.091,0.0165,0.2925,0.289,0.003500000000000003,0.313,0.3025,0.01050000000000001,0.5829383886255923,0.3770491803278688,0.2058892082977235,8.0,8.0,0.0,0.1855,0.1755,0.010000000000000009,0.087,0.09,-0.0030000000000000027,0.068,0.063,0.0050000000000000044,0.353,0.3265,0.026499999999999968,0.159,0.134,0.024999999999999994,0.094,0.0805,0.013499999999999998,0.4375,0.425,0.012500000000000011,0.2125,0.1995,0.012999999999999984,0.107,0.095,0.011999999999999997,0.524,0.506,0.018000000000000016,0.147,0.1265,0.02049999999999999,0.6204999999999999,0.631,-0.010500000000000065,0.5055,0.511,-0.00550000000000006,0.253,0.2325,0.02049999999999999,0.162,0.144,0.018000000000000016,0.103,0.093,0.009999999999999995,0.038,0.035,0.0029999999999999957,0.035,0.032,0.0030000000000000027,0.011,0.0115,-0.0005000000000000004,0.1075,0.0895,0.018000000000000002,0.0895,0.071,0.018500000000000003,0.0895,0.0684999999999999,0.021000000000000102,0.185,0.1645,0.02049999999999999,0.129,0.091,0.038000000000000006,0.119,0.086,0.033,0.4654999999999999,0.456,0.009499999999999897,0.2165,0.1945,0.021999999999999992,0.6545,0.655,-0.000500000000000056,0.64,0.65,-0.010000000000000009,0.5960000000000001,0.6154999999999999,-0.01949999999999985,0.1095,0.092,0.0175,0.047,0.045,0.0020000000000000018,True,True
