observable,coincide_fin,coincide_ini,signos_pos_fin,signos_pos_ini,d_medio_fin,d_medio_ini,r_dentro_grafo_fin,r_dentro_grafo_ini
fof_ell0.3_nmin3,3,9,3,9,-0.010749999999999994,0.0037499999999999986,-0.1649353751790602,0.7385480456367478
fof_ell0.3_nmin5,4,9,4,9,-0.0019583333333333445,0.0032083333333333334,0.17451304691081737,0.6894713513009809
fof_ell0.3_nmin10,8,8,8,8,0.003458333333333336,0.0038333333333333327,0.7024659346792689,0.45798662122524625
fof_ell0.45_nmin3,3,11,3,11,-0.013500000000000007,0.015708333333333324,-0.2986676271936909,0.9631103331575126
fof_ell0.45_nmin5,5,12,5,12,-0.004291666666666662,0.020208333333333328,0.0704439728076467,0.9816139026904928
fof_ell0.45_nmin10,10,11,10,11,0.006500000000000006,0.01875,0.7922693554500697,0.9593956995402029
fof_ell0.6_nmin3,2,7,2,7,-0.019083333333333324,0.004625000000000004,-0.4878205948654434,0.49949442919450593
fof_ell0.6_nmin5,4,11,4,11,-0.009708333333333347,0.022041666666666664,-0.0472638138261977,0.9228454213296837
fof_ell0.6_nmin10,10,12,10,12,0.008208333333333335,0.023916666666666666,0.8044908559351807,0.9636573856811999
fof_ell1.0_nmin3,1,2,1,2,-0.023583333333333328,-0.026833333333333376,-0.6650104207018462,-0.5222731433835186
fof_ell1.0_nmin5,4,4,4,4,-0.014583333333333332,-0.018125000000000002,-0.3602118720039842,-0.057177438067853595
fof_ell1.0_nmin10,10,7,10,7,0.013541666666666665,0.007458333333333319,0.8530963825378819,0.48926379279463506
fof_ell2.0_nmin3,2,1,2,1,-0.014458333333333342,-0.007041666666666659,-0.6195634418931093,-0.35532852345328503
fof_ell2.0_nmin5,1,2,1,2,-0.020624999999999994,-0.00975,-0.6539216991432919,-0.5399905569933146
fof_ell2.0_nmin10,5,1,5,1,0.002416666666666676,-0.01658333333333331,0.3739675331655754,-0.7398881408698923
knn8_frac_rho_mayor_100x,9,12,9,12,0.010875000000000004,0.01904166666666667,0.8410475854549739,0.9806621178544757
knn8_frac_rho_mayor_1000x,9,10,9,10,0.008833333333333332,0.001958333333333335,0.9455447370896891,0.9084217717277372
