rule_id,seed,brazo,deriva_energia_rel,segundos,ini_m10,ini_m30,ini_m100,ini_m300,ini_m1000,ini_m3000,ini_m10000,ini_m30000,ini_m49453,fin_m10,fin_m30,fin_m100,fin_m300,fin_m1000,fin_m3000,fin_m10000,fin_m30000,fin_m49453
A2-B0-C2-batch3-r0,471829,solap,-4.749759722702574e-06,140.7,0.7715,0.3935,0.191,0.0905,0.052,0.036,0.0005,0.0,0.0,0.7025,0.3685,0.222,0.194,0.153,0.1035,0.072,0.043,0.034
A2-B0-C2-batch3-r0,471829,disj,-5.8340605329205615e-06,141.0,0.791,0.4145,0.1865,0.0865,0.0525,0.0375,0.004,0.0,0.0,0.7165,0.4075,0.2345,0.18,0.141,0.1015,0.074,0.0495,0.04
A2-B0-C2-batch3-r111,482596,solap,-3.7915834146125658e-06,141.2,0.6025,0.2585,0.1395,0.079,0.0495,0.034,0.0005,0.0,0.0,0.551,0.2795,0.19,0.155,0.1205,0.089,0.066,0.037,0.026
A2-B0-C2-batch3-r111,482596,disj,-2.5502226556804206e-06,141.9,0.6225,0.2415,0.123,0.0725,0.0485,0.0315,0.0,0.0,0.0,0.551,0.271,0.1775,0.145,0.1145,0.0865,0.0645,0.04,0.0275
A2-B0-C2-batch3-r60,477649,solap,-4.591597670439431e-06,141.2,0.588,0.2245,0.1355,0.0785,0.05,0.0365,0.0005,0.0,0.0,0.528,0.2605,0.183,0.146,0.115,0.0865,0.0695,0.0435,0.0325
A2-B0-C2-batch3-r60,477649,disj,-3.307051091306675e-06,140.7,0.605,0.2505,0.127,0.074,0.0495,0.0335,0.0005,0.0,0.0,0.557,0.2865,0.1765,0.138,0.1085,0.085,0.0645,0.039,0.0245
A2-B0-C2-batch4-r10,572799,solap,-3.8443702852181615e-06,154.1,0.6245,0.277,0.154,0.081,0.0515,0.0355,0.001,0.0,0.0,0.564,0.289,0.1935,0.16,0.1245,0.094,0.0655,0.043,0.032
A2-B0-C2-batch4-r10,572799,disj,-3.606971025534424e-06,153.7,0.6545,0.278,0.147,0.0805,0.0515,0.0355,0.0005,0.0,0.0,0.5855,0.3055,0.19,0.1575,0.126,0.094,0.0675,0.046,0.032
A2-B0-C2-batch4-r36,575321,solap,-8.197195262144747e-06,154.2,0.792,0.373,0.1845,0.089,0.0515,0.035,0.001,0.0,0.0,0.7195,0.3805,0.2185,0.1725,0.137,0.101,0.079,0.054,0.0435
A2-B0-C2-batch4-r36,575321,disj,-5.245463714411436e-06,153.8,0.789,0.4185,0.1815,0.087,0.051,0.0345,0.0,0.0,0.0,0.7275,0.399,0.2305,0.1735,0.137,0.102,0.072,0.044,0.0355
A2-B0-C2-batch4-r62,577843,solap,-3.0571943787686996e-06,155.0,0.5715,0.1955,0.1245,0.074,0.05,0.0335,0.0,0.0,0.0,0.497,0.2185,0.1635,0.1385,0.1065,0.086,0.06,0.038,0.0245
A2-B0-C2-batch4-r62,577843,disj,-3.2551067502496893e-06,153.9,0.595,0.2185,0.1085,0.0705,0.0475,0.031,0.0005,0.0,0.0,0.5365,0.2495,0.1555,0.1255,0.1015,0.081,0.0605,0.0325,0.016
A2-B0-C2-r14,273187,solap,-2.6635949550524616e-06,163.2,0.5395,0.2135,0.118,0.0705,0.0485,0.034,0.0005,0.0,0.0,0.4945,0.2305,0.1675,0.129,0.1055,0.08,0.0615,0.038,0.025
A2-B0-C2-r14,273187,disj,-2.5151973713798997e-06,163.4,0.615,0.211,0.1,0.066,0.0445,0.0275,0.0,0.0,0.0,0.5635,0.248,0.164,0.1305,0.106,0.0835,0.055,0.0305,0.018
A2-B0-C2-r17,273478,solap,-4.963127828366393e-06,163.2,0.581,0.245,0.139,0.077,0.0505,0.034,0.0,0.0,0.0,0.5255,0.2665,0.182,0.1485,0.122,0.091,0.068,0.0455,0.034
A2-B0-C2-r17,273478,disj,-2.8732739203000444e-06,163.1,0.6165,0.235,0.1225,0.075,0.0485,0.034,0.0,0.0,0.0,0.5315,0.268,0.184,0.1445,0.11,0.084,0.0615,0.04,0.027
A2-B0-C2-r19,273672,solap,-2.8896368173280104e-06,162.3,0.53,0.2435,0.141,0.0775,0.05,0.034,0.001,0.0,0.0,0.4945,0.262,0.1885,0.1515,0.1155,0.0865,0.0625,0.0365,0.024
A2-B0-C2-r19,273672,disj,-2.7862854928911187e-06,162.5,0.5895,0.238,0.106,0.0695,0.0465,0.028,0.0,0.0,0.0,0.5395,0.2605,0.1585,0.128,0.1,0.082,0.06,0.0375,0.0225
A2-B0-C2-r20,373769,solap,-5.133864751447096e-06,133.8,0.463,0.196,0.1095,0.072,0.047,0.0305,0.0,0.0,0.0,0.4235,0.222,0.162,0.126,0.103,0.082,0.067,0.042,0.03
A2-B0-C2-r20,373769,disj,-3.1201426171182313e-06,133.8,0.499,0.1735,0.092,0.062,0.045,0.0275,0.0,0.0,0.0,0.4655,0.192,0.144,0.1125,0.093,0.0785,0.058,0.0325,0.015
A2-B0-C2-r28,374545,solap,-3.18117847184167e-06,134.2,0.4545,0.2325,0.137,0.0775,0.0505,0.0335,0.0005,0.0,0.0,0.4315,0.236,0.183,0.1475,0.1155,0.086,0.0655,0.0415,0.032
A2-B0-C2-r28,374545,disj,-3.88171793641336e-06,134.0,0.5245,0.1815,0.0965,0.065,0.046,0.0285,0.0,0.0,0.0,0.4915,0.225,0.151,0.1155,0.098,0.08,0.058,0.0365,0.022
A2-B0-C2-r39,375612,solap,-3.7633626159267043e-06,133.7,0.3975,0.186,0.1255,0.0745,0.0485,0.034,0.0005,0.0,0.0,0.3805,0.204,0.1645,0.129,0.1035,0.08,0.065,0.0455,0.036
A2-B0-C2-r39,375612,disj,-8.189863617945364e-07,133.9,0.4195,0.133,0.08,0.059,0.045,0.019,0.0,0.0,0.0,0.3845,0.169,0.1215,0.094,0.08,0.0615,0.0485,0.027,0.0095
