rule_id,seed,brazo,n_puntos,masa_total,ph_fofcomun_ell0.3,nb_fofcomun_ell0.3,ic_fofcomun_ell0.3,ph_fofcomun_ell0.45,nb_fofcomun_ell0.45,ic_fofcomun_ell0.45,ph_fofcomun_ell0.6,nb_fofcomun_ell0.6,ic_fofcomun_ell0.6,ph_fofcomun_ell1.0,nb_fofcomun_ell1.0,ic_fofcomun_ell1.0,ph_fofcomun_ell2.0,nb_fofcomun_ell2.0,ic_fofcomun_ell2.0
A2-B0-C2-batch3-r0,471829,solap,1700,18800.0,0.1629999999999999,0.147,0.0385,0.2089999999999999,0.286,0.1555,0.28099999999999997,0.3364999999999999,0.226,0.5694999999999999,0.4665,0.5810000000000001,0.8139999999999998,0.7310000000000001,0.8210000000000001
A2-B0-C2-batch3-r0,471829,disj,1717,18800.000000000004,0.15949999999999992,0.1495,0.0415,0.20999999999999994,0.2565,0.1485,0.29549999999999993,0.3385,0.2365,0.611,0.4895,0.627,0.8314999999999994,0.7655,0.8330000000000001
A2-B0-C2-batch3-r111,482596,solap,1752,18800.000000000007,0.13299999999999992,0.1144999999999999,0.037,0.13999999999999996,0.214,0.1185,0.19249999999999995,0.259,0.1535,0.41999999999999993,0.3675,0.4305,0.7109999999999994,0.6115,0.7190000000000001
A2-B0-C2-batch3-r111,482596,disj,1778,18800.000000000004,0.11750000000000001,0.114,0.0335,0.15550000000000003,0.2215,0.101,0.20249999999999999,0.2995,0.149,0.46099999999999985,0.4005,0.425,0.7019999999999996,0.5915,0.718
A2-B0-C2-batch3-r60,477649,solap,1751,18800.000000000004,0.13149999999999998,0.093,0.0365,0.14849999999999997,0.1745,0.1155,0.19249999999999995,0.2345,0.1595,0.4115,0.348,0.3885,0.6894999999999997,0.5855,0.705
A2-B0-C2-batch3-r60,477649,disj,1770,18800.000000000004,0.11900000000000002,0.1085,0.033,0.1475,0.1985,0.107,0.22099999999999997,0.276,0.145,0.423,0.388,0.4235,0.7059999999999996,0.6045,0.7075
A2-B0-C2-batch4-r10,572799,solap,1740,18800.000000000004,0.14449999999999996,0.1005,0.0385,0.16549999999999995,0.2035,0.1305,0.20499999999999996,0.2665,0.191,0.42849999999999994,0.3925,0.4345,0.7254999999999995,0.632,0.7295
A2-B0-C2-batch4-r10,572799,disj,1746,18800.000000000004,0.13599999999999998,0.108,0.032,0.15099999999999997,0.212,0.1185,0.218,0.2725,0.173,0.47599999999999987,0.3785,0.483,0.7374999999999997,0.652,0.7425
A2-B0-C2-batch4-r36,575321,solap,1707,18800.000000000004,0.15599999999999994,0.123,0.0345,0.19699999999999993,0.2235,0.154,0.2599999999999999,0.3055,0.2395,0.5794999999999999,0.4335,0.5885,0.8234999999999998,0.7425,0.8235
A2-B0-C2-batch4-r36,575321,disj,1717,18800.000000000004,0.1509999999999999,0.133,0.043,0.2064999999999999,0.2714999999999999,0.1475,0.31249999999999983,0.3475,0.2215,0.6019999999999999,0.4755,0.636,0.8249999999999996,0.743,0.83
A2-B0-C2-batch4-r62,577843,solap,1769,18800.000000000007,0.11949999999999997,0.089,0.032,0.12349999999999996,0.155,0.106,0.14949999999999997,0.223,0.14,0.3674999999999999,0.3345,0.3339999999999999,0.6804999999999995,0.5505,0.6925
A2-B0-C2-batch4-r62,577843,disj,1796,18800.000000000004,0.10600000000000001,0.0925,0.0255,0.12400000000000001,0.158,0.09,0.173,0.2065,0.1235,0.4059999999999999,0.313,0.3975,0.6894999999999996,0.5785,0.6970000000000001
A2-B0-C2-r14,273187,solap,1783,18800.000000000004,0.12050000000000001,0.1025,0.037,0.13299999999999998,0.1705,0.0975,0.1885,0.2255,0.1385,0.36799999999999994,0.293,0.3695,0.6704999999999994,0.5395,0.6755
A2-B0-C2-r14,273187,disj,1806,18800.000000000004,0.10350000000000001,0.0985,0.032,0.12500000000000003,0.1635,0.081,0.1795,0.226,0.121,0.39999999999999997,0.308,0.3915,0.7054999999999998,0.588,0.7045
