d,N,r,cascaron,pi
1,2500,1,2.0,1.0
1,2500,2,2.0,0.5
1,2500,3,2.0,0.3333333333333333
1,2500,4,2.0,0.25
1,2500,5,2.0,0.2
1,2500,6,2.0,0.16666666666666666
1,2500,7,2.0,0.14285714285714285
1,2500,8,2.0,0.125
1,2500,9,2.0,0.1111111111111111
1,2500,10,2.0,0.1
1,2500,11,2.0,0.09090909090909091
1,2500,12,2.0,0.08333333333333333
1,2500,13,2.0,0.07692307692307693
1,2500,14,2.0,0.07142857142857142
1,2500,15,2.0,0.06666666666666667
1,2500,16,2.0,0.0625
1,2500,17,2.0,0.058823529411764705
1,2500,18,2.0,0.05555555555555555
1,2500,19,2.0,0.05263157894736842
1,2500,20,2.0,0.05
1,2500,21,2.0,0.047619047619047616
1,2500,22,2.0,0.045454545454545456
1,2500,23,2.0,0.043478260869565216
1,2500,24,2.0,0.041666666666666664
1,2500,25,2.0,0.04
1,2500,26,2.0,0.038461538461538464
1,2500,27,2.0,0.037037037037037035
1,2500,28,2.0,0.03571428571428571
1,2500,29,2.0,0.034482758620689655
1,2500,30,2.0,0.03333333333333333
1,2500,31,2.0,0.03225806451612903
1,2500,32,2.0,0.03125
1,2500,33,2.0,0.030303030303030304
1,2500,34,2.0,0.029411764705882353
1,2500,35,2.0,0.02857142857142857
1,2500,36,2.0,0.027777777777777776
1,2500,37,2.0,0.02702702702702703
1,2500,38,2.0,0.02631578947368421
1,2500,39,2.0,0.02564102564102564
1,2500,40,2.0,0.025
1,2500,41,2.0,0.024390243902439025
1,2500,42,2.0,0.023809523809523808
1,2500,43,2.0,0.023255813953488372
1,2500,44,2.0,0.022727272727272728
1,2500,45,2.0,0.022222222222222223
1,2500,46,2.0,0.021739130434782608
1,2500,47,2.0,0.02127659574468085
1,2500,48,2.0,0.020833333333333332
1,2500,49,2.0,0.02040816326530612
1,2500,50,2.0,0.02
1,2500,51,2.0,0.0196078431372549
1,2500,52,2.0,0.019230769230769232
1,2500,53,2.0,0.018867924528301886
1,2500,54,2.0,0.018518518518518517
1,2500,55,2.0,0.01818181818181818
1,2500,56,2.0,0.017857142857142856
1,2500,57,2.0,0.017543859649122806
1,2500,58,2.0,0.017241379310344827
1,2500,59,2.0,0.01694915254237288
1,2500,60,2.0,0.016666666666666666
1,2500,61,2.0,0.01639344262295082
1,2500,62,2.0,0.016129032258064516
1,2500,63,2.0,0.015873015873015872
1,2500,64,2.0,0.015625
1,2500,65,2.0,0.015384615384615385
1,2500,66,2.0,0.015151515151515152
1,2500,67,2.0,0.014925373134328358
1,2500,68,2.0,0.014705882352941176
1,2500,69,2.0,0.014492753623188406
1,2500,70,2.0,0.014285714285714285
1,2500,71,2.0,0.014084507042253521
1,2500,72,2.0,0.013888888888888888
1,2500,73,2.0,0.0136986301369863
1,2500,74,2.0,0.013513513513513514
1,2500,75,2.0,0.013333333333333334
1,2500,76,2.0,0.013157894736842105
1,2500,77,2.0,0.012987012987012988
1,2500,78,2.0,0.01282051282051282
1,2500,79,2.0,0.012658227848101266
1,2500,80,2.0,0.0125
1,2500,81,2.0,0.012345679012345678
1,2500,82,2.0,0.012195121951219513
1,2500,83,2.0,0.012048192771084338
1,2500,84,2.0,0.011904761904761904
1,2500,85,2.0,0.011764705882352941
1,2500,86,2.0,0.011627906976744186
1,2500,87,2.0,0.011494252873563218
1,2500,88,2.0,0.011363636363636364
1,2500,89,2.0,0.011235955056179775
1,2500,90,2.0,0.011111111111111112
1,2500,91,2.0,0.01098901098901099
1,2500,92,2.0,0.010869565217391304
1,2500,93,2.0,0.010752688172043012
1,2500,94,2.0,0.010638297872340425
1,2500,95,2.0,0.010526315789473684
1,2500,96,2.0,0.010416666666666666
1,2500,97,2.0,0.010309278350515464
1,2500,98,2.0,0.01020408163265306
1,2500,99,2.0,0.010101010101010102
1,2500,100,2.0,0.01
1,2500,101,2.0,0.009900990099009901
1,2500,102,2.0,0.00980392156862745
1,2500,103,2.0,0.009708737864077669
1,2500,104,2.0,0.009615384615384616
1,2500,105,2.0,0.009523809523809525
1,2500,106,2.0,0.009433962264150943
1,2500,107,2.0,0.009345794392523364
