momento,micro_paso,vitalidad_media,enlaces_vivos,proto_vivas,delta_estructural,theta_cp,tension_interna,diametro
1,1,0.973875,15,8,38.175945,0.3,2.664535259095075e-15,3
2,2,0.951049,15,8,74.356771,0.3,-8.881784265438608e-16,3
3,3,0.931423,15,8,109.597247,0.3,-4.44089211576926e-16,3
4,4,0.914912,15,8,143.947727,0.3,8.881784193214379e-16,3
5,5,0.901448,15,8,177.454211,0.3,-4.440892125307167e-16,3
6,6,0.890981,15,8,210.158365,0.3,2.220446043080233e-16,3
7,7,0.883483,15,8,242.097500,0.3,2.220445838540052e-16,3
8,8,0.878953,15,8,273.304486,0.3,-3.4159858794679555e-22,3
9,9,0.877426,15,8,303.807611,0.3,-8.88219132331739e-16,3
10,10,0.878974,15,8,333.630348,0.3,3.3263612575946605e-16,3
11,11,0.883722,15,8,362.791014,0.3,2.8866061195405355e-16,3
12,12,0.891862,15,8,391.302278,0.3,2.209042998408737e-16,3
13,13,0.903665,15,8,419.170447,0.3,1.1101638077701012e-15,3
14,14,0.919508,15,8,446.394416,0.3,-4.44117634394352e-16,3
15,15,0.939901,15,8,472.964011,0.3,4.440849979359927e-16,3
16,16,0.965531,15,8,498.857075,0.3,-2.2205257577789945e-16,3
17,17,0.997319,15,8,524.048217,0.3,-2.220461851651506e-16,3
18,18,1.184811,12,7,549.426716,0.3,2.6194324487249787e-16,2
19,19,1.239456,12,7,573.115030,0.3,6.995272416876475e-16,2
20,20,1.306435,12,7,595.937555,0.3,4.432218481120742e-16,2
21,21,2.439573,6,4,618.376059,0.3,-3.8459253727671286e-16,1
22,22,2.620246,6,4,638.866683,0.3,-5.612233415002049e-16,1
23,23,2.818294,6,4,660.975608,0.3,-3.8459253727671286e-16,1
24,24,3.035170,6,4,684.826662,0.3,-5.612233415002049e-16,1
25,25,3.272443,6,4,710.553097,0.3,-5.612233415002049e-16,1
26,26,3.531805,6,4,738.298292,0.3,-5.612233415002049e-16,1
27,27,3.815086,6,4,768.216499,0.3,-5.612233415002049e-16,1
28,28,4.124256,6,4,800.473622,0.3,-4.533769266893822e-16,1
29,29,4.461446,6,4,835.248056,0.3,-4.533769266893822e-16,1
30,30,4.828953,6,4,872.731541,0.3,-4.533769266893822e-16,1
31,31,5.229254,6,4,913.130045,0.3,-4.533769266893822e-16,1
32,32,5.665022,6,4,956.664626,0.3,-4.533769266893822e-16,1
33,33,6.139141,6,4,1003.572207,0.3,-4.533769266893822e-16,1
34,34,6.654717,6,4,1054.106109,0.3,-4.533769266893822e-16,1
35,35,7.215102,6,4,1108.535923,0.3,-4.533769266893822e-16,1
36,36,7.823902,6,4,1167.145470,0.3,-4.533769266893822e-16,1
37,37,8.485002,6,4,1230.223279,0.3,-4.533769266893822e-16,1
38,38,12.271833,3,3,1298.983298,0.3,-1.1102230246251565e-16,1
39,39,13.309764,3,3,1372.104204,0.3,-1.1102230246251565e-16,1
40,40,14.435482,3,3,1451.409553,0.3,-1.1102230246251565e-16,1
41,41,15.656411,3,3,1537.422415,0.3,-1.1102230246251565e-16,1
42,42,16.980603,3,3,1630.710099,0.3,-1.1102230246251565e-16,1
43,43,18.416794,3,3,1731.887898,0.3,-1.1102230246251565e-16,1
44,44,19.974455,3,3,1841.623144,0.3,-1.1102230246251565e-16,1
45,45,21.663861,3,3,1960.639612,0.3,-1.1102230246251565e-16,1
46,46,23.496154,3,3,2089.722293,0.3,-1.1102230246251565e-16,1
47,47,25.483419,3,3,2229.722569,0.3,-1.1102230246251565e-16,1
