n,definicion,exponente,prefactor
4,excess_max,-0.5030520572799244,0.528370543813571
4,excess_L2,-0.5010318297525765,0.8039994465002859
4,excess_H,-1.0033947495988835,1.1118624965988415
6,excess_max,-0.5040977816892965,0.5369409811611981
6,excess_L2,-0.49964310982062893,0.8649694888789624
6,excess_H,-1.0010308095084857,1.403573976855087
8,excess_max,-0.5073114465571625,0.5385616327827021
8,excess_L2,-0.5003415856941092,0.9069723782749769
8,excess_H,-1.0028142603085854,1.7283177850028
12,excess_max,-0.5093358074894536,0.5137128889267109
12,excess_L2,-0.5001685293809105,0.937618918613535
12,excess_H,-1.0025853679071026,2.2645185283406777
16,excess_max,-0.5118797240724371,0.4943331404900187
16,excess_L2,-0.49945558330031226,0.9478193111562939
16,excess_H,-1.0018699656433205,2.7480722535565993
