bateria,corridas,podadas,intactas_incompletas,sin_intermedios,mb_volcados_antes,mb_liberados,mb_volcados_despues
bateria_fase7_f702_escalera,72,72,0,0,1737.29,1714.8,22.49
bateria_fase7_f704_cortar_bien,60,60,0,0,1447.04,1428.36,18.68
bateria_fase6_o3c_mecanistico,48,47,1,0,1137.01,1117.5,19.51
bateria_fase5b_a2b0c2_escala_v4,40,40,0,0,964.92,952.45,12.47
phantom_cs073,26,6,14,6,7403.6,898.44,6505.16
bateria_fase6_o3e_memoria,30,30,0,0,723.36,714.03,9.33
bateria_fase6_o3b_rewiring,24,24,0,0,579.03,571.54,7.49
bateria_fase5b_a2b0c2_escala_v3,23,23,0,0,554.79,547.61,7.18
bateria_fase6_outliers_negativos,11,11,0,0,265.48,262.07,3.41
bateria_n2000,19,9,4,6,218.86,211.91,6.95
bateria_null3_n2000,8,8,0,0,193.01,190.5,2.51
bateria_fase5b_a2b0c2_escala_v2,8,8,0,0,192.86,190.37,2.49
bateria_grafo_random_n2000,8,8,0,0,192.65,190.14,2.51
bateria_null1_n2000,8,8,0,0,185.52,183.04,2.48
bateria_null2_n2000,8,8,0,0,185.52,183.04,2.48
bateria_fase5b_a2b0c2_piloto,6,6,0,0,144.71,142.84,1.87
bateria_real_extra_n2000,5,5,0,0,120.66,119.1,1.56
ON77_sistemaB_cierre,5,5,0,0,119.97,118.41,1.56
bateria_null4_n2000,3,3,0,0,72.39,71.44,0.95
ON77_sistemaA_cierre,3,2,1,0,137.76,69.76,68.0
bateria_grafo_random_masa_fija,8,6,2,0,83.78,66.93,16.85
bateria_null5_n2000,2,2,0,0,48.24,47.62,0.62
test_turbulencia_r9,2,2,0,0,48.22,47.6,0.62
piloto_null1,4,4,0,0,26.5,26.18,0.32
piloto_null3,3,3,0,0,20.25,20.0,0.25
piloto_grafo_random,3,3,0,0,19.71,19.47,0.24
piloto_null2,3,3,0,0,19.71,19.47,0.24
piloto_null2_zeldovich,3,3,0,0,19.71,19.47,0.24
ON77_sistemaB_corregido,5,5,0,0,16.25,16.05,0.2
piloto_null3_dosis,2,2,0,0,13.61,13.44,0.17
ON77_sistemaA_corregido,4,4,0,0,12.44,12.31,0.13
N4000,26,0,0,26,16.16,0.0,16.16
bateria_fase6_o3d_kcap,38,0,0,38,11.78,0.0,11.78
bateria_fase7_f701_kcapM,36,0,0,36,11.16,0.0,11.16
TOTAL,554,420,22,112,16943.95,10185.89,6758.06
