MU,N,S0,S_final_max,alpha,alpha_c_teorico,barrido,brazo,delta_struct,k_micro,lambda_max_G,lambda_puro,n_aristas,n_vivos_fin,persiste_puro,precision,semilla,sobrevive_finito,sobrevive_ge2,tau_final
0.01,8,1.0,9.964024805848057e-07,1e-06,0.050505050505050504,A_alpha,REAL,0.003291910183369806,1375,4.0,-0.010050348348788278,0,0,0,float64,1,0,0,0
0.01,8,1.0,9.963339782047904e-07,1e-06,0.04576584235575484,A_alpha,REAL,0.0033002734459087633,1375,4.414213562373094,-0.010050371207213709,0,0,0,float64,2,0,0,0
0.01,8,1.0,9.963824113660558e-07,1e-06,0.04409824925923263,A_alpha,REAL,0.0035107029758202624,1375,4.581138830084192,-0.010050352901111358,0,0,0,float64,3,0,0,0
0.01,8,1.0,9.9657962694379e-07,1e-06,0.03858242537879851,A_alpha,REAL,0.003985133628379291,1375,5.236067977499788,-0.010050223342735452,0,0,0,float64,4,0,0,0
0.01,8,1.0,9.964225429462134e-07,1e-06,0.05449538250299351,A_alpha,REAL,0.0031519072122509115,1375,3.7071067811865483,-0.010050339509867872,0,0,0,float64,5,0,0,0
0.01,8,1.0,9.964792934706675e-07,1e-06,0.05449538250299351,A_alpha,REAL,0.0031647137781166805,1375,3.7071067811865483,-0.010050307185645582,0,0,0,float64,6,0,0,0
0.01,8,1.0,9.965194234706275e-07,1e-06,0.05449538250299351,A_alpha,REAL,0.0031828262555934875,1375,3.707106781186549,-0.010050279151551877,0,0,0,float64,7,0,0,0
0.01,8,1.0,9.962855422031521e-07,1e-06,0.03944689815669394,A_alpha,REAL,0.003918785251148165,1375,5.121320343559643,-0.010050382191906295,0,0,0,float64,8,0,0,0
0.01,8,1.0,9.96354040910821e-07,1e-06,0.05449538250299353,A_alpha,REAL,0.0031337958519617893,1375,3.707106781186547,-0.010050364512381416,0,0,0,float64,9,0,0,0
0.01,8,1.0,9.963540395324919e-07,1e-06,0.044098249259232634,A_alpha,REAL,0.00352689533986695,1375,4.581138830084191,-0.010050367545836887,0,0,0,float64,10,0,0,0
0.01,8,1.0,9.96291922677167e-07,1e-06,0.050505050505050504,A_alpha,BARAJADO,0.0032919090882053575,1375,4.0,-0.010050348353502003,0,0,0,float64,1,0,0,0
0.01,8,1.0,9.96259609628371e-07,1e-06,0.04576584235575484,A_alpha,BARAJADO,0.003300273729507815,1375,4.414213562373094,-0.0100503712088417,0,0,0,float64,2,0,0,0
0.01,8,1.0,9.962853310648647e-07,1e-06,0.04409824925923263,A_alpha,BARAJADO,0.0035107019961081775,1375,4.581138830084192,-0.010050352903014103,0,0,0,float64,3,0,0,0
0.01,8,1.0,9.964701803953826e-07,1e-06,0.03858242537879851,A_alpha,BARAJADO,0.00398512756622259,1375,5.236067977499788,-0.010050223353504174,0,0,0,float64,4,0,0,0
0.01,8,1.0,9.963046935417293e-07,1e-06,0.05449538250299351,A_alpha,BARAJADO,0.003151904995477251,1375,3.7071067811865483,-0.010050339514663552,0,0,0,float64,5,0,0,0
0.01,8,1.0,9.963486961094764e-07,1e-06,0.05449538250299351,A_alpha,BARAJADO,0.003164714762690914,1375,3.7071067811865483,-0.010050307192343151,0,0,0,float64,6,0,0,0
0.01,8,1.0,9.963941575485656e-07,1e-06,0.05449538250299351,A_alpha,BARAJADO,0.00318282507406381,1375,3.707106781186549,-0.010050279159328301,0,0,0,float64,7,0,0,0
0.01,8,1.0,9.962436709458517e-07,1e-06,0.03944689815669394,A_alpha,BARAJADO,0.003918785618636403,1375,5.121320343559643,-0.010050382192337497,0,0,0,float64,8,0,0,0
0.01,8,1.0,9.962708923015371e-07,1e-06,0.05449538250299353,A_alpha,BARAJADO,0.0031337958393167237,1375,3.707106781186547,-0.010050364514665924,0,0,0,float64,9,0,0,0
0.01,8,1.0,9.962634290639051e-07,1e-06,0.044098249259232634,A_alpha,BARAJADO,0.0035268936243441603,1375,4.581138830084191,-0.010050367547676712,0,0,0,float64,10,0,0,0
0.01,8,1.0,9.964778970028112e-07,1.778279410038923e-06,0.050505050505050504,A_alpha,REAL,0.005853931999011094,1375,4.0,-0.010050358067089118,0,0,0,float64,1,0,0,0
0.01,8,1.0,9.963560718134274e-07,1.778279410038923e-06,0.04576584235575484,A_alpha,REAL,0.005868791936729323,1375,4.414213562373094,-0.010050398720028293,0,0,0,float64,2,0,0,0
0.01,8,1.0,9.96442198355332e-07,1.778279410038923e-06,0.04409824925923263,A_alpha,REAL,0.006243003963025044,1375,4.581138830084192,-0.010050366166281353,0,0,0,float64,3,0,0,0
0.01,8,1.0,9.967929546771294e-07,1.778279410038923e-06,0.03858242537879851,A_alpha,REAL,0.007086750914044279,1375,5.236067977499788,-0.01005013576302269,0,0,0,float64,4,0,0,0
0.01,8,1.0,9.965135739638516e-07,1.778279410038923e-06,0.05449538250299351,A_alpha,REAL,0.0056049731784899755,1375,3.7071067811865483,-0.010050342348900544,0,0,0,float64,5,0,0,0
0.01,8,1.0,9.966145013497857e-07,1.778279410038923e-06,0.05449538250299351,A_alpha,REAL,0.005627756430023854,1375,3.7071067811865483,-0.01005028486478349,0,0,0,float64,6,0,0,0
0.01,8,1.0,9.966858719610726e-07,1.778279410038923e-06,0.05449538250299351,A_alpha,REAL,0.005659980792845392,1375,3.707106781186549,-0.010050235010830341,0,0,0,float64,7,0,0,0
0.01,8,1.0,9.962699362888197e-07,1.778279410038923e-06,0.03944689815669394,A_alpha,REAL,0.006968669739733342,1375,5.121320343559643,-0.010050418255537647,0,0,0,float64,8,0,0,0
0.01,8,1.0,9.96391749864374e-07,1.778279410038923e-06,0.05449538250299353,A_alpha,REAL,0.005572752348808604,1375,3.707106781186547,-0.010050386813834543,0,0,0,float64,9,0,0,0
0.01,8,1.0,9.963917455055594e-07,1.778279410038923e-06,0.044098249259232634,A_alpha,REAL,0.006271792413302441,1375,4.581138830084191,-0.010050392208784445,0,0,0,float64,10,0,0,0
0.01,8,1.0,9.96281277596074e-07,1.778279410038923e-06,0.050505050505050504,A_alpha,BARAJADO,0.005853928535517547,1375,4.0,-0.01005035808199586,0,0,0,float64,1,0,0,0
