barrido,d_aristas,d_tau,d_vivos,delta,distinguible,div_rel_S,eps_tau,operable,precision,semilla
B_delta,0,0,0,1e-20,0,0.0,0.0001,0,float64,1
B_delta,0,0,0,3.162277660168379e-20,0,0.0,0.0001,0,float64,1
B_delta,0,0,0,1e-19,0,0.0,0.0001,0,float64,1
B_delta,0,0,0,3.162277660168379e-19,0,0.0,0.0001,0,float64,1
B_delta,0,0,0,1e-18,0,0.0,0.0001,0,float64,1
B_delta,0,0,0,3.1622776601683795e-18,0,0.0,0.0001,0,float64,1
B_delta,0,0,0,1e-17,0,0.0,0.0001,0,float64,1
B_delta,0,0,0,3.1622776601683796e-17,0,0.0,0.0001,0,float64,1
B_delta,0,0,0,1e-16,0,0.0,0.0001,0,float64,1
B_delta,0,0,0,3.1622776601683793e-16,1,4.696514096402197e-16,0.0001,0,float64,1
B_delta,0,0,0,1e-15,1,4.696514096402197e-16,0.0001,0,float64,1
B_delta,0,0,0,3.1622776601683794e-15,1,4.696514096402197e-16,0.0001,0,float64,1
B_delta,0,0,0,1e-14,1,1.8786056385608787e-15,0.0001,0,float64,1
B_delta,0,0,0,3.1622776601683796e-14,1,1.8786056385608787e-15,0.0001,0,float64,1
B_delta,0,0,0,1e-13,1,3.1310093976014646e-15,0.0001,0,float64,1
B_delta,0,0,0,3.162277660168379e-13,1,1.0958532891605126e-14,0.0001,0,float64,1
B_delta,0,0,0,1e-12,1,3.162319491577479e-14,0.0001,0,float64,1
B_delta,0,0,0,3.1622776601683794e-12,1,9.721784179552547e-14,0.0001,0,float64,1
B_delta,0,0,0,1e-11,1,3.0793477425410403e-13,0.0001,0,float64,1
B_delta,0,0,0,3.1622776601683794e-11,1,9.66542601039572e-13,0.0001,0,float64,1
B_delta,0,0,0,1e-10,1,3.055552071119269e-12,0.0001,0,float64,1
B_delta,0,0,0,3.1622776601683795e-10,1,9.6647998085162e-12,0.0001,0,float64,1
B_delta,0,0,0,1e-09,1,3.0558182069180656e-11,0.0001,0,float64,1
B_delta,0,0,0,3.1622776601683795e-09,1,9.663453474475232e-11,0.0001,0,float64,1
B_delta,0,0,0,1e-08,1,3.055791593338186e-10,0.0001,0,float64,1
B_delta,0,0,0,3.162277660168379e-08,1,9.66322177977981e-10,0.0001,0,float64,1
B_delta,0,0,0,1e-07,1,3.05577296383227e-09,0.0001,0,float64,1
B_delta,0,0,0,3.162277660168379e-07,1,9.663203933026244e-09,0.0001,0,float64,1
B_delta,0,0,0,1e-06,1,3.055775609535211e-08,0.0001,0,float64,1
B_delta,0,0,0,3.162277660168379e-06,1,9.663234695193574e-08,0.0001,0,float64,1
B_delta,0,0,0,1e-05,1,3.0558071497583776e-07,0.0001,0,float64,1
B_delta,0,0,0,3.1622776601683795e-05,1,9.663551141616876e-07,0.0001,0,float64,1
B_delta,0,0,0,0.0001,1,3.056123674456914e-06,0.0001,0,float64,1
B_delta,0,0,0,0.00031622776601683794,1,9.66671672189819e-06,0.0001,0,float64,1
B_delta,0,0,0,0.001,1,3.0592900536778965e-05,0.0001,0,float64,1
B_delta,0,0,0,0.0031622776601683794,1,9.698405569744585e-05,0.0001,0,float64,1
B_delta,0,0,0,0.01,1,0.00030910591128940364,0.0001,0,float64,1
B_delta,0,0,0,0.03162277660168379,1,0.0010018734898188234,0.0001,0,float64,1
B_delta,0,0,0,0.1,1,0.003420804350268364,0.0001,0,float64,1
B_delta,0,0,0,0.31622776601683794,1,0.01052898590294016,0.0001,0,float64,1
B_delta,0,0,0,1.0,1,0.060480311998962664,0.0001,0,float64,1
B_delta,0,0,0,1e-20,0,0.0,0.0001,0,float64,2
B_delta,0,0,0,3.162277660168379e-20,0,0.0,0.0001,0,float64,2
B_delta,0,0,0,1e-19,0,0.0,0.0001,0,float64,2
B_delta,0,0,0,3.162277660168379e-19,0,0.0,0.0001,0,float64,2
B_delta,0,0,0,1e-18,0,0.0,0.0001,0,float64,2
B_delta,0,0,0,3.1622776601683795e-18,0,0.0,0.0001,0,float64,2
B_delta,0,0,0,1e-17,0,0.0,0.0001,0,float64,2
B_delta,0,0,0,3.1622776601683796e-17,0,0.0,0.0001,0,float64,2
B_delta,0,0,0,1e-16,0,0.0,0.0001,0,float64,2
B_delta,0,0,0,3.1622776601683793e-16,0,0.0,0.0001,0,float64,2
B_delta,0,0,0,1e-15,1,7.112216479539921e-16,0.0001,0,float64,2
B_delta,0,0,0,3.1622776601683794e-15,1,7.112216479539921e-16,0.0001,0,float64,2
B_delta,0,0,0,1e-14,1,3.55610823976996e-15,0.0001,0,float64,2
B_delta,0,0,0,3.1622776601683796e-14,1,1.0905398601961212e-14,0.0001,0,float64,2
B_delta,0,0,0,1e-13,1,3.484986074974561e-14,0.0001,0,float64,2
B_delta,0,0,0,3.162277660168379e-13,1,1.1095057708082276e-13,0.0001,0,float64,2
B_delta,0,0,0,1e-12,1,3.4968397691071275e-13,0.0001,0,float64,2
B_delta,0,0,0,3.1622776601683794e-12,1,1.1016823326807336e-12,0.0001,0,float64,2
B_delta,0,0,0,1e-11,1,3.484274853326607e-12,0.0001,0,float64,2
B_delta,0,0,0,3.1622776601683794e-11,1,1.101670478986601e-11,0.0001,0,float64,2
B_delta,0,0,0,1e-10,1,3.4833384114901345e-11,0.0001,0,float64,2
B_delta,0,0,0,3.1622776601683795e-10,1,1.1015068980075717e-10,0.0001,0,float64,2
B_delta,0,0,0,1e-09,1,3.483266103955926e-10,0.0001,0,float64,2
B_delta,0,0,0,3.1622776601683795e-09,1,1.101501919456036e-09,0.0001,0,float64,2
B_delta,0,0,0,1e-08,1,3.483254250261793e-09,0.0001,0,float64,2
B_delta,0,0,0,3.162277660168379e-08,1,1.1015016231136827e-08,0.0001,0,float64,2
B_delta,0,0,0,1e-07,1,3.483253894650969e-08,0.0001,0,float64,2
B_delta,0,0,0,3.162277660168379e-07,1,1.1015015199865438e-07,0.0001,0,float64,2
B_delta,0,0,0,1e-06,1,3.483252757881702e-07,0.0001,0,float64,2
B_delta,0,0,0,3.162277660168379e-06,1,1.1015003483674157e-06,0.0001,0,float64,2
B_delta,0,0,0,1e-05,1,3.4832410936096014e-06,0.0001,0,float64,2
B_delta,0,0,0,3.1622776601683795e-05,1,1.1014887002993153e-05,0.0001,0,float64,2
B_delta,0,0,0,0.0001,1,3.4831246416738054e-05,0.0001,0,float64,2
B_delta,0,0,0,0.00031622776601683794,1,0.00011013723330190464,0.0001,0,float64,2
B_delta,0,0,0,0.001,1,0.0003481963630098943,0.0001,0,float64,2
B_delta,0,0,0,0.0031622776601683794,1,0.0011002194513407256,0.0001,0,float64,2
