sustrato,r,S_r,b_r,b_ajustada,pi_obs,pi_algebraica,frac_explicada,cv_pi_r2a5
reticula_cuadrada,1,4.0,4.0,1.5874,2.0,2.0,,0.0
reticula_cuadrada,2,8.0,2.0,1.5874,2.0,1.5874,,0.0
reticula_cuadrada,3,12.0,1.5,1.5874,2.0,1.6799,,0.0
reticula_cuadrada,4,16.0,1.3333,1.5874,2.0,2.0,,0.0
reticula_cuadrada,5,20.0,1.25,1.5874,2.0,2.5398,,0.0
reticula_cuadrada,6,24.0,1.2,1.5874,2.0,3.3598,,0.0
reticula_cuadrada,7,28.0,1.1667,1.5874,2.0,4.5714,,0.0
reticula_cuadrada,8,32.0,1.1429,1.5874,2.0,6.3496,,0.0
reticula_cuadrada,9,36.0,1.125,1.5874,2.0,8.9594,,0.0
reticula_cuadrada,10,40.0,1.1111,1.5874,2.0,12.8,,0.0
reticula_cuadrada,11,44.0,1.1,1.5874,2.0,18.4716,,0.0
reticula_cuadrada,12,48.0,1.0909,1.5874,2.0,26.8783,,0.0
reticula_triangular,1,6.0,6.0,1.5874,3.0,3.0,,0.0
reticula_triangular,2,12.0,2.0,1.5874,3.0,2.3811,,0.0
reticula_triangular,3,18.0,1.5,1.5874,3.0,2.5198,,0.0
reticula_triangular,4,24.0,1.3333,1.5874,3.0,3.0,,0.0
reticula_triangular,5,30.0,1.25,1.5874,3.0,3.8098,,0.0
reticula_triangular,6,36.0,1.2,1.5874,3.0,5.0397,,0.0
reticula_triangular,7,42.0,1.1667,1.5874,3.0,6.8571,,0.0
reticula_triangular,8,48.0,1.1429,1.5874,3.0,9.5244,,0.0
reticula_triangular,9,54.0,1.125,1.5874,3.0,13.4392,,0.0
reticula_triangular,10,60.0,1.1111,1.5874,3.0,19.2,,0.0
reticula_triangular,11,66.0,1.1,1.5874,3.0,27.7074,,0.0
reticula_triangular,12,72.0,1.0909,1.5874,3.0,40.3175,,0.0
reticula_hexagonal,1,3.0,3.0,1.5874,1.5,1.5,,0.0
reticula_hexagonal,2,6.0,2.0,1.5874,1.5,1.1906,,0.0
reticula_hexagonal,3,9.0,1.5,1.5874,1.5,1.2599,,0.0
reticula_hexagonal,4,12.0,1.3333,1.5874,1.5,1.5,,0.0
reticula_hexagonal,5,15.0,1.25,1.5874,1.5,1.9049,,0.0
reticula_hexagonal,6,18.0,1.2,1.5874,1.5,2.5198,,0.0
reticula_hexagonal,7,21.0,1.1667,1.5874,1.5,3.4286,,0.0
reticula_hexagonal,8,24.0,1.1429,1.5874,1.5,4.7622,,0.0
reticula_hexagonal,9,27.0,1.125,1.5874,1.5,6.7196,,0.0
reticula_hexagonal,10,30.0,1.1111,1.5874,1.5,9.6,,0.0
reticula_hexagonal,11,33.0,1.1,1.5874,1.5,13.8537,,0.0
reticula_hexagonal,12,36.0,1.0909,1.5874,1.5,20.1587,,0.0
mundo_pequeno_k6_p0.1,1,6.045,6.045,2.3798,3.0225,3.0225,,0.6409
mundo_pequeno_k6_p0.1,2,12.35,2.043,2.3798,3.0875,3.5964,8.1708,0.6409
mundo_pequeno_k6_p0.1,3,32.66,2.6445,2.3798,5.4433,5.7057,1.08,0.6409
mundo_pequeno_k6_p0.1,4,81.47,2.4945,2.3798,10.1837,10.1837,1.0,0.6409
mundo_pequeno_k6_p0.1,5,188.03,2.308,2.3798,18.803,19.3879,1.0168,0.6409
mundo_pequeno_k6_p0.1,6,382.18,2.0325,2.3798,31.8483,38.4489,1.08,0.6409
mundo_pequeno_k6_p0.1,7,561.01,1.4679,2.3798,40.0721,78.428,1.2598,0.6409
mundo_pequeno_k6_p0.1,8,491.195,0.8756,2.3798,30.6997,163.3101,1.721,0.6409
