archivo,carpeta,N,E,cv_pi_r2a5,b_medio_r2a5,pi_r2,pi_r5,pi_max
A2-B0-C2-batch4-r49__s576582__unico__N2000.grafo.gz,OUT_pendNEG,2000,2102,0.4514,2.0323,1.392,4.545,15.187
A2-B0-C2-o3e-s586573-mem__s586573__mem__N2000.grafo.gz,O3E_memoria,2000,2046,0.4616,2.0599,1.379,4.647,14.638
A2-B0-C2-batch3-r0__s471829__rewire__N2000.grafo.gz,O3B_rewiring,2000,2308,0.4692,2.0698,1.446,4.95,19.801
A2-B0-C2-o3e-s586573-nomem__s586573__nomem__N2000.grafo.gz,O3E_memoria,2000,2085,0.4781,2.0946,1.454,5.12,15.69
A2-B0-C2-batch4-r36__s575321__rewire__N2000.grafo.gz,O3B_rewiring,2000,2343,0.4884,2.096,1.429,5.21,20.07
A2-B0-C2-batch4-r110__s582499__unico__N2000.grafo.gz,OUT_pendNEG,2000,2154,0.5019,2.0921,1.317,4.977,16.411
A2-B0-C2-batch4-r53__s576970__unico__N2000.grafo.gz,OUT_pendNEG,2000,2076,0.5045,2.1087,1.35,5.23,15.938
A2-B0-C2-kbar-r19__s9316003__regla__N2000.grafo.gz,O3D_kcap,2000,2479,0.5089,2.1657,1.583,6.073,21.327
A2-B0-C2-kbar-r65__s9320465__regla__N2000.grafo.gz,O3D_kcap,2000,2372,0.5095,2.1353,1.508,5.712,18.376
A2-B0-C2-batch4-r36__s575321__unico__N2000.grafo.gz,F5B_40pares,2000,2343,0.5102,2.1273,1.533,5.903,18.558
A2-B0-C2-batch4-r36__s575321__orig__N2000.grafo.gz,O3B_rewiring,2000,2343,0.5102,2.1273,1.533,5.903,18.558
A2-B0-C2-kbar-r0__s9314160__regla__N2000.grafo.gz,O3D_kcap,2000,2294,0.5157,2.1402,1.479,5.903,18.883
A2-B0-C2-kbar-r74__s9321338__regla__N2000.grafo.gz,O3D_kcap,2000,2224,0.5219,2.1602,1.467,5.982,17.452
