sustrato,familia,N,E,r,S_r,B_r,pi_r,pi_mediana,pi_q1,pi_q3,b_r,n_fuentes
reticula_cuadrada,reticula_a_mano,14641,29040,1,4.0,5.0,2.0,2.0,2.0,2.0,4.0,1
reticula_cuadrada,reticula_a_mano,14641,29040,2,8.0,13.0,2.0,2.0,2.0,2.0,2.0,1
reticula_cuadrada,reticula_a_mano,14641,29040,3,12.0,25.0,2.0,2.0,2.0,2.0,1.5,1
reticula_cuadrada,reticula_a_mano,14641,29040,4,16.0,41.0,2.0,2.0,2.0,2.0,1.3333333333333333,1
reticula_cuadrada,reticula_a_mano,14641,29040,5,20.0,61.0,2.0,2.0,2.0,2.0,1.25,1
reticula_cuadrada,reticula_a_mano,14641,29040,6,24.0,85.0,2.0,2.0,2.0,2.0,1.2,1
reticula_cuadrada,reticula_a_mano,14641,29040,7,28.0,113.0,2.0,2.0,2.0,2.0,1.1666666666666667,1
reticula_cuadrada,reticula_a_mano,14641,29040,8,32.0,145.0,2.0,2.0,2.0,2.0,1.1428571428571428,1
reticula_cuadrada,reticula_a_mano,14641,29040,9,36.0,181.0,2.0,2.0,2.0,2.0,1.125,1
reticula_cuadrada,reticula_a_mano,14641,29040,10,40.0,221.0,2.0,2.0,2.0,2.0,1.1111111111111112,1
reticula_cuadrada,reticula_a_mano,14641,29040,11,44.0,265.0,2.0,2.0,2.0,2.0,1.1,1
reticula_cuadrada,reticula_a_mano,14641,29040,12,48.0,313.0,2.0,2.0,2.0,2.0,1.0909090909090908,1
reticula_triangular,reticula_a_mano,14641,43440,1,6.0,7.0,3.0,3.0,3.0,3.0,6.0,1
reticula_triangular,reticula_a_mano,14641,43440,2,12.0,19.0,3.0,3.0,3.0,3.0,2.0,1
reticula_triangular,reticula_a_mano,14641,43440,3,18.0,37.0,3.0,3.0,3.0,3.0,1.5,1
reticula_triangular,reticula_a_mano,14641,43440,4,24.0,61.0,3.0,3.0,3.0,3.0,1.3333333333333333,1
reticula_triangular,reticula_a_mano,14641,43440,5,30.0,91.0,3.0,3.0,3.0,3.0,1.25,1
reticula_triangular,reticula_a_mano,14641,43440,6,36.0,127.0,3.0,3.0,3.0,3.0,1.2,1
reticula_triangular,reticula_a_mano,14641,43440,7,42.0,169.0,3.0,3.0,3.0,3.0,1.1666666666666667,1
reticula_triangular,reticula_a_mano,14641,43440,8,48.0,217.0,3.0,3.0,3.0,3.0,1.1428571428571428,1
reticula_triangular,reticula_a_mano,14641,43440,9,54.0,271.0,3.0,3.0,3.0,3.0,1.125,1
reticula_triangular,reticula_a_mano,14641,43440,10,60.0,331.0,3.0,3.0,3.0,3.0,1.1111111111111112,1
reticula_triangular,reticula_a_mano,14641,43440,11,66.0,397.0,3.0,3.0,3.0,3.0,1.1,1
reticula_triangular,reticula_a_mano,14641,43440,12,72.0,469.0,3.0,3.0,3.0,3.0,1.0909090909090908,1
reticula_hexagonal,reticula_a_mano,14641,21780,1,3.0,4.0,1.5,1.5,1.5,1.5,3.0,1
reticula_hexagonal,reticula_a_mano,14641,21780,2,6.0,10.0,1.5,1.5,1.5,1.5,2.0,1
reticula_hexagonal,reticula_a_mano,14641,21780,3,9.0,19.0,1.5,1.5,1.5,1.5,1.5,1
reticula_hexagonal,reticula_a_mano,14641,21780,4,12.0,31.0,1.5,1.5,1.5,1.5,1.3333333333333333,1
reticula_hexagonal,reticula_a_mano,14641,21780,5,15.0,46.0,1.5,1.5,1.5,1.5,1.25,1
reticula_hexagonal,reticula_a_mano,14641,21780,6,18.0,64.0,1.5,1.5,1.5,1.5,1.2,1
reticula_hexagonal,reticula_a_mano,14641,21780,7,21.0,85.0,1.5,1.5,1.5,1.5,1.1666666666666667,1
reticula_hexagonal,reticula_a_mano,14641,21780,8,24.0,109.0,1.5,1.5,1.5,1.5,1.1428571428571428,1
reticula_hexagonal,reticula_a_mano,14641,21780,9,27.0,136.0,1.5,1.5,1.5,1.5,1.125,1
reticula_hexagonal,reticula_a_mano,14641,21780,10,30.0,166.0,1.5,1.5,1.5,1.5,1.1111111111111112,1
reticula_hexagonal,reticula_a_mano,14641,21780,11,33.0,199.0,1.5,1.5,1.5,1.5,1.1,1
reticula_hexagonal,reticula_a_mano,14641,21780,12,36.0,235.0,1.5,1.5,1.5,1.5,1.0909090909090908,1
