sustrato,N,E,r,S_r,B_r,pi_r,pi_mediana,pi_q1,pi_q3,b_r,n_fuentes,cv_pi_r2a5,b_medio
reticula_cubica_3D_a_mano,29791,86490,1,6.0,7.0,3.0,3.0,3.0,3.0,6.0,1,0.2904,2.0984
reticula_cubica_3D_a_mano,29791,86490,2,18.0,25.0,4.5,4.5,4.5,4.5,3.0,1,0.2904,2.0984
reticula_cubica_3D_a_mano,29791,86490,3,38.0,63.0,6.333333333333333,6.333333333333333,6.333333333333333,6.333333333333333,2.111111111111111,1,0.2904,2.0984
reticula_cubica_3D_a_mano,29791,86490,4,66.0,129.0,8.25,8.25,8.25,8.25,1.736842105263158,1,0.2904,2.0984
reticula_cubica_3D_a_mano,29791,86490,5,102.0,231.0,10.2,10.2,10.2,10.2,1.5454545454545454,1,0.2904,2.0984
reticula_cubica_3D_a_mano,29791,86490,6,146.0,377.0,12.166666666666666,12.166666666666666,12.166666666666666,12.166666666666666,1.4313725490196079,1,0.2904,2.0984
reticula_cubica_3D_a_mano,29791,86490,7,198.0,575.0,14.142857142857142,14.142857142857142,14.142857142857142,14.142857142857142,1.356164383561644,1,0.2904,2.0984
reticula_cubica_3D_a_mano,29791,86490,8,258.0,833.0,16.125,16.125,16.125,16.125,1.303030303030303,1,0.2904,2.0984
reticula_cubica_3D_a_mano,29791,86490,9,326.0,1159.0,18.11111111111111,18.11111111111111,18.11111111111111,18.11111111111111,1.2635658914728682,1,0.2904,2.0984
reticula_cubica_3D_a_mano,29791,86490,10,402.0,1561.0,20.1,20.1,20.1,20.1,1.2331288343558282,1,0.2904,2.0984
reticula_cubica_3D_a_mano,29791,86490,11,486.0,2047.0,22.09090909090909,22.09090909090909,22.09090909090909,22.09090909090909,1.208955223880597,1,0.2904,2.0984
reticula_cubica_3D_a_mano,29791,86490,12,578.0,2625.0,24.083333333333332,24.083333333333332,24.083333333333332,24.083333333333332,1.1893004115226338,1,0.2904,2.0984
CS066_local_k5_EMERGENTE,2500,8050,1,6.72,7.72,3.36,3.0,2.5,3.5,6.72,200,0.4171,2.866
CS066_local_k5_EMERGENTE,2500,8050,2,39.315,47.035,9.82875,7.5,3.5,12.4375,5.850446428571429,200,0.4171,2.866
CS066_local_k5_EMERGENTE,2500,8050,3,56.98,104.01499999999999,9.496666666666666,6.583333333333334,3.8333333333333335,14.125,1.4493195981177667,200,0.4171,2.866
CS066_local_k5_EMERGENTE,2500,8050,4,118.985,223.0,14.873125,13.125,6.6875,21.125,2.0881888381888385,200,0.4171,2.866
CS066_local_k5_EMERGENTE,2500,8050,5,247.025,470.025,24.7025,22.85,13.85,35.9,2.0761020296676054,200,0.4171,2.866
CS066_local_k5_EMERGENTE,2500,8050,6,380.055,850.0799999999999,31.67125,34.33333333333333,21.75,42.25,1.53852848901933,200,0.4171,2.866
CS066_local_k5_EMERGENTE,2500,8050,7,445.15,1295.23,31.79642857142857,33.60714285714286,28.339285714285715,37.535714285714285,1.1712778413650655,200,0.4171,2.866
CS066_local_k5_EMERGENTE,2500,8050,8,398.305,1693.535,24.8940625,26.28125,18.53125,31.859375,0.8947658092777716,200,0.4171,2.866
CS066_local_k5_EMERGENTE,2500,8050,9,269.465,1963.0,14.970277777777776,13.722222222222221,7.041666666666666,22.569444444444446,0.6765292928785729,200,0.4171,2.866
CS066_local_k5_EMERGENTE,2500,8050,10,137.655,2100.655,6.88275,4.275,1.9375,9.712499999999999,0.5108455643590077,200,0.4171,2.866
CS066_local_k5_EMERGENTE,2500,8050,11,61.075,2161.73,2.776136363636364,1.2272727272727273,0.7159090909090909,2.693181818181818,0.4436816679379609,200,0.4171,2.866
CS066_local_k5_EMERGENTE,2500,8050,12,34.785,2196.515,1.4493749999999999,0.5833333333333334,0.2916666666666667,1.0416666666666667,0.5695456406058125,200,0.4171,2.866
CS066_local_k5_BARAJADO,2500,8050,1,7.19,8.190000000000001,3.595,3.0,2.5,3.5,7.19,200,0.703,4.9983
CS066_local_k5_BARAJADO,2500,8050,2,72.97,81.16,18.2425,13.125,8.5,23.875,10.148817802503476,200,0.703,4.9983
CS066_local_k5_BARAJADO,2500,8050,3,512.635,593.795,85.43916666666667,76.75,49.75,115.70833333333334,7.025284363437029,200,0.703,4.9983
CS066_local_k5_BARAJADO,2500,8050,4,1275.32,1869.1149999999998,159.415,166.1875,152.0,174.75,2.487773952227218,200,0.703,4.9983
CS066_local_k5_BARAJADO,2500,8050,5,422.56,2291.6749999999997,42.256,36.6,14.5,64.55000000000001,0.3313364488912587,200,0.703,4.9983
CS066_local_k5_BARAJADO,2500,8050,6,8.3,2299.975,0.6916666666666668,0.25,0.08333333333333333,0.6666666666666666,0.019642180992048466,200,0.703,4.9983
CS066_local_k5_BARAJADO,2500,8050,7,0.025,2300.0,0.0017857142857142859,0.0,0.0,0.0,0.003012048192771084,200,0.703,4.9983
CS066_local_k5_BARAJADO,2500,8050,8,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,200,0.703,4.9983
CS066_local_k5_BARAJADO,2500,8050,9,0.0,2300.0,0.0,0.0,0.0,0.0,nan,200,0.703,4.9983
CS066_local_k5_BARAJADO,2500,8050,10,0.0,2300.0,0.0,0.0,0.0,0.0,nan,200,0.703,4.9983
CS066_local_k5_BARAJADO,2500,8050,11,0.0,2300.0,0.0,0.0,0.0,0.0,nan,200,0.703,4.9983
CS066_local_k5_BARAJADO,2500,8050,12,0.0,2300.0,0.0,0.0,0.0,0.0,nan,200,0.703,4.9983
CS066_sin_local_k5_EMERGENTE,2500,32714,1,28.96,29.96,14.48,12.5,9.5,15.5,28.96,200,1.0594,10.5169
CS066_sin_local_k5_EMERGENTE,2500,32714,2,1192.25,1222.21,298.0625,325.625,211.0625,392.4375,41.16885359116022,200,1.0594,10.5169
CS066_sin_local_k5_EMERGENTE,2500,32714,3,1065.335,2287.545,177.55583333333334,161.41666666666669,116.125,237.91666666666669,0.8935500104843783,200,1.0594,10.5169
CS066_sin_local_k5_EMERGENTE,2500,32714,4,5.455,2293.0,0.681875,0.0,0.0,0.125,0.005120455068124111,200,1.0594,10.5169
CS066_sin_local_k5_EMERGENTE,2500,32714,5,0.0,2293.0,0.0,0.0,0.0,0.0,0.0,200,1.0594,10.5169
