ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color
1,0.0,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0,0,25,0.0,1,7.0,52,0.493,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,,,
2,1.263,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,0.0,2,7.0,48,0.614,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
3,2.713,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,0.0,3,7.0,49,0.569,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
4,4.114,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,0.0,4,7.0,45,1.092,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
5,6.064,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,1.0,5,31.5,64,1.17,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
6,8.064,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,1.0,6,31.5,51,0.561,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
7,9.339,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,1.0,7,31.5,60,0.431,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
8,10.616,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,1.0,8,31.5,68,1.0,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
9,12.416,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,1.0,9,31.5,60,0.926,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
10,13.939,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,1.0,10,31.5,63,0.829,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
11,15.661,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,1.0,11,31.5,40,1.135,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
12,17.639,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,1.0,12,31.5,44,0.894,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
13,19.414,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,1.0,13,31.5,51,1.125,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
14,21.389,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,1.0,14,31.5,70,0.94,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
15,23.2,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,1.0,15,31.5,53,0.998,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
16,25.022,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,1.0,16,31.5,70,0.922,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
17,26.764,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,1.0,17,31.5,60,0.742,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
18,28.439,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,1.0,18,31.5,43,0.845,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
19,30.239,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,1.0,19,31.5,52,1.025,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
20,32.089,255.0,1,7.81631749350903,1,0,0,0,0,1,,0,,,,,,0,0.0,0,25,1.0,20,31.5,40,1.124,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
