ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color,d_gyro,d_accel,d_compass
1,0.0,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,64,-5,194,63,1,0,0,25,0.0,1,7.0,42,0.709,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,,,,,,
2,2.176,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,64,-5,194,63,1,1.28,0,25,0.64,0,22.68,69,1.187,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0,0.0
3,4.7,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,62,-5,195,51,1,0.42,0,25,0.21,0,12.145,59,1.173,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.02,0.4
4,7.275,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,62,-6,195,51,1,0.0067,0,25,0.003,1,7.082,52,0.427,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0067,0.0
5,9.075,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,62,-6,195,51,1,0.0,0,25,0.0,2,7.0,51,0.758,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,11.125,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,62,-6,195,51,1,1.28,0,25,0.64,0,22.68,54,0.789,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0,0.0
7,13.375,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,62,-6,195,51,1,1.28,0,25,0.64,0,22.68,45,0.617,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0,0.0
8,15.275,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,62,-6,195,51,1,1.28,0,25,0.64,0,22.68,61,0.596,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0,0.0
9,17.2,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,62,-6,195,51,1,0.0,0,25,0.0,1,7.0,66,0.611,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,19.378,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,62,-6,194,46,1,0.1733,0,25,0.087,0,9.123,63,0.945,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0067,0.1667
11,21.849,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,61,-6,196,45,1,0.0533,0,25,0.027,1,7.653,47,0.566,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.02,0.0333
12,23.784,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,62,-6,195,44,1,0.0467,0,25,0.023,2,7.572,64,0.444,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0133,0.0333
13,25.424,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,61,-6,196,43,1,0.0467,0,25,0.023,3,7.572,59,1.153,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0133,0.0333
