ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color,d_gyro,d_accel,d_compass,veto_motivo
1,0.0,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,46,-7,199,60,1,0,0,25,0.0,1,7.0,45,0.455,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,,,,,,,
2,2.029,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,46,-8,199,60,1,0.0067,0,25,0.003,2,7.082,51,0.809,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,
3,4.2,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,46,-7,199,60,1,0.0067,0,25,0.003,3,7.082,41,1.062,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,
4,6.552,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,46,-7,199,60,1,0.0,0,25,0.0,4,7.0,42,0.418,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,8.55,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,46,-7,199,60,1,1.28,0,25,0.64,0,22.68,66,0.557,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0,0.0,
6,10.625,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,42,-5,200,57,1,0.1467,0,25,0.073,1,8.797,41,1.148,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0467,0.1,
7,13.178,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,42,-8,200,57,1,1.3,0,25,0.65,0,22.925,67,0.606,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.02,0.0,
8,15.102,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,41,-10,200,56,1,0.0533,0,25,0.027,1,7.653,67,0.998,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.02,0.0333,
9,17.577,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,44,-10,201,54,1,0.0933,0,25,0.047,2,8.143,51,0.787,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0267,0.0667,
10,19.604,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,41,-9,200,55,1,0.0667,0,25,0.033,3,7.817,59,0.576,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0333,0.0333,
