ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color,d_gyro,d_accel,d_compass,presion_desacople,veto_motivo,vetos_consecutivos
1,0.0,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,45,-3,199,302,1,0,0,-25,0.0,1,7.0,42,0.931,24.0,16.0,16.0,0.3833,0.0,0.0,0.1667,0.0,,,,,,,,,
2,2.178,24.0,1,250.0,1,0,0,0,0,1,1023,0,666,46,-3,198,308,1,2.5233,1,,,,,,,,,,0.4805,0.0,0.0,0.0278,0.09718,2.31,0.0,0.0,0.0,0.0133,0.2,0.167,obstaculo_frontal,1
3,4.018,25.0,1,250.0,1,0,0,0,0,1,1023,0,410,48,-7,195,311,1,1.45,0,-100,0.725,0,24.992,60,0.42,23.0,17.0,17.0,0.3833,0.0,0.0,0.1667,-0.00194,0.01,0.0,0.0,1.28,0.06,0.1,,,
4,5.825,23.0,1,250.0,1,0,0,0,0,1,1023,0,410,47,1,199,321,1,0.44,1,,,,,,,,,,0.4805,0.0,0.0,0.0278,0.09528,0.02,0.0,0.0,0.0,0.0867,0.3333,0.167,obstaculo_frontal,1
5,8.011,23.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-8,196,318,1,1.4667,1,,,,,,,,,,0.4612,0.0,0.0,0.0555,0.07401,0.0,0.0,0.0,1.28,0.0867,0.1,0.333,obstaculo_frontal,2
6,10.207,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,45,-2,197,286,1,3.4533,0,-60,1.0,0,32.04,52,0.708,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00529,2.32,0.0,0.0,0.0,0.0667,1.0667,,,
7,12.426,24.0,1,250.0,1,0,0,0,0,1,1023,0,410,46,-2,198,306,1,4.27,1,,,,,,,,,,0.4805,0.0,0.0,0.0278,0.092,2.31,0.0,0.0,1.28,0.0133,0.6667,0.167,obstaculo_frontal,1
8,14.546,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,46,-4,198,290,1,2.8567,0,60,1.0,0,32.27,41,0.479,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00702,2.31,0.0,0.0,0.0,0.0133,0.5333,,,
9,16.656,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,46,-4,198,289,1,0.0333,0,60,0.017,1,8.178,66,0.934,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00688,0.0,0.0,0.0,0.0,0.0,0.0333,,,
10,18.875,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,45,-4,199,288,1,1.3267,0,60,0.663,0,24.022,60,1.007,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00675,0.0,0.0,0.0,1.28,0.0133,0.0333,,,
11,21.422,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,44,-4,199,289,1,1.32,0,60,0.66,0,23.94,42,0.73,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00661,0.0,0.0,0.0,1.28,0.0067,0.0333,,,
12,23.7,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,45,-3,199,288,1,1.3267,0,60,0.663,0,24.022,42,1.042,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00648,0.0,0.0,0.0,1.28,0.0133,0.0333,,,
13,26.125,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-3,199,289,1,0.04,0,60,0.02,1,8.26,67,0.713,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00635,0.0,0.0,0.0,0.0,0.0067,0.0333,,,
14,28.177,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-4,199,285,1,0.14,0,60,0.07,2,9.485,62,0.807,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00622,0.0,0.0,0.0,0.0,0.0067,0.1333,,,
15,30.566,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,45,-4,199,285,1,0.0067,0,60,0.003,3,7.852,40,1.193,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.0061,0.0,0.0,0.0,0.0,0.0067,0.0,,,
16,33.1,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,45,-4,199,285,1,1.28,0,60,0.64,0,23.45,59,0.711,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00598,0.0,0.0,0.0,1.28,0.0,0.0,,,
17,35.152,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-4,199,285,1,1.2867,0,60,0.643,0,23.532,53,0.667,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00586,0.0,0.0,0.0,1.28,0.0067,0.0,,,
18,37.125,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-4,199,286,1,0.0333,0,60,0.017,1,8.178,58,0.94,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00574,0.0,0.0,0.0,0.0,0.0,0.0333,,,
19,39.275,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-4,199,286,1,0.0,0,60,0.0,2,7.77,46,0.469,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00562,0.0,0.0,0.0,0.0,0.0,0.0,,,
20,41.05,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-4,199,285,1,0.0333,0,60,0.017,3,8.178,64,1.15,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00551,0.0,0.0,0.0,0.0,0.0,0.0333,,,
21,43.702,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,45,-4,199,286,1,0.04,0,60,0.02,4,8.26,57,0.851,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.0054,0.0,0.0,0.0,0.0,0.0067,0.0333,,,
22,45.851,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,45,-4,199,286,1,0.0,0,60,1.0,5,32.27,70,0.987,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00529,0.0,0.0,0.0,0.0,0.0,0.0,,,
23,48.325,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,45,-3,199,280,1,1.4867,0,60,0.743,0,25.982,53,0.714,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00519,0.0,0.0,0.0,1.28,0.0067,0.2,,,
24,50.684,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,45,-4,199,280,1,1.2867,0,60,0.643,0,23.532,46,0.456,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00508,0.0,0.0,0.0,1.28,0.0067,0.0,,,
25,52.638,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,45,-4,199,280,1,1.28,0,60,0.64,0,23.45,48,0.513,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00498,0.0,0.0,0.0,1.28,0.0,0.0,,,
