ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,bateria_mv,energia,energia_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color,d_gyro,d_accel,d_compass,presion_desacople,veto_motivo,vetos_consecutivos
1,0.0,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,75,-7,190,146,1,8419.0,1.0,1,0,0,100,0.0,1,7.0,80,0.763,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,0.0,,,,,,,,,
2,2.2,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,73,-9,191,107,1,8391.0,1.0,1,2.6133,0,100,1.0,0,31.5,85,1.163,71.0,31.0,31.0,0.5321,0.5,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0333,1.3,,,
3,4.727,49.0,1,250.0,1,0,0,0,0,1,1023,0,666,72,-10,192,42,1,8433.0,1.0,1,4.2467,0,100,1.0,0,31.5,86,1.033,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,0.0,2.06,0.0,0.0,0.0,0.02,2.1667,,,
4,7.125,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,70,-9,192,301,1,8378.0,1.0,1,6.7267,0,100,1.0,0,31.5,83,0.66,61.0,21.0,21.0,0.5321,0.5,0.0,0.1667,0.0,2.06,0.0,0.0,1.28,0.02,3.3667,,,
5,9.075,63.0,1,250.0,1,0,0,0,0,1,1023,0,666,75,-6,192,205,1,8419.0,1.0,1,6.4533,0,100,1.0,0,31.5,88,0.861,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,0.0,1.92,0.0,0.0,1.28,0.0533,3.2,,,
6,11.1,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,74,-10,191,98,1,8405.0,1.0,1,6.8067,0,100,1.0,0,31.5,79,0.962,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,0.0,1.92,0.0,0.0,1.28,0.04,3.5667,,,
7,13.451,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,71,-10,192,345,1,8405.0,1.0,1,5.0733,0,100,1.0,0,31.5,82,1.065,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0267,3.7667,,,
8,15.825,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,74,-8,191,148,1,8391.0,1.0,1,5.4733,0,100,1.0,0,31.5,75,1.089,71.0,31.0,31.0,0.5321,0.5,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.04,5.4333,,,
9,18.15,255.0,1,250.0,1,0,0,0,0,1,1023,0,154,74,-9,191,32,1,8364.0,1.0,1,6.4333,0,100,1.0,0,31.5,82,1.154,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,0.0,0.0,0.0,0.0,2.56,0.0067,3.8667,,,
10,20.7,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,74,-12,191,172,1,8350.0,1.0,1,5.9667,0,100,1.0,0,31.5,86,0.664,66.0,26.0,26.0,0.5321,0.5,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.02,4.6667,,,
11,22.777,67.0,1,250.0,1,0,0,0,0,1,1023,0,666,74,-8,191,59,1,8378.0,1.0,1,6.9533,0,100,1.0,0,31.5,90,0.783,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,0.0,1.88,0.0,0.0,1.28,0.0267,3.7667,,,
12,24.9,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,71,-5,195,220,1,8378.0,1.0,1,7.3133,0,100,1.0,0,31.5,87,0.5,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,0.0,1.88,0.0,0.0,0.0,0.0667,5.3667,,,
13,26.612,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,74,-9,191,139,1,8364.0,1.0,1,4.0533,0,100,1.0,0,31.5,88,1.146,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0733,2.7,,,
14,29.002,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,75,-9,188,255,1,8350.0,1.0,1,5.1733,0,100,1.0,0,31.5,86,0.482,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0267,3.8667,,,
15,30.859,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,74,-6,191,162,1,8364.0,1.0,1,3.1467,0,100,1.0,0,31.5,89,0.911,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0467,3.1,,,
16,33.076,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,73,-7,191,356,1,8350.0,1.0,1,5.5467,0,100,1.0,0,31.5,86,0.785,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0133,5.5333,,,
17,35.175,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,73,-7,188,172,1,8378.0,1.0,1,5.8867,0,100,1.0,0,31.5,76,1.172,49.0,9.0,9.0,0.5437,0.5,0.0,0.15,0.01167,0.0,0.0,0.0,0.0,0.02,5.8667,,,
18,37.451,47.0,1,250.0,1,0,0,0,0,1,1023,0,666,72,-10,191,41,1,8364.0,1.0,1,6.4933,0,100,1.0,0,31.5,83,0.874,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,-0.00023,2.08,0.0,0.0,0.0,0.0467,4.3667,,,
19,39.749,67.0,1,250.0,1,0,0,0,0,1,1023,0,666,72,-7,192,210,1,8350.0,1.0,1,5.86,0,100,1.0,0,31.5,90,0.45,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,-0.00023,0.2,0.0,0.0,0.0,0.0267,5.6333,,,
20,41.625,255.0,1,250.0,1,0,0,0,0,1,1023,0,922,73,-7,191,111,1,8350.0,1.0,1,6.4733,0,100,1.0,0,31.5,87,0.838,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,-0.00022,1.88,0.0,0.0,1.28,0.0133,3.3,,,
21,43.7,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,71,-11,192,321,1,8267.0,0.9857,1,7.6067,0,100,1.0,0,31.5,88,1.125,255.0,215.0,215.0,0.53,0.4929,0.0,0.1667,-0.00235,0.0,0.0,0.0,2.56,0.0467,5.0,,,
22,46.151,63.0,1,250.0,1,0,0,0,0,1,1023,0,922,74,-5,191,72,1,8308.0,1.0,1,8.2467,0,100,1.0,0,31.5,83,0.736,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,-0.00017,1.92,0.0,0.0,2.56,0.0667,3.7,,,
23,48.2,182.0,1,250.0,1,0,0,0,0,1,1023,0,666,75,-7,191,311,1,8308.0,1.0,1,6.5233,0,100,1.0,0,31.5,86,1.093,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,-0.00017,1.19,0.0,0.0,1.28,0.02,4.0333,,,
24,50.675,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,74,-10,191,94,1,8350.0,1.0,1,5.5233,0,100,1.0,0,31.5,80,1.028,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,-0.00017,0.73,0.0,0.0,0.0,0.0267,4.7667,,,
25,53.107,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,72,-10,191,292,1,8364.0,1.0,1,6.6933,0,100,1.0,0,31.5,78,0.768,255.0,215.0,215.0,0.5321,0.5,0.0,0.1667,-0.00016,0.0,0.0,0.0,1.28,0.0133,5.4,,,
