t,z,y,vz,vy,thrust_z,thrust_y,battery,delta,A,e_R,lf,vy_value,wh_rth,wh_land,crashed,landed,decision
0.0,1.9999984117210319,49.99916666666667,-0.00015882789680549792,-0.08333333333333334,11.75294065238334,-10.0,0.08998543482305987,0.0,0.0,-0.0,0.4114,0.0,0.3055555555555556,0.011666666666666667,0.0,0.0,2.0
0.01,1.999996897297036,49.9975,-0.0001514423996040293,-0.16666666666666669,11.772886259664176,-10.0,0.08997085530288557,86.83184767934439,1.0,-1.0,0.4114,0.0,0.30555046296296295,0.01166665740170602,0.0,0.0,2.0
0.02,1.9999954543526084,49.995000000000005,-0.0001442944427579107,-0.25,11.772857754821535,-10.0,0.08995627580321687,3.499842147228359,1.0,-0.0,0.4114,0.0,0.3055402777777778,0.011666648567566043,0.0,0.0,2.0
0.03,1.9999940805735654,49.991666666666674,-0.00013737790430539575,-0.33333333333333337,11.772829984614303,-10.0,0.08994169632352528,3.3338567919625457,1.0,-0.0,0.4114,0.0,0.30552500000000005,0.011666640150390215,0.0,0.0,2.0
0.04,1.9999927737056795,49.987500000000004,-0.000130686788595753,-0.41666666666666674,11.772802933885158,-10.0,0.0899271168632932,3.333841413265093,1.0,-0.0,0.4114,0.0,0.30550462962962965,0.011666632136679131,0.0,0.0,2.0
0.05,1.9999915315534345,49.9825,-0.00012421522449708176,-0.5000000000000001,11.77277658769184,-10.0,0.08991253742201381,3.3338264007045932,1.0,-0.0,0.4114,0.0,0.3054791666666667,0.011666624513283132,0.0,0.0,2.0
0.06,1.9999903519787985,49.97666666666667,-0.00011795746360325764,-0.5833333333333335,11.77275093130726,-10.0,0.08989795799919086,3.3338117475082534,1.0,-0.0,0.4114,0.0,0.3054486111111111,0.011666617267395034,0.0,0.0,2.0
0.07,1.9999892329000142,49.97,-0.00011190787844133963,-0.6666666666666669,11.77272595021943,-10.0,0.08988337859433852,3.3337974469739353,1.0,-0.0,0.4114,0.0,0.30541296296296294,0.01166661038654299,0.0,0.0,2.0
0.08,1.9999881722904074,49.9625,-0.00010606096068039859,-0.7500000000000002,11.772701630131314,-10.0,0.08986879920698129,3.333783492471718,1.0,-0.0,0.4114,0.0,0.3053722222222222,0.011666603858583417,0.0,0.0,2.0
0.09,1.999987168177214,49.954166666666666,-0.00010041131934302781,-0.8333333333333336,11.772677956960484,-10.0,0.08985421983665379,3.33376987744475,1.0,-0.0,0.4114,0.0,0.30532638888888886,0.011666597671694043,0.0,0.0,2.0
0.1,1.9999862186404236,49.945,-9.495367902072613e-05,-0.916666666666667,11.772654916838675,-10.0,0.08983964048290059,3.3337565954104003,1.0,-0.0,0.4114,0.0,0.30527546296296293,0.011666591814367081,0.0,0.0,2.0
0.11,1.9999853218116426,49.935,-8.968287809384632e-05,-1.0000000000000002,11.772632496111227,-10.0,0.08982506114527614,3.3337436399612965,1.0,-0.0,0.4114,0.0,0.30521944444444443,0.011666586275402471,0.0,0.0,2.0
0.12,1.999984475872973,49.92416666666667,-8.459386695738755e-05,-1.0833333333333335,11.772610681336376,-10.0,0.08981048182334449,3.3337310047659514,1.0,-0.0,0.4114,0.0,0.3051583333333333,0.011666581043901248,0.0,0.0,2.0
0.13,1.9999836790559105,49.912513888888896,-7.968170625337831e-05,-1.1652777777777779,11.77258945928448,-9.833333333333332,0.08979600386210639,3.3337186835692094,1.0,-0.0,0.4114,0.0,0.3050921296296296,0.01166657610925901,0.0,0.0,2.0
0.14,1.9999829296402594,49.90005532407408,-7.494156511079095e-05,-1.2458564814814816,11.772568816937111,-9.669444444444444,0.08978162459056364,4.66704000352726,1.0,-0.0,0.4114,0.0,0.30502091820987653,0.011666571461159478,0.0,0.0,2.0
0.15,1.9999822259530655,49.88680440200618,-7.036871939384068e-05,-1.3250922067901236,11.772548741486034,-9.508287037037036,0.08976734139500159,4.589250514095861,1.0,-0.0,0.4114,0.0,0.30494478253600826,0.011666567089568178,0.0,0.0,2.0
0.16,1.999981566367566,49.87277432863941,-6.595854995932624e-05,-1.4030073366769549,11.772529220332142,-9.349815586419753,0.08975315171825804,4.512757616661806,1.0,-0.0,0.4114,0.0,0.30486380467892665,0.011666562984726216,0.0,0.0,2.0
0.17,1.9999809493021568,49.857978089828755,-6.170654092391812e-05,-1.4796238810656723,11.772510241084248,-9.19398532664609,0.08973905305898841,4.4375397003438,1.0,-0.0,0.4114,0.0,0.3047780653416853,0.011666559137144135,0.0,0.0,2.0
0.18,1.9999803732193773,49.84242845499828,-5.760827794201615e-05,-1.554963483047911,11.772491791557828,-9.040752237868656,0.0897250429709268,4.363575514423012,1.0,-0.0,0.4114,0.0,0.30468764388228686,0.011666555537595914,0.0,0.0,2.0
0.19,1.9999798366249124,49.82613798074831,-5.3659446494833655e-05,-1.6290474249971125,11.772473859773662,-8.890073033904178,0.08971111906214312,4.2908441623410205,1.0,-0.0,0.4114,0.0,0.3045926183361006,0.011666552177113034,0.0,0.0,2.0
0.2,1.9999793380666104,49.809119014402505,-4.98558301913121e-05,-1.701896634580494,11.772456433956423,-8.741905150005774,0.08969727899429628,4.219325095798006,1.0,-0.0,0.4114,0.0,0.30449306543790633,0.011666549046978657,0.0,0.0,2.0
0.21,1.9999788761335195,49.791383697495796,-4.6193309081576905e-05,-1.7735316906708192,11.77243950253317,-8.596206730839011,0.0896835204818836,4.148998108951007,1.0,-0.0,0.4114,0.0,0.3043890606435709,0.011666546138721895,0.0,0.0,2.0
0.22,1.9999784494549397,49.7729439692042,-4.2667857983289514e-05,-1.843972829159639,11.772423054131794,-8.452936618658361,0.08966984129148649,4.079843332707496,1.0,-0.0,0.4114,0.0,0.30428067815136317,0.011666543444112198,0.0,0.0,2.0
0.23,1.9999780566994916,49.75381156971746,-3.927554482169524e-05,-1.9132399486736449,11.772407077579391,-8.312054341680723,0.08965623924101258,4.011841229113614,1.0,-0.0,0.4114,0.0,0.3041679909229146,0.011666540955153815,0.0,0.0,2.0
0.24,1.9999776965742018,49.73399804355551,-3.601252898347338e-05,-1.9813526161957509,11.772391561900587,-8.17352010265271,0.08964271219893467,3.9449725858371254,1.0,-0.0,0.4114,0.0,0.304051070703829,0.011666538664080368,0.0,0.0,2.0
0.25,1.999977367823605,49.71351474282958,-3.2875059685188974e-05,-2.0483300725924884,11.772376496315795,-8.037294767608499,0.08962925808352656,3.8792185107411483,1.0,-0.0,0.4114,0.0,0.3039299880439503,0.01166653656334951,0.0,0.0,2.0
0.26,1.9999770692288614,49.69237283044909,-2.9859474356630473e-05,-2.11419123804928,11.772361870239427,-7.903339854815023,0.08961587486209613,3.8145604265497792,1.0,-0.0,0.4114,0.0,0.3038048123172919,0.011666534645637695,0.0,0.0,2.0
0.27,1.9999767996068911,49.67058328327494,-2.6962197039370724e-05,-2.1789547174151256,11.772347673278071,-7.77161752390144,0.089602560550216,3.7509800656003467,1.0,-0.0,0.4114,0.0,0.3036756117416333,0.011666532903835024,0.0,0.0,2.0
0.28,1.9999765578095232,49.64815689522035,-2.4179736801137582e-05,-2.2426388054582067,11.772333895228588,-7.642090565169749,0.08958931321095212,3.6884594646842075,1.0,-0.0,0.4114,0.0,0.3035424533977913,0.011666531331040198,0.0,0.0,2.0
0.29,1.9999763427226616,49.625104280300015,-2.1508686165958553e-05,-2.305261492033903,11.772320526076221,-7.514722389083587,0.08957613095409062,3.626980959976046,1.0,-0.0,0.4114,0.0,0.30340540324856885,0.011666529920555552,0.0,0.0,2.0
0.3,1.9999761532654659,49.60143587562835,-1.8945719560790027e-05,-2.3668404671666714,11.77230755599262,-7.389477015932194,0.08956301193536324,3.5665271820409687,1.0,-0.0,0.4114,0.0,0.30326452615738897,0.011666528665882192,0.0,0.0,2.0
0.31,1.999975988389548,49.57716194436787,-1.6487591778631103e-05,-2.427393126047227,11.772294975333859,-7.266319065666657,0.08954995435567203,3.5070810509331984,1.0,-0.0,0.4114,0.0,0.30311988590661765,0.011666527560715217,0.0,0.0,2.0
0.32,1.9999758470781834,49.55229257862841,-1.4131136458637148e-05,-2.4869365739464397,11.772282774638398,-7.145213747905546,0.08953695646031336,3.448625771369345,1.0,-0.0,0.4114,0.0,0.30297154521558145,0.01166652659893903,0.0,0.0,2.0
0.33,1.9999757283455375,49.526837702317934,-1.1873264583162044e-05,-2.5454876310473322,11.772270944625056,-7.0261268521071205,0.08952401653820197,3.3911448279859173,1.0,-0.0,0.4114,0.0,0.3028195657582847,0.011666525774622736,0.0,0.0,2.0
0.34,1.9999756312359076,49.50080707394597,-9.710962992262015e-06,-2.603062837196543,11.772259476190907,-6.9090247379053356,0.08951113292109547,3.334621980675712,1.0,-0.0,0.4114,0.0,0.30266400818083183,0.011666525082015634,0.0,0.0,2.0
0.35000000000000003,1.9999755548229785,49.4742102893802,-7.641292915625517e-06,-2.659678456576601,11.772248360409197,-6.793874325606914,0.08949830398281958,3.2790412599981615,1.0,-0.0,0.4114,0.0,0.3025049321185587,0.011666524515542795,0.0,0.0,2.0
0.36,1.9999754982090934,49.4470567845572,-5.661388522231167e-06,-2.715350482300324,11.772237588527208,-6.680643086846798,0.08948552813849477,3.224386962672838,1.0,-0.0,0.4114,0.0,0.302342396212879,0.011666524069800706,0.0,0.0,2.0
0.37,1.9999754605245386,49.41935583814791,-3.7684554878580664e-06,-2.7700946409286518,11.772227151964126,-6.569299035399352,0.08947280384376474,3.1706436471425756,1.0,-0.0,0.4114,0.0,0.3021764581278495,0.011666523739553044,0.0,0.0,2.0
0.38,1.9999754409268427,49.391116574178774,-1.959769580572843e-06,-2.823926396913174,11.772217042308874,-6.4598107181426965,0.08946012959402712,3.1177961292088896,1.0,-0.0,0.4114,0.0,0.3020071745664594,0.011666523519726475,0.0,0.0,2.0
0.39,1.99997543860009,49.36234796460913,-2.3267526431778068e-07,-2.876860956964621,11.772207251317951,-6.352147206173652,0.08944750392366688,3.065829477749703,1.0,-0.0,0.4114,0.0,0.3018346012866481,0.011666523405406583,0.0,0.0,2.0
0.4,1.9999754527542468,49.33305883186564,1.4154156792933996e-06,-2.928913274348544,11.772197770913234,-6.246278086070758,0.08943492540529305,3.0147290104968074,1.0,-0.0,0.4114,0.0,0.3016587931170558,0.011666523391833859,0.0,0.0,2.0
0.41000000000000003,1.999975482624502,49.30325785133455,2.9870255108655177e-06,-2.9800980531094017,11.77218859317979,-6.142173451302912,0.08942239264897911,2.9644802898914295,1.0,-0.0,0.4114,0.0,0.30147980397251223,0.011666523474399773,0.0,0.0,2.0
0.42,1.9999755274706208,49.27295355381231,4.4846118748154385e-06,-3.030429752224245,11.772179710363673,-6.039803893781197,0.08940990430150744,2.9150691190048215,1.0,-0.0,0.4114,0.0,0.3012976868692667,0.011666523648642927,0.0,0.0,2.0
0.43,1.999975586576312,49.242154327915436,5.910569122509226e-06,-3.079922589687174,11.772171114869723,-5.93914049555151,0.08939745904561844,2.8664815375303534,1.0,-0.0,0.4114,0.0,0.3011124939399641,0.011666523910245289,0.0,0.0,2.0
0.44,1.9999756592486082,49.210868422450176,7.267229616907425e-06,-3.128590546525721,11.772162799259329,-5.840154820625652,0.0893850555992646,2.818703817837486,1.0,-0.0,0.4114,0.0,0.30092427644837205,0.011666524255028487,0.0,0.0,2.0
0.45,1.9999757448172584,49.17910394874267,8.556865018913865e-06,-3.1764473707502923,11.772154756248241,-5.742818906948558,0.08937269271487015,2.771722461096973,1.0,-0.0,0.4114,0.0,0.3007330848038622,0.011666524678950215,0.0,0.0,2.0
0.46,1.9999758426341339,49.14686888293029,9.781687554983901e-06,-3.223506581237787,11.77214697870433,-5.6471052584994155,0.08936036917859644,2.725524193467236,1.0,-0.0,0.4114,0.0,0.30053896857564966,0.011666525178100674,0.0,0.0,2.0
