t,z,y,vz,vy,thrust_z,thrust_y,battery,delta,A,e_R,lf,vy_value,wh_rth,wh_land,crashed,landed,decision
0.0,1.9996076,120.0,-0.039240000000000004,0.0,7.0632,-0.0,0.09499333333333333,0.0,0.0,-0.0,0.4114,0.0,4.619166666666667,0.011666666666666667,0.0,0.0,1.0
0.01,1.9988228000000001,120.0,-0.07848000000000001,0.0,7.0632,-0.0,0.09498666666666666,40.80960000000001,1.0,-1.0,0.4114,0.0,4.619162906166666,0.011664377666666666,0.0,0.0,1.0
0.02,1.9976456,120.0,-0.11772000000000002,0.0,7.0632,-0.0,0.09498,1.5696000000000003,1.0,-0.0,0.4114,0.0,4.619155385166667,0.011659799666666668,0.0,0.0,1.0
0.03,1.996076,120.0,-0.15696000000000002,0.0,7.0632,-0.0,0.09497333333333333,1.5696000000000048,1.0,-0.0,0.4114,0.0,4.619144103666667,0.011652932666666668,0.0,0.0,1.0
0.04,1.994114,120.0,-0.1962,0.0,7.0632,-0.0,0.09496666666666666,1.5696000000000132,1.0,-0.0,0.4114,0.0,4.619129061666667,0.011643776666666666,0.0,0.0,1.0
0.05,1.9917596,120.0,-0.23544,0.0,7.0632,-0.0,0.09495999999999999,1.5695999999999999,1.0,-0.0,0.4114,0.0,4.619110259166667,0.011632331666666666,0.0,0.0,1.0
0.06,1.9890128,120.0,-0.27468000000000004,0.0,7.0632,-0.0,0.09495333333333332,1.5695999999999999,1.0,-0.0,0.4114,0.0,4.619087696166667,0.011618597666666668,0.0,0.0,1.0
0.07,1.9858736000000001,120.0,-0.31392000000000003,0.0,7.0632,-0.0,0.09494666666666665,1.5696000000000323,1.0,-0.0,0.4114,0.0,4.619061372666668,0.011602574666666667,0.0,0.0,1.0
0.08,1.982342,120.0,-0.35316000000000003,0.0,7.0632,-0.0,0.09493999999999998,1.569600000000031,1.0,-0.0,0.4114,0.0,4.619031288666666,0.011584262666666668,0.0,0.0,1.0
0.09,1.978418,120.0,-0.3924,0.0,7.0632,-0.0,0.09493333333333331,1.5695999999999999,1.0,-0.0,0.4114,0.0,4.618997444166667,0.011563661666666667,0.0,0.0,1.0
0.1,1.9741016,120.0,-0.43164,0.0,7.0632,-0.0,0.09492666666666665,1.5695999999999999,1.0,-0.0,0.4114,0.0,4.618959839166666,0.011540771666666668,0.0,0.0,1.0
0.11,1.9693928,120.0,-0.47088,0.0,7.0632,-0.0,0.09491999999999998,1.5695999999999999,1.0,-0.0,0.4114,0.0,4.618918473666666,0.011515592666666666,0.0,0.0,1.0
0.12,1.9642916000000001,120.0,-0.51012,0.0,7.0632,-0.0,0.09491333333333331,1.5695999999999999,1.0,-0.0,0.4114,0.0,4.618873347666667,0.011488124666666667,0.0,0.0,1.0
0.13,1.958798,120.0,-0.5493600000000001,0.0,7.0632,-0.0,0.09490666666666664,1.5695999999999999,1.0,-0.0,0.4114,0.0,4.618824461166667,0.011458367666666667,0.0,0.0,1.0
0.14,1.952912,120.0,-0.5886000000000001,0.0,7.0632,-0.0,0.09489999999999997,1.5696000000000598,1.0,-0.0,0.4114,0.0,4.618771814166666,0.011426321666666666,0.0,0.0,1.0
0.15,1.9466336,120.0,-0.6278400000000002,0.0,7.0632,-0.0,0.0948933333333333,1.569600000000002,1.0,-0.0,0.4114,0.0,4.6187154066666665,0.011391986666666668,0.0,0.0,1.0
0.16,1.9399628,120.0,-0.6670800000000002,0.0,7.0632,-0.0,0.09488666666666663,1.569600000000002,1.0,-0.0,0.4114,0.0,4.618655238666667,0.011355362666666667,0.0,0.0,1.0
0.17,1.9328996,120.0,-0.7063200000000003,0.0,7.0632,-0.0,0.09487999999999996,1.569600000000002,1.0,-0.0,0.4114,0.0,4.618591310166667,0.011316449666666667,0.0,0.0,1.0
0.18,1.9254440000000002,120.0,-0.7455600000000003,0.0,7.0632,-0.0,0.0948733333333333,1.569600000000002,1.0,-0.0,0.4114,0.0,4.618523621166667,0.011275247666666667,0.0,0.0,1.0
0.19,1.917596,120.0,-0.7848000000000004,0.0,7.0632,-0.0,0.09486666666666663,1.569600000000002,1.0,-0.0,0.4114,0.0,4.618452171666667,0.011231756666666667,0.0,0.0,1.0
0.2,1.9093556,120.0,-0.8240400000000004,0.0,7.0632,-0.0,0.09485999999999996,1.569600000000002,1.0,-0.0,0.4114,0.0,4.618376961666666,0.011185976666666668,0.0,0.0,1.0
0.21,1.9007228,120.0,-0.8632800000000005,0.0,7.0632,-0.0,0.09485333333333329,1.569600000000002,1.0,-0.0,0.4114,0.0,4.618297991166667,0.011137907666666667,0.0,0.0,1.0
0.22,1.8916976,120.0,-0.9025200000000005,0.0,7.0632,-0.0,0.09484666666666662,1.569600000000002,1.0,-0.0,0.4114,0.0,4.618215260166666,0.011087549666666667,0.0,0.0,1.0
0.23,1.8822800000000002,120.0,-0.9417600000000006,0.0,7.0632,-0.0,0.09483999999999995,1.569600000000002,1.0,-0.0,0.4114,0.0,4.618128768666667,0.011034902666666667,0.0,0.0,1.0
0.24,1.87247,120.0,-0.9810000000000006,0.0,7.0632,-0.0,0.09483333333333328,1.569600000000002,1.0,-0.0,0.4114,0.0,4.618038516666666,0.010979966666666667,0.0,0.0,1.0
0.25,1.8622676,120.0,-1.0202400000000007,0.0,7.0632,-0.0,0.09482666666666661,1.569600000000002,1.0,-0.0,0.4114,0.0,4.617944504166667,0.010922741666666668,0.0,0.0,1.0
0.26,1.8516728,120.0,-1.0594800000000006,0.0,7.0632,-0.0,0.09481999999999995,1.569600000000002,1.0,-0.0,0.4114,0.0,4.617846731166667,0.010863227666666666,0.0,0.0,1.0
0.27,1.8406856,120.0,-1.0987200000000006,0.0,7.0632,-0.0,0.09481333333333328,1.5696000000001087,1.0,-0.0,0.4114,0.0,4.617745197666666,0.010801424666666665,0.0,0.0,1.0
0.28,1.829306,120.0,-1.1379600000000005,0.0,7.0632,-0.0,0.09480666666666661,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.617639903666666,0.010737332666666667,0.0,0.0,1.0
0.29,1.8175340000000002,120.0,-1.1772000000000005,0.0,7.0632,-0.0,0.09479999999999994,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.617530849166666,0.010670951666666668,0.0,0.0,1.0
0.3,1.8053696000000001,120.0,-1.2164400000000004,0.0,7.0632,-0.0,0.09479333333333327,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.617418034166667,0.010602281666666668,0.0,0.0,1.0
0.31,1.7928128,120.0,-1.2556800000000004,0.0,7.0632,-0.0,0.0947866666666666,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.617301458666667,0.010531322666666667,0.0,0.0,1.0
0.32,1.7798636,120.0,-1.2949200000000003,0.0,7.0632,-0.0,0.09477999999999993,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.617181122666667,0.010458074666666668,0.0,0.0,1.0
0.33,1.7665220000000001,120.0,-1.3341600000000002,0.0,7.0632,-0.0,0.09477333333333327,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.617057026166667,0.010382537666666667,0.0,0.0,1.0
0.34,1.7527880000000002,120.0,-1.3734000000000002,0.0,7.0632,-0.0,0.0947666666666666,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.616929169166666,0.010304711666666667,0.0,0.0,1.0
0.35000000000000003,1.7386616000000001,120.0,-1.4126400000000001,0.0,7.0632,-0.0,0.09475999999999993,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.616797551666666,0.010224596666666667,0.0,0.0,1.0
0.36,1.7241428,120.0,-1.45188,0.0,7.0632,-0.0,0.09475333333333326,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.616662173666667,0.010142192666666668,0.0,0.0,1.0
0.37,1.7092316,120.0,-1.49112,0.0,7.0632,-0.0,0.09474666666666659,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.616523035166666,0.010057499666666667,0.0,0.0,1.0
0.38,1.693928,120.0,-1.53036,0.0,7.0632,-0.0,0.09473999999999992,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.616380136166667,0.009970517666666668,0.0,0.0,1.0
0.39,1.6782320000000002,120.0,-1.5695999999999999,0.0,7.0632,-0.0,0.09473333333333325,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.616233476666667,0.009881246666666666,0.0,0.0,1.0
0.4,1.6621436000000003,120.0,-1.6088399999999998,0.0,7.0632,-0.0,0.09472666666666658,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.616083056666667,0.009789686666666669,0.0,0.0,1.0
0.41000000000000003,1.6456628000000002,120.0,-1.6480799999999998,0.0,7.0632,-0.0,0.09471999999999992,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.615928876166666,0.009695837666666669,0.0,0.0,1.0
0.42,1.6287896000000002,120.0,-1.6873199999999997,0.0,7.0632,-0.0,0.09471333333333325,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.615770935166667,0.009599699666666666,0.0,0.0,1.0
0.43,1.6115240000000002,120.0,-1.7265599999999997,0.0,7.0632,-0.0,0.09470666666666658,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.6156092336666665,0.009501272666666668,0.0,0.0,1.0
0.44,1.5938660000000002,120.0,-1.7657999999999996,0.0,7.0632,-0.0,0.09469999999999991,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.6154437716666665,0.009400556666666667,0.0,0.0,1.0
0.45,1.5758156000000003,120.0,-1.8050399999999995,0.0,7.0632,-0.0,0.09469333333333324,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.615274549166667,0.009297551666666667,0.0,0.0,1.0
0.46,1.5573728000000002,120.0,-1.8442799999999995,0.0,7.0632,-0.0,0.09468666666666657,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.615101566166667,0.009192257666666669,0.0,0.0,1.0
0.47000000000000003,1.5385376000000002,120.0,-1.8835199999999994,0.0,7.0632,-0.0,0.0946799999999999,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.614924822666667,0.009084674666666667,0.0,0.0,1.0
0.48,1.5193100000000002,120.0,-1.9227599999999994,0.0,7.0632,-0.0,0.09467333333333323,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.614744318666666,0.008974802666666669,0.0,0.0,1.0
0.49,1.4996900000000002,120.0,-1.9619999999999993,0.0,7.0632,-0.0,0.09466666666666657,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.614560054166667,0.008862641666666667,0.0,0.0,1.0
0.5,1.4796776000000003,120.0,-2.0012399999999992,0.0,7.0632,-0.0,0.0946599999999999,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.614372029166667,0.008748191666666669,0.0,0.0,1.0
0.51,1.4592728000000004,120.0,-2.040479999999999,0.0,7.0632,-0.0,0.09465333333333323,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.614180243666667,0.008631452666666668,0.0,0.0,1.0
0.52,1.4384756000000003,120.0,-2.079719999999999,0.0,7.0632,-0.0,0.09464666666666656,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.613984697666667,0.008512424666666669,0.0,0.0,1.0
0.53,1.4172860000000003,120.0,-2.118959999999999,0.0,7.0632,-0.0,0.09463999999999989,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.613785391166667,0.008391107666666668,0.0,0.0,1.0
0.54,1.3957040000000003,120.0,-2.158199999999999,0.0,7.0632,-0.0,0.09463333333333322,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.613582324166667,0.008267501666666668,0.0,0.0,1.0
0.55,1.3737296000000003,120.0,-2.197439999999999,0.0,7.0632,-0.0,0.09462666666666655,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.6133754966666665,0.008141606666666669,0.0,0.0,1.0
0.56,1.3513628000000004,120.0,-2.236679999999999,0.0,7.0632,-0.0,0.09461999999999988,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.613164908666667,0.008013422666666669,0.0,0.0,1.0
0.5700000000000001,1.3286036000000003,120.0,-2.275919999999999,0.0,7.0632,-0.0,0.09461333333333322,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.6129505601666665,0.007882949666666668,0.0,0.0,1.0
0.58,1.3054520000000003,120.0,-2.3151599999999988,0.0,7.0632,-0.0,0.09460666666666655,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.612732451166667,0.0077501876666666684,0.0,0.0,1.0
0.59,1.2819080000000003,120.0,-2.3543999999999987,0.0,7.0632,-0.0,0.09459999999999988,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.612510581666666,0.007615136666666669,0.0,0.0,1.0
0.6,1.2579716000000003,120.0,-2.3936399999999987,0.0,7.0632,-0.0,0.09459333333333321,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.612284951666666,0.007477796666666668,0.0,0.0,1.0
0.61,1.2336428000000004,120.0,-2.4328799999999986,0.0,7.0632,-0.0,0.09458666666666654,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.612055561166668,0.0073381676666666685,0.0,0.0,1.0
0.62,1.2089216000000005,120.0,-2.4721199999999985,0.0,7.0632,-0.0,0.09457999999999987,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.611822410166666,0.007196249666666669,0.0,0.0,1.0
0.63,1.1838080000000004,120.0,-2.5113599999999985,0.0,7.0632,-0.0,0.0945733333333332,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.611585498666667,0.0070520426666666695,0.0,0.0,1.0
0.64,1.1583020000000004,120.0,-2.5505999999999984,0.0,7.0632,-0.0,0.09456666666666654,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.611344826666667,0.006905546666666669,0.0,0.0,1.0
0.65,1.1324036000000004,120.0,-2.5898399999999984,0.0,7.0632,-0.0,0.09455999999999987,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.611100394166667,0.006756761666666669,0.0,0.0,1.0
0.66,1.1061128000000005,120.0,-2.6290799999999983,0.0,7.0632,-0.0,0.0945533333333332,1.5695999999999977,1.0,-0.0,0.4114,0.0,4.610852201166667,0.00660568766666667,0.0,0.0,1.0
