t,z,vz,thrust,delta,A,e_R,lf
0.0,0.00038493050522319175,0.038493050522319175,16.391166062678302,0.0,1.0,-1.0,0.4114
0.01,0.0011769044144824704,0.07919739092592787,16.656520848433043,40.03277254321194,1.0,-0.0,0.4114
0.02,0.002365745642676934,0.11888412281944635,16.534407827222218,3.839463497433865,1.0,-0.0,0.4114
0.03,0.003941532506833203,0.15757868641562686,16.41534763154166,2.6050777858309457,1.0,-0.0,0.4114
0.04,0.005894591366052232,0.19530588592190287,16.29926394075312,2.5399508411851945,1.0,-0.0,0.4114
0.05,0.008215490420457452,0.232089905440522,16.186082342234293,2.4764520701555393,1.0,-0.0,0.4114
0.06,0.01089503366516921,0.2679543244711756,16.075730283678432,2.414540768401655,1.0,-0.0,0.4114
0.07,0.01392425499542984,0.3029221330260629,15.968137026586474,2.354177249191638,1.0,-0.0,0.4114
0.08,0.01729441245910062,0.337015746367078,15.863233600921811,2.295322817961829,1.0,-0.0,0.4114
0.09,0.0209969826528463,0.3702570193745677,15.760952760898766,2.2379397475128227,1.0,-0.0,0.4114
0.1,0.025023655258415,0.4026672605568702,15.661228941876297,2.1819912538249664,1.0,-0.0,0.4114
0.11,0.02936632771551115,0.4342672457096151,15.56399821832939,2.127441472479279,1.0,-0.0,0.4114
0.12,0.03401710002784657,0.4650772312335414,15.469198262871155,2.074255435667387,1.0,-0.0,0.4114
0.13,0.03896826969904026,0.49511696711936953,15.376768306299375,2.0223990497757005,1.0,-0.0,0.4114
0.14,0.044212326795120785,0.524405709608052,15.286649098641892,1.9718390735312563,1.0,-0.0,0.4114
0.15,0.04974194913046596,0.5529622335345173,15.198782871175844,1.9225430966929813,1.0,-0.0,0.4114
0.16,0.05554999757409417,0.5808048443628211,15.11311329939645,1.8744795192757246,1.0,-0.0,0.4114
0.17,0.06162951147329834,0.6079513899204172,15.029585466911538,1.8276175312937504,1.0,-0.0,0.4114
0.18,0.06797370419168908,0.6344192718390734,14.948145830238749,1.7819270930114905,1.0,-0.0,0.4114
0.19,0.07457595875878671,0.6602254567097633,14.86874218448278,1.7373789156861186,1.0,-0.0,0.4114
0.2,0.08142982362837357,0.6853864869586859,14.79132362987071,1.6939444427939643,1.0,-0.0,0.4114
0.21,0.08811234187622076,0.6682518247847187,9.715840539123942,1.6515958317241886,1.0,-0.0,0.4114
0.22,0.09462779716787177,0.6515455291651007,9.767244525645843,42.98107890984846,1.0,-0.0,0.4114
0.23,0.1009803660772315,0.6352568909359732,9.817363412504697,1.0966183791339112,1.0,-0.0,0.4114
0.24,0.10717412076385724,0.6193754686625739,9.86622932719208,1.0692029196555897,1.0,-0.0,0.4114
0.25,0.11321303158331733,0.6038910819460095,9.913873594012278,1.0424728466642064,1.0,-0.0,0.4114
0.26,0.11910096963229093,0.5887938048973592,9.960326754161972,1.0164110254974767,1.0,-0.0,0.4114
0.27,0.12484170923004018,0.5740739597749253,10.005618585307923,0.9910007498601203,1.0,-0.0,0.4114
0.28,0.1304389303378457,0.5597221107805521,10.049778120675224,0.9662257311136679,1.0,-0.0,0.4114
0.29,0.13589622091795608,0.5457290580110383,10.092833667658343,0.9420700878357469,1.0,-0.0,0.4114
0.3,0.14121707923356372,0.5320858315607624,10.134812825966886,0.9185183356398996,1.0,-0.0,0.4114
0.31,0.14640491609128115,0.5187836857717434,10.175742505317713,0.8955553772488933,1.0,-0.0,0.4114
0.32,0.15146305702755564,0.5058140936274498,10.21564894268477,0.8731664928176919,1.0,-0.0,0.4114
0.33,0.15639474444042328,0.4931687412867635,10.254557719117651,0.8513373304971417,1.0,-0.0,0.4114
0.34,0.16120313966796923,0.4808395227545944,10.29249377613971,0.8300538972348015,1.0,-0.0,0.4114
0.35000000000000003,0.16589132501482654,0.46881853468572954,10.329481431736216,0.809302549803903,1.0,-0.0,0.4114
0.36,0.1704623057280124,0.4570980713185863,10.365544395942813,0.7890699860588435,1.0,-0.0,0.4114
0.37,0.17491901192336862,0.44567061953562165,10.400705786044242,0.7693432364073782,1.0,-0.0,0.4114
0.38,0.17926430046384093,0.43452885404723113,10.434988141393136,0.7501096554971354,1.0,-0.0,0.4114
0.39,0.18350095679080142,0.42366563269605034,10.468413437858306,0.7313569141097709,1.0,-0.0,0.4114
0.4,0.1876316967095879,0.41307399187864907,10.501003101911849,0.7130729912569667,1.0,-0.0,0.4114
0.41000000000000003,0.19165916813040473,0.40274714208168283,10.532778024364053,0.6952461664755649,1.0,-0.0,0.4114
0.42,0.19558595276570115,0.39267846352964075,10.563758573754951,0.6778650123136787,1.0,-0.0,0.4114
0.43,0.19941456778511515,0.38286150194139973,10.593964609411078,0.6609183870058488,1.0,-0.0,0.4114
0.44,0.2031474674290438,0.3732899643928647,10.6234154941758,0.6443954273306929,1.0,-0.0,0.4114
0.45,0.20678704458187422,0.3639577152830431,10.652130106821406,0.6282855416474109,1.0,-0.0,0.4114
0.46,0.2103356323058839,0.354858772400967,10.68012685415087,0.6125784031062675,1.0,-0.0,0.4114
0.47000000000000003,0.2137955053367933,0.34598730309094283,10.7074236827971,0.5972639430285764,1.0,-0.0,0.4114
0.48,0.21716888154193,0.3373376205136693,10.734038090727172,0.5823323444528516,1.0,-0.0,0.4114
0.49,0.22045792334193828,0.32890418000082755,10.759987138458992,0.5677740358415817,1.0,-0.0,0.4114
0.5,0.22366473909694634,0.32068157550080684,10.785287459997518,0.5535796849454955,1.0,-0.0,0.4114
0.51,0.2267913844580792,0.31266453611328665,10.809955273497579,0.5397401928218426,1.0,-0.0,0.4114
0.52,0.22983986368518375,0.30484792271045447,10.83400639166014,0.526246688001335,1.0,-0.0,0.4114
0.53,0.23281213093161068,0.2972267246426931,10.857456231868637,0.5130905208012893,1.0,-0.0,0.4114
0.54,0.23571009149687694,0.28979605652662577,10.88031982607192,0.5002632577812904,1.0,-0.0,0.4114
0.55,0.23853560304801155,0.28255115511346013,10.902611830420122,0.4877566763366903,1.0,-0.0,0.4114
0.56,0.24129047681036778,0.27548737623562364,10.92434653465962,0.4755627594283385,1.0,-0.0,0.4114
0.5700000000000001,0.2439764787286651,0.26860019182973305,10.94553787129313,0.46367369044260753,1.0,-0.0,0.4114
0.58,0.24659533059900499,0.2618851870339897,10.966199424510801,0.45208184818152475,1.0,-0.0,0.4114
0.59,0.24914871117258638,0.25533805735813997,10.986344438898032,0.44077980197699373,1.0,-0.0,0.4114
0.6,0.25163825723182826,0.24895460592418647,11.00598582792558,0.42976030692756906,1.0,-0.0,0.4114
0.61,0.25406556463958907,0.2427307407760818,11.02513618222744,0.4190162992543933,1.0,-0.0,0.4114
0.62,0.2564321893621559,0.23666247225667977,11.043807777671756,0.40854089177302044,1.0,-0.0,0.4114
0.63,0.25873964846665853,0.23074591045026277,11.062012583229961,0.39832736947870706,1.0,-0.0,0.4114
0.64,0.2609894210935486,0.2249772626890062,11.079762268649212,0.3883691852417137,1.0,-0.0,0.4114
0.65,0.26318294940476644,0.21935283112178103,11.097068211932982,0.3786599556106929,1.0,-0.0,0.4114
0.66,0.2653216395082038,0.2138690103437365,11.113941506634657,0.3691934567204114,1.0,-0.0,0.4114
0.67,0.26740686235905525,0.2085222850851431,11.13039296896879,0.35996362030243145,1.0,-0.0,0.4114
0.68,0.2694399546386354,0.2033092279580145,11.14643314474457,0.35096452979483383,1.0,-0.0,0.4114
0.6900000000000001,0.27142221961122603,0.19822649725906416,11.162072316125958,0.3421904165499856,1.0,-0.0,0.4114
0.7000000000000001,0.2733549279595019,0.19327083482758756,11.177320508222808,0.333635656136243,1.0,-0.0,0.4114
