t,alpha,theta,sigma,beta,noise,CTX,OUT,CHIRAL,N9_eff,Regimen
0,0.62,1.2,4,0.82,0.0012,0.781,9.816,0.000000,0.001,Transición
5,0.4,1.2,4,0.82,0.0012,1.268,20.592,0.000115,0.004,Transición
10,0.4,1.2,4,0.82,0.0012,1.606,33.381,0.000907,0.011,Transición
15,0.4,1.2,4,0.82,0.0012,1.877,48.212,0.003557,0.027,Transición
20,0.4,1.2,4,0.82,0.0012,1.990,64.776,0.013147,0.072,Transición
25,0.4,1.2,4,0.82,0.0012,1.611,81.369,0.047635,0.213,S.Cerrado
30,0.4,1.2,4,0.82,0.0012,0.899,92.166,0.093916,0.470,S.Cerrado
35,0.4,1.2,4,0.82,0.0012,0.467,97.364,0.098838,0.602,S.Cerrado
40,0.4,1.2,4,0.82,0.0012,0.186,99.393,0.061549,0.671,S.Cerrado
45,0.4,1.2,4,0.82,0.0012,0.034,99.946,0.015601,0.700,S.Cerrado
50,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
55,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
60,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
65,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
70,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
75,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
80,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
85,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
90,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
95,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
100,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
105,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
110,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
115,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
120,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
125,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
130,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
135,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
140,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
145,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
150,0.4,1.2,4,0.82,0.0012,0.000,100.000,0.000000,0.707,S.Cerrado
