t,alpha,theta,sigma,beta,noise,CTX,OUT,CHIRAL,N9_eff,e_R,Delta_struct,A_sys_env,LF,LambdaCos,LambdaRaw,ErrorFitness,Regimen
0,0.62,1.2,4,0.82,0.0012,0.781,9.816,0.000000,0.001,0.120895,0.023536,0.235316,0.527000,0.002919,0.024143,0.999937,Transición
5,0.62,1.2,4,0.82,0.0012,1.538,30.238,0.000383,0.007,0.000300,0.009620,0.433461,0.527287,0.000718,7.323069,0.326483,Transición
10,0.62,1.2,4,0.82,0.0012,1.985,55.661,0.004678,0.035,0.000251,0.011787,0.084893,0.530509,0.000173,2.116123,0.326182,Transición
15,0.62,1.2,4,0.82,0.0012,1.506,83.382,0.047486,0.251,0.000168,0.016884,0.099162,0.562614,0.000307,5.615990,0.325674,S.Cerrado
20,0.62,1.2,4,0.82,0.0012,0.493,96.997,0.087337,0.589,0.000085,0.003924,0.112446,0.592502,0.000085,3.079225,0.325169,S.Cerrado
25,0.62,1.2,4,0.82,0.0012,0.042,99.926,0.016930,0.697,0.000027,0.005972,0.088977,0.539697,0.000093,10.595916,0.324817,S.Cerrado
30,0.62,1.2,4,0.77,0.0012,0.000,100.000,0.000000,0.707,0.000000,0.000000,0.083333,0.527000,0.000000,0.000000,0.324652,S.Cerrado
35,0.62,1.2,4,0.72,0.0012,0.000,100.000,0.000000,0.707,0.000000,0.000000,0.083333,0.527000,0.000000,0.000000,0.324652,S.Cerrado
40,0.62,1.2,4,0.67,0.0012,0.000,100.000,0.000000,0.707,0.000000,0.000000,0.083333,0.527000,0.000000,0.000000,0.324652,S.Cerrado
45,0.62,1.2,4,0.62,0.0012,0.031,99.964,0.015696,0.707,0.000030,0.000371,0.088565,0.538772,0.000006,0.580590,0.324838,S.Cerrado
50,0.62,1.2,4,0.57,0.0012,0.171,99.686,0.068418,0.705,0.000061,0.001426,0.106139,0.578314,0.000028,1.444295,0.325022,S.Cerrado
55,0.62,1.2,4,0.52,0.0012,0.384,98.919,0.132096,0.703,0.000094,0.002273,0.127365,0.626072,0.000059,1.932112,0.325224,S.Cerrado
60,0.62,1.2,4,0.47,0.0012,0.630,97.447,0.192726,0.700,0.000110,0.002688,0.147575,0.671544,0.000087,2.411738,0.325325,S.Cerrado
65,0.62,1.2,4,0.42,0.0012,0.894,94.751,0.237354,0.697,0.000140,0.002562,0.162451,0.677000,0.000092,2.014207,0.325505,S.Cerrado
70,0.62,1.2,2,0.42,0.0012,1.160,93.709,0.305550,0.691,0.000132,0.001526,0.185183,0.677000,0.000062,1.447766,0.325458,S.Cerrado
75,0.62,1.2,2,0.42,0.0012,1.217,92.808,0.304163,0.686,0.000130,0.000848,0.184721,0.677000,0.000035,0.815807,0.325444,S.Cerrado
80,0.62,1.2,2,0.42,0.0012,1.242,92.085,0.293372,0.681,0.000132,0.000982,0.181124,0.677000,0.000039,0.909928,0.325458,S.Cerrado
85,0.62,1.2,2,0.42,0.0012,1.257,91.519,0.281661,0.678,0.000137,0.000905,0.177220,0.677000,0.000035,0.790463,0.325489,S.Cerrado
90,0.62,1.2,2,0.42,0.0012,1.268,91.082,0.270777,0.675,0.000144,0.000771,0.173592,0.677000,0.000029,0.627636,0.325532,S.Cerrado
95,0.62,1.2,2,0.42,0.0012,1.276,90.750,0.261353,0.672,0.000151,0.000640,0.170451,0.677000,0.000024,0.489044,0.325573,S.Cerrado
100,0.62,1.2,0.7,0.42,0.0012,1.442,90.381,0.278353,0.669,0.000131,0.000617,0.176118,0.677000,0.000024,0.561292,0.325451,S.Cerrado
105,0.62,1.2,0.7,0.42,0.0012,1.470,89.843,0.266022,0.666,0.000125,0.001092,0.172007,0.677000,0.000041,1.020380,0.325412,S.Cerrado
110,0.62,1.2,0.7,0.42,0.0012,1.483,89.247,0.251102,0.664,0.000134,0.001156,0.167034,0.677000,0.000043,0.976425,0.325468,S.Cerrado
115,0.62,1.2,0.7,0.42,0.0012,1.494,88.654,0.236403,0.661,0.000127,0.001112,0.162134,0.677000,0.000040,0.958258,0.325429,S.Cerrado
120,0.62,1.2,0.7,0.42,0.0012,1.506,88.098,0.222093,0.660,0.000135,0.001059,0.157364,0.677000,0.000037,0.836308,0.325474,S.Cerrado
125,0.62,1.2,0.7,0.42,0.0012,1.519,87.597,0.208441,0.657,0.000136,0.001014,0.152814,0.677000,0.000034,0.771050,0.325482,S.Cerrado
130,0.62,1.2,0.7,0.42,0.0012,1.534,87.162,0.195332,0.655,0.000139,0.000940,0.148444,0.673499,0.000031,0.675533,0.325500,S.Cerrado
135,0.62,1.2,0.7,0.42,0.0012,1.550,86.799,0.183060,0.654,0.000141,0.000855,0.144353,0.664295,0.000027,0.583342,0.325509,S.Cerrado
140,0.62,1.2,0.7,0.42,0.0012,1.566,86.508,0.172013,0.652,0.000138,0.000739,0.140671,0.656010,0.000022,0.492485,0.325496,S.Cerrado
145,0.62,1.2,0.7,0.42,0.0012,1.581,86.286,0.162331,0.651,0.000146,0.000642,0.137444,0.648749,0.000019,0.391965,0.325542,S.Cerrado
150,0.62,1.2,0.7,0.42,0.0012,1.595,86.123,0.154292,0.650,0.000145,0.000520,0.134764,0.642719,0.000015,0.310655,0.325536,S.Cerrado
