semilla,r_real,percentil_r_real_en_nula,media_nula,desviacion_nula
1,-0.15955406633171446,11.9,-0.0029461228701698804,0.1346072178379428
2,-0.3000449444819189,1,-0.0027570857070761835,0.12699788104432494
3,-0.34320283161676346,0.2,-0.003910773936627353,0.1322445241897718
4,-0.2533392215325836,1,-0.003219898062077596,0.13021060271552284
5,-0.16806824987449273,9.6,0.00008936669482865659,0.13031015842965202
6,-0.29318071263721834,0.5,0.00007674693661400723,0.12900637352906413
7,-0.33596851817481593,0.3,0.0005898991829365575,0.13058620879103583
8,-0.26972498617553203,1.2,-0.0007635058844901239,0.13175774922595335
9,-0.31630691247512843,0.2,-0.0010065257360527215,0.13397333462962283
10,-0.2809382913641194,1,-0.007073350349662932,0.1281392375726793
11,-0.18348016452266674,6.5,-0.0002624388099414102,0.12664878455002557
12,-0.22325038860131774,5.2,-0.0015816516646761478,0.13346350517480854
13,-0.16173568111048206,11.5,-0.0013987100781989534,0.1314073861770253
14,-0.19494312079433812,5.3,-0.004148185390012035,0.12427705321162386
15,-0.2949720402152194,0.9,-0.0001758902905661547,0.12933259640998335
16,-0.3143218351806568,0.5,-0.0017073433473896997,0.12604940220679553
17,-0.25612385485980704,2.2,-0.003912168155667156,0.1273423455371657
18,-0.19495293622682838,5.6,0.005380219831439559,0.12826824650608704
19,-0.3560456807492677,0.1,-0.0015402879325237485,0.13035507801921078
20,-0.14565628256533783,13.7,0.0007928998744377858,0.13134268144349795
21,-0.13193533061156518,17.6,-0.0073973600042079235,0.1303125724164309
22,-0.13742426286924883,14.8,-0.00008512122710980552,0.13038968781695298
23,-0.15362747460381787,11,-0.002445003673362224,0.1266169126479453
24,-0.3003694202430459,0.6,-0.0016793363979342977,0.12953916781887587
25,-0.299027645550576,0.7,-0.004559249959707717,0.1320626078305626
26,-0.3313798135860003,0.3,0.0052697808901114,0.12940268638292854
27,-0.2018349363129042,4.6,0.004170199914720338,0.12832940958444958
28,-0.1297923226149272,15.5,0.0022057144932376323,0.12926621970071456
29,-0.20802947649413464,4.9,0.0006950450784292494,0.13470559972574297
30,-0.15001841034908073,13.3,0.002902864536077107,0.12895623383334706
