semilla,modo,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,pasos_recuperacion,recuperacion_completa,tasa_recuperacion,varianza_potencia_viva,autocorrelacion1_potencia_viva,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
2,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.2500,4027.8,0,0.000248,6.6487e-7,0.97609,0.9413,4.2682,0.4420,3.0681,4.3125,5.4886,48.40280,0.4712,0.001921,0.2168,0.00349,0.00349,0.07861,98,0.1610,banda<=ruido,0
2,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.2788,4026.8,0,0.000248,3.6310e-6,0.98914,0.9992,4.3111,0.2864,3.0943,4.3956,5.3561,61.06585,0.5090,0.001909,0.2026,0.00646,0.00646,0.07765,107,0.1723,banda<=ruido,0
2,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.3076,4026.2,0,0.000248,3.7921e-6,0.98295,1.4114,4.3422,0.7978,3.0371,4.4495,5.2643,70.15930,0.5419,0.001850,0.1887,0.00743,0.00743,0.07693,114,0.1918,banda<=ruido,0
2,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.3364,4025.8,0,0.000248,6.9933e-7,0.99212,0.9982,4.3360,0.9481,3.0757,4.1480,5.1238,101.11398,0.5809,0.001719,0.1767,0.00425,0.00425,0.07880,98,0.2015,banda<=ruido,0
2,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.3653,4025.0,0,0.000248,1.2252e-6,0.98529,0.8242,4.3858,0.0695,3.0554,4.0593,5.0566,85.78108,0.6107,0.001822,0.1637,0.00558,0.00558,0.07683,98,0.2125,banda<=ruido,0
2,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.3941,4024.6,0,0.000248,1.9500e-6,0.99222,0.9950,4.3282,0.0000,2.9944,4.1876,5.0021,104.48335,0.6389,0.001723,0.1522,0.00446,0.00446,0.07683,101,0.2271,banda<=ruido,0
2,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.4229,4024.2,0,0.000248,2.6986e-6,0.99921,0.9341,4.3087,0.5436,3.1001,4.3921,4.9564,133.04580,0.6657,0.001547,0.1408,0.00573,0.00573,0.07786,109,0.2387,banda<=ruido,0
2,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.4517,4024.2,0,0.000248,1.0186e-6,0.99076,0.9992,4.3101,0.0000,3.0998,4.4702,4.7936,129.84125,0.7070,0.001776,0.1332,0.00353,0.00353,0.07812,107,0.2490,banda<=ruido,0
2,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.4805,4023.8,0,0.000249,1.2269e-6,0.98393,0.9481,4.3547,0.0000,3.0924,4.1265,4.7996,155.53098,0.7268,0.001518,0.1229,0.00334,0.00334,0.07836,93,0.2586,banda<=ruido,0
2,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.5093,4023.4,0,0.000249,3.9487e-7,0.99742,0.8366,4.3493,0.0000,3.0810,4.2034,4.7817,148.73094,0.7491,0.001678,0.1137,0.00253,0.00253,0.07856,87,0.2706,banda<=ruido,0
