semilla,modo,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,pasos_recuperacion,recuperacion_completa,tasa_recuperacion,varianza_potencia_viva,autocorrelacion1_potencia_viva,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.2500,4024.4,0,0.000248,1.1087e-6,0.98410,0.8366,4.3222,0.9837,3.2272,4.1590,4.8433,18.29565,0.5617,0.001815,0.1863,0.00411,0.00411,0.07653,101,0.0415,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.2788,4024.2,0,0.000248,2.5180e-7,0.96412,0.9097,4.3902,0.2499,3.2511,4.1352,4.7402,19.38985,0.5952,0.001779,0.1768,0.00315,0.00315,0.07886,91,0.0481,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.3076,4024.2,0,0.000248,4.2367e-6,0.98487,1.4401,4.3676,0.0000,3.2598,4.4465,4.7038,24.06123,0.6202,0.001846,0.1660,0.00763,0.00763,0.07820,112,0.0538,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.3364,4023.8,0,0.000249,1.2446e-6,0.99660,0.8600,4.2962,0.0000,3.2697,4.1318,4.5487,28.26622,0.6600,0.001723,0.1584,0.00447,0.00447,0.07738,101,0.0616,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.3653,4023.4,0,0.000249,4.8058e-7,0.99209,0.9544,4.3476,0.0000,3.2672,4.2337,4.5336,29.98085,0.6819,0.001804,0.1490,0.00297,0.00297,0.07895,88,0.0696,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.3941,4023.4,0,0.000249,4.6510e-7,0.96765,0.9481,4.2779,0.0000,3.1966,4.1390,4.4800,32.78819,0.7084,0.001951,0.1406,0.00319,0.00319,0.07652,100,0.0746,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.4229,4023.4,0,0.000249,2.9592e-7,0.99019,0.8366,4.2588,0.0000,3.2662,4.2268,4.3215,43.28169,0.7475,0.001661,0.1345,0.00260,0.00260,0.07808,94,0.0799,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.4517,4024.2,0,0.000248,4.4231e-7,0.98458,0.8912,4.3705,0.0000,3.2683,4.3340,4.3367,49.51602,0.7644,0.001596,0.1264,0.00263,0.00263,0.07832,103,0.0863,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.4805,4024.2,0,0.000248,9.2899e-7,1.00068,0.9097,4.3685,0.5436,3.2723,4.0457,4.2797,59.73472,0.7898,0.001920,0.1199,0.00401,0.00401,0.07845,98,0.0927,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.5093,4024.2,0,0.000248,4.7544e-8,0.95626,0.9544,4.3798,0.9413,3.2946,4.2692,4.2403,45.71646,0.8122,0.001897,0.1134,0.00178,0.00178,0.07848,80,0.0985,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.5381,4025.4,0,0.000248,2.8709e-7,1.00006,0.9544,4.2858,0.0000,3.2560,4.2569,4.1688,53.24379,0.8377,0.001761,0.1079,0.00199,0.00199,0.07817,87,0.1032,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.5669,5319.6,0,0.000188,2.1309e-7,0.99545,0.9264,4.3419,0.0000,3.2716,4.2945,2.9909,41.73023,0.8151,0.001644,0.1170,0.00176,0.00176,0.07806,81,0.0948,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.5958,259.2,1,0.003858,4.2643e-7,0.98820,0.9799,4.3875,0.0000,3.2783,4.2439,2.0051,26.06456,0.7836,0.001762,0.1244,0.00266,0.00266,0.07813,92,0.0876,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6246,109.4,1,0.009141,2.5252e-7,0.98432,0.9183,4.3789,0.0000,3.2904,4.1713,1.4254,19.20033,0.7688,0.001722,0.1257,0.00320,0.00320,0.07874,94,0.0864,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6534,75.0,1,0.013333,2.2826e-7,0.94816,0.9928,4.3645,0.1223,3.2714,4.2994,0.8246,15.12796,0.7589,0.001799,0.1276,0.00345,0.00345,0.07838,103,0.0856,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6822,60.0,1,0.016667,5.0200e-7,0.99834,0.9871,4.3949,0.7838,3.3051,4.3907,0.2604,13.36752,0.7517,0.001707,0.1286,0.00308,0.00308,0.07784,93,0.0842,banda<=ruido,0
