semilla,r_real,percentil_r_real_en_nula,media_nula,desviacion_nula
2,0.35806200849357994,99.6,0.0005691409279922723,0.13191492095886875
1,0.3989597379370055,99.9,0.0007356073984475257,0.12914284728716707
3,0.30436011743023966,99.2,-0.0010726907138308495,0.13221694027148986
4,0.2961277462201032,98.8,0.006334856954320253,0.13500648211450955
5,0.3674363252858119,99.8,-0.001842299255502624,0.12839769503504087
8,0.3887939823231472,99.7,-0.005009447120546849,0.13346650755519415
11,0.38233020922929783,99.6,0.0002798533734846199,0.13249344860460704
13,0.4035143711596409,99.9,0.008760607056837304,0.12847629697298024
7,0.44304938709277736,100,0.005056851589734906,0.1331460425527172
12,0.398276017256934,99.9,-0.007907292272975368,0.1287141015980964
6,0.37326180475908666,99.9,0.006221988672213129,0.12951630224683747
9,0.3743774944429479,100,-0.0012223019422725307,0.1273462588923146
10,0.3676522257324169,99.8,-0.00034023238010528166,0.1334891217450958
14,0.40322110982311327,99.9,0.0055360209641919745,0.12996906521453366
15,0.3406313610577044,99.6,0.0015178541542693335,0.12993611969907956
16,0.32711584462483956,99.2,0.007640778153233284,0.1255169555262858
17,0.396648879660186,99.8,0.0010697766830900283,0.13185957684413435
18,0.3944321915826378,99.9,0.00021723150564405242,0.12634224117979084
21,0.3921446613881301,100,0.0012605623279117006,0.13225923962392042
20,0.38287532403797536,99.9,0.0003424520749941993,0.1339970569714809
22,0.356375394002142,99.8,0.0017873807784310985,0.13300156786131576
19,0.3228926927557778,99.3,0.006599785586455709,0.13505747347351593
23,0.4337968099575523,100,0.005681067856988349,0.13218316144362255
24,0.41030698619810546,100,-0.0005240048245092759,0.12792920802814056
25,0.43804162265258606,100,-0.005977276029288389,0.128171881753977
26,0.35857462959418906,99.8,0.004486221119933961,0.1329392251124879
27,0.3520062847374957,99.5,0.004063787884739551,0.12917355835045014
28,0.3825570792478464,99.9,0.007951088723513406,0.12905482919626873
29,0.2847518358889305,99,-0.00043646697415081366,0.13353837504861607
30,0.4191989358336816,100,0.0016271473348524353,0.1285222231107092
