beta,t_optima,exponente_ptc,potencia_base,semilla,r_real,percentil_r_real_en_nula,media_nula,desviacion_nula
0.8,22,3,0.3,1,-0.007027880802012799,50.7,-0.0016042342576168469,0.1298054327589267
0.8,22,3,0.3,2,0.1602309734628861,89,-0.0024431147808648326,0.12878465776771789
0.8,22,3,0.3,3,-0.21033561373640974,4.9,-0.0026316153134408387,0.12556490586673982
0.8,22,3,0.3,5,-0.12286944573520071,16.3,0.005174543578510587,0.1317089283870581
0.8,22,3,0.3,4,0.13310099530624625,84.1,-0.004364508251565085,0.13396678469655648
0.8,22,3,0.3,6,0.10763043037635969,80.8,-0.002727896832018609,0.12845136834699294
0.8,22,3,0.3,8,-0.14554301686334137,13.2,0.0009802853521190113,0.13157350018792666
0.8,22,3,0.3,7,-0.06598189850497081,29.6,-0.0019421876539964533,0.12954753513820344
0.8,22,3,0.3,9,0.07237852427506425,70.5,0.0015412617236801767,0.12787095411655147
0.8,22,3,0.3,10,-0.13090332746017969,18.4,-0.007235185411567681,0.13221087694897735
0.8,22,3,0.47,1,0.03584811803376487,56.7,0.007487190742585237,0.1333860131135328
0.8,22,3,0.47,2,-0.08526981035224504,27.8,-0.0003926439640416067,0.13058948611348925
0.8,22,3,0.47,3,-0.06500594103478834,34.8,-0.0033049791882565627,0.1320186324132766
0.8,22,3,0.47,4,0.139377870282065,86.2,0.005260310772527097,0.12511452233735773
0.8,22,3,0.47,5,0.007357194556289269,53.3,-0.005960747960895967,0.1328968088646739
0.8,22,3,0.47,6,0.12563411974190772,84,-0.0006825316947291571,0.12991564833161498
0.8,22,3,0.47,7,-0.10890838958883856,19.5,0.007130798966234701,0.13044287511378078
0.8,22,3,0.47,8,-0.157449586959695,12.9,-0.005167068282306685,0.13057247894713275
0.8,22,3,0.47,9,-0.06453286176334225,29.4,0.0020427758927096633,0.128419090258852
0.8,22,3,0.47,10,-0.10015348359448924,20.6,0.0076886734709914065,0.12875039087321924
0.8,22,3,0.65,1,-0.07164937374328528,31,-0.003792350766768585,0.1322564821068237
0.8,22,3,0.65,2,-0.166136021417371,10.2,0.0029711910585001077,0.12877788243567256
0.8,22,3,0.65,3,0.01610781862910067,53.2,0.003540151913477052,0.12918937414398798
0.8,22,3,0.65,4,0.013772386919852596,53.4,0.0031378356767719187,0.12857278352850235
0.8,22,3,0.65,5,0.011088516329852366,53.9,-0.0016403035983178654,0.1308034184751773
0.8,22,3,0.65,6,-0.01150909991357757,46,0.0006198498048845049,0.1335356963586864
0.8,22,3,0.65,7,-0.20179655959047924,5.9,0.0036634658475637786,0.12977641666171752
0.8,22,3,0.65,8,0.04968885305203134,62.6,0.0027222252230598497,0.1318039323310058
0.8,22,3,0.65,9,0.04169365362153757,62,-0.0007393917950015872,0.12805966731985463
0.8,22,3,0.65,10,0.03879638044405381,62.5,-0.004156055413099171,0.13047547371124243
0.8,22,4.1,0.3,1,0.23964465864867984,97.4,-0.0013128532758009308,0.1310287945772662
0.8,22,4.1,0.3,2,0.2576892908490586,98.9,-0.0023927374430417745,0.12960969696178193
0.8,22,4.1,0.3,3,0.1595081475756359,87.2,0.006651313941238683,0.1293763914266585
0.8,22,4.1,0.3,4,0.2800530218583801,98.6,0.009321120159300866,0.12547986396391558
0.8,22,4.1,0.3,5,0.1994709216232412,94.9,-0.005721722248364169,0.13248153463216245
0.8,22,4.1,0.3,6,0.25988498940555205,98.1,-0.0010305058807691019,0.12961521291435132
0.8,22,4.1,0.3,8,0.2387394629399155,97.3,-0.00009805677102054203,0.13073076910063366
0.8,22,4.1,0.3,7,0.22054354420342687,96.1,-0.0046245179889602165,0.12779403547846085
0.8,22,4.1,0.3,9,0.25721612195316895,96.8,0.0007348777589119572,0.13185235248868704
0.8,22,4.1,0.3,10,0.2136749977869814,96.1,-0.0030058068829078833,0.127897997507435
0.8,22,4.1,0.47,1,0.26950788568082273,98,0.007612277012796319,0.12919961429454205
0.8,22,4.1,0.47,2,0.2303661200324037,95,-0.000829761670394706,0.13208352490258374
0.8,22,4.1,0.47,3,0.1970851929433581,94,-0.0012932068253355532,0.12865600065569086
0.8,22,4.1,0.47,4,0.25783866873137595,98.1,-0.0012597451907500018,0.12812039869234831
0.8,22,4.1,0.47,5,0.2440630983357959,96.3,0.004677896519017719,0.13252818064089592
0.8,22,4.1,0.47,6,0.29414875047498495,99.5,-0.0013493039417237953,0.1236116993550873
0.8,22,4.1,0.47,7,0.24622552822746716,97,-0.000782752623937692,0.1306385792247595
0.8,22,4.1,0.47,9,0.22506506022334707,96.3,0.00021523808052379014,0.1279478853014242
0.8,22,4.1,0.47,8,0.2616769757106558,98.6,-0.004268793449111622,0.1280094032029254
0.8,22,4.1,0.47,10,0.2376797046824347,96.2,0.0006768282913616457,0.13097569584851348
0.8,22,4.1,0.65,1,0.20337211804395122,94.8,-0.0029239901108564985,0.13008169732514116
0.8,22,4.1,0.65,2,0.1586641069196807,88.1,-0.0007711689372975405,0.13342357685880737
0.8,22,4.1,0.65,3,0.21034009227037706,93.9,0.008170191908604256,0.1320571432862087
0.8,22,4.1,0.65,4,0.2529282050016806,98.2,-0.0010824218009619097,0.13105606199985118
0.8,22,4.1,0.65,5,0.14534687429502344,89.5,-0.0038053111195267115,0.12492140362107976
0.8,22,4.1,0.65,6,0.23559255304435947,96.2,-0.00038308637469648465,0.13180609466051746
0.8,22,4.1,0.65,7,0.16706826574914294,88.1,0.005081373172402954,0.13138677218088612
0.8,22,4.1,0.65,8,0.2699618492129274,97.8,0.003835310657996365,0.1305469656568814
0.8,22,4.1,0.65,9,0.2432827267657088,97.3,0.0003642025382010718,0.1270682094740965
0.8,22,4.1,0.65,10,0.1747093606458869,90.9,-0.003712923134107605,0.1275938713310112
0.8,22,6,0.3,1,0.03306941629166611,62.5,-0.006579714419792248,0.12898103673786948
0.8,22,6,0.3,2,0.051323713772515586,63.6,0.007511104874414467,0.12923514413589765
0.8,22,6,0.3,3,-0.06085250097595426,30.2,0.0006102553210085961,0.13105428067451563
0.8,22,6,0.3,4,0.0570857367475077,66.1,0.0005863876914327587,0.12971450608326507
0.8,22,6,0.3,5,0.026657462562763176,56.4,0.000392512735131252,0.12742010330875478
0.8,22,6,0.3,6,0.042208418204643126,62.9,-0.0029968199610098827,0.12644164368322314
0.8,22,6,0.3,7,0.048536992296490576,64.6,-0.005464206127300851,0.12908218157190163
0.8,22,6,0.3,8,0.03431703328701263,60.7,-0.003657043050432942,0.1276472243681959
0.8,22,6,0.3,9,0.04736844990078023,64.7,-0.0034151715659803614,0.1304837743818109
0.8,22,6,0.3,10,0.02444227197166484,59.6,-0.01038303451401045,0.129408561711956
0.8,22,6,0.47,1,0.04460881868393923,64.2,0.0018633994356850748,0.12664376604489494
0.8,22,6,0.47,2,-0.015268399037964212,44.6,0.0013963896381069686,0.13047008282402153
0.8,22,6,0.47,3,-0.04860979799124546,35.5,0.00019410722938081458,0.12924078811657613
0.8,22,6,0.47,4,0.015258498759010964,53.9,0.001977142090684967,0.12983516946210902
0.8,22,6,0.47,5,0.0007417358069072674,46.1,0.00893115708373423,0.1294552507722871
0.8,22,6,0.47,6,0.03475166969672592,61.5,-0.001845003076007317,0.12616423344549527
0.8,22,6,0.47,7,0.048815679051177945,65.2,-0.0037606144491181045,0.13335001605295982
0.8,22,6,0.47,8,0.024472929737771765,56.7,0.0015811905113758096,0.13271950674316813
0.8,22,6,0.47,9,0.009380364590036485,54.2,-0.0009253805526273657,0.13387726542721756
0.8,22,6,0.47,10,0.01119165482586439,55,-0.00529955538305742,0.1279671956328968
0.8,22,6,0.65,1,-0.012853682303278845,48.2,-0.007258395559644431,0.12483412664833897
0.8,22,6,0.65,2,-0.07024999521623376,31.2,-0.004297437355266621,0.13172637591834743
0.8,22,6,0.65,3,-0.07354779787950853,26.5,0.005065428427188449,0.12561823957905882
0.8,22,6,0.65,4,0.029925870763401467,57.2,0.002733802675125493,0.13086180211474455
0.8,22,6,0.65,5,-0.11842425565014286,18,-0.0016147218773546203,0.1297445734638884
0.8,22,6,0.65,6,-0.020448770328759355,44.6,-0.003842662100128909,0.12827462309907064
0.8,22,6,0.65,7,-0.0453473754083359,36.2,-0.0017466016812849058,0.12752068613927556
0.8,22,6,0.65,8,0.03932607099870739,61.3,0.0006298882872433384,0.13339783063830435
0.8,22,6,0.65,9,0.0012369028759982273,48.7,0.005468604193931129,0.1301519349328047
0.8,22,6,0.65,10,-0.0591336472077801,31.8,-0.0022842576881137496,0.13087053430508594
0.8,25,3,0.3,1,0.07402898419047695,71,0.0024081023066083386,0.1305088791871272
0.8,25,3,0.3,2,-0.09027437342089292,24.9,-0.001991500010125461,0.12983107269061633
0.8,25,3,0.3,5,-0.08300000298827481,26.5,0.0009062910556163498,0.1340133208038527
0.8,25,3,0.3,3,-0.16297775156430935,12.3,-0.0023854783376811234,0.13414839167425163
0.8,25,3,0.3,4,-0.1739531082195583,10.5,-0.004862539087135372,0.13091042341680492
0.8,25,3,0.3,6,-0.020787115560729742,44.5,-0.0007804499695408242,0.1319364036656621
0.8,25,3,0.3,7,0.3553009680085682,99.6,-0.004238777914059738,0.13065072429380323
0.8,25,3,0.3,8,0.08548257650327154,72.7,0.0037554293933816933,0.1292643443651432
0.8,25,3,0.3,9,-0.07631429847398331,27.2,0.002181506883921867,0.1329423851218939
