semilla,modo,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,pasos_recuperacion,recuperacion_completa,tasa_recuperacion,varianza_potencia_viva,autocorrelacion1_potencia_viva,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.2500,4027.8,0,0.000248,1.3396e-6,0.96055,0.9341,4.2717,0.0000,3.0720,4.3178,5.5107,60.77357,0.4684,0.001618,0.2156,0.00436,0.00436,0.07866,106,0.1598,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.2788,33.4,1,0.029940,6.2476e-7,0.96476,1.7917,4.3083,0.8366,3.0667,4.0963,5.3899,67.63578,0.5048,0.001664,0.2010,0.00805,0.00805,0.07691,104,0.1742,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.3076,32.6,1,0.030675,8.3802e-7,0.93529,0.6500,4.4150,0.0000,3.0762,3.9027,5.2955,64.90334,0.5380,0.001922,0.1877,0.00441,0.00441,0.07542,94,0.1906,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.3364,32.2,1,0.031056,3.3017e-6,0.97819,1.6100,4.2945,0.9341,3.1452,3.8374,5.1678,136.79209,0.5754,0.001806,0.1749,0.01000,0.01000,0.07719,106,0.1977,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.3653,31.2,1,0.032051,1.2526e-6,0.96402,0.9950,4.2998,0.4138,3.1297,4.2645,5.0939,83.02673,0.6061,0.001891,0.1633,0.00470,0.00470,0.07785,106,0.2182,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.3941,30.6,1,0.032680,1.7475e-6,0.99474,0.8366,4.3605,0.0000,3.1120,4.0583,5.0237,98.16560,0.6362,0.001761,0.1518,0.00493,0.00493,0.07615,97,0.2288,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.4229,30.2,1,0.033113,2.2254e-7,0.98299,0.8366,4.3629,0.0000,3.1229,4.0805,4.9340,117.02797,0.6685,0.001842,0.1416,0.00273,0.00273,0.07768,86,0.2410,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.4517,30.2,1,0.033113,1.4324e-6,0.99227,0.9902,4.3611,0.0000,3.0967,4.3239,4.8711,112.14377,0.6973,0.001798,0.1318,0.00372,0.00372,0.07626,99,0.2498,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.4805,29.6,1,0.033784,4.9180e-7,0.98820,0.9837,4.3609,0.0000,3.1639,4.2546,4.8024,126.12787,0.7264,0.001754,0.1227,0.00451,0.00451,0.07772,100,0.2601,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.5093,29.2,1,0.034247,7.1782e-7,0.98009,0.9837,4.3788,0.0000,3.1700,4.1586,4.8135,135.11402,0.7451,0.001706,0.1132,0.00416,0.00416,0.07738,99,0.2712,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.5381,29.2,1,0.034247,2.1793e-7,0.97738,0.9341,4.3052,0.0000,3.2133,4.0471,4.7705,154.37120,0.7701,0.001625,0.1053,0.00234,0.00234,0.07763,85,0.2785,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.5669,29.2,1,0.034247,1.7916e-7,0.97038,0.9837,4.3828,0.9799,3.0721,4.1104,4.6555,153.93774,0.8035,0.001940,0.0995,0.00244,0.00244,0.07544,90,0.2878,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.5958,29.6,1,0.033784,2.4129e-7,0.99060,0.9710,4.3158,0.0000,3.1335,4.1626,4.6236,144.20498,0.8258,0.001835,0.0926,0.00187,0.00187,0.07711,77,0.2937,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6246,30.2,1,0.033113,6.4403e-7,0.97591,0.9982,4.3188,0.0000,3.1179,4.2298,4.5645,177.88415,0.8508,0.001645,0.0866,0.00324,0.00324,0.07808,94,0.3013,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6534,30.2,1,0.033113,2.9868e-7,0.99523,0.9950,4.3209,0.0000,3.1093,4.4179,4.6451,177.76305,0.8573,0.001641,0.0796,0.00177,0.00177,0.07760,89,0.3076,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6822,31.2,1,0.032051,4.6136e-8,0.98059,0.9968,4.2912,0.0000,3.1703,3.9538,4.5432,180.61237,0.8856,0.001695,0.0752,0.00105,0.00105,0.07822,60,0.3130,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7110,31.2,1,0.032051,3.6623e-7,0.97970,0.9950,4.3309,0.0000,3.1104,4.1601,4.6036,155.70042,0.8925,0.001951,0.0695,0.00215,0.00215,0.07685,87,0.3205,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7398,32.2,1,0.031056,6.1774e-8,0.98231,0.9097,4.3522,0.0000,3.0884,4.1658,4.5063,241.83437,0.9178,0.001661,0.0655,0.00269,0.00269,0.07706,87,0.3232,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7686,32.6,1,0.030675,1.5291e-7,0.98315,0.9968,4.3465,0.5436,3.1546,4.3841,4.5369,176.68873,0.9256,0.001764,0.0611,0.00152,0.00152,0.07787,83,0.3288,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7975,33.4,1,0.029940,1.0099e-7,0.99907,0.8485,4.3328,0.0000,3.1289,4.0544,4.4761,272.30682,0.9431,0.001603,0.0576,0.00122,0.00122,0.07881,70,0.3329,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8263,34.4,1,0.029070,2.1759e-8,0.99008,0.7838,4.3165,0.0000,3.1141,4.2923,4.4052,199.95804,0.9599,0.001633,0.0544,0.00058,0.00058,0.07704,48,0.3367,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8551,35.8,1,0.027933,4.8036e-8,0.97706,0.9837,4.2642,0.2499,3.0753,4.0218,4.3243,166.63072,0.9759,0.001921,0.0516,0.00144,0.00144,0.07812,69,0.3403,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8839,37.4,1,0.026738,3.1483e-8,0.97222,0.8242,4.2540,0.0000,3.1119,4.2288,4.3509,203.21993,0.9759,0.001607,0.0481,0.00089,0.00089,0.07856,63,0.3438,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9127,38.6,1,0.025907,2.9542e-7,0.98854,0.9871,4.3551,0.0000,3.0852,3.9535,4.1954,218.89585,0.9876,0.001592,0.0460,0.00194,0.00194,0.07642,80,0.3466,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9415,40.6,1,0.024631,2.0973e-7,0.97722,0.7838,4.2863,0.0000,3.1170,3.9320,4.1613,208.75331,0.9888,0.001540,0.0435,0.00176,0.00176,0.07856,71,0.3484,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9703,42.0,1,0.023810,3.6389e-8,0.97714,0.9992,4.3412,0.0000,2.9704,4.2653,3.9706,200.83082,0.9832,0.001617,0.0419,0.00085,0.00085,0.07491,59,0.3507,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9992,44.2,1,0.022624,1.2580e-8,0.94985,0.9756,4.2814,0.0000,3.0946,3.9825,3.9152,195.57738,0.9857,0.001747,0.0396,0.00052,0.00052,0.07809,37,0.3531,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0280,46.4,1,0.021552,1.7210e-8,0.95664,0.9413,4.3339,0.0000,3.0884,4.0224,3.6628,195.06172,0.9673,0.001674,0.0384,0.00098,0.00098,0.07577,59,0.3544,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0568,49.4,1,0.020243,8.7851e-8,0.98925,0.9413,4.2882,0.0000,3.0911,4.1925,3.4874,192.46048,0.9624,0.001705,0.0370,0.00121,0.00121,0.07771,72,0.3566,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0856,52.2,1,0.019157,1.7224e-8,0.97929,0.9928,4.3094,0.0000,3.1052,4.0045,3.2646,245.71042,0.9560,0.001673,0.0359,0.00103,0.00103,0.07853,58,0.3579,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1144,55.2,1,0.018116,1.1276e-7,0.98657,0.9837,4.3157,0.0000,3.1381,3.9325,3.0598,137.95117,0.9561,0.001986,0.0346,0.00124,0.00124,0.07812,67,0.3583,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1432,59.0,1,0.016949,2.1976e-8,0.96582,0.9928,4.2990,0.0000,3.1122,4.2480,2.7397,141.26520,0.9463,0.001769,0.0340,0.00090,0.00090,0.07834,61,0.3598,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1720,63.2,1,0.015823,7.5538e-9,0.96719,0.9982,4.3311,0.9871,3.1528,4.3476,2.3716,134.22148,0.9348,0.001732,0.0335,0.00042,0.00042,0.07835,42,0.3603,banda<=ruido,0
