beta,t_optima,exponente_ptc,potencia_base,fraccion_saturada,frontera_media,frontera_desv,r_media,r_desv
0.8,22,3,0.3,0,0.6406999999999999,1.1102230246251565e-16,0.027824349424935092,0.1542335560214005
0.8,22,3,0.47,0,0.6814,0,0.007608976385455222,0.12864723533604763
0.8,22,3,0.65,0,0.7492,0,-0.054596561881776084,0.11356846551521854
0.8,22,4.1,0.3,0,0.6271000000000001,1.1102230246251565e-16,0.026118470230682665,0.1564899569580713
0.8,22,4.1,0.47,0,0.6542000000000001,1.1102230246251565e-16,-0.026506154045396003,0.10599763807276869
0.8,22,4.1,0.65,0,0.6868,0.00661362230551456,-0.13844285598873712,0.11498296338706775
0.8,22,6,0.3,0,0.6136,0,0.031054301007710138,0.15590494291087395
0.8,22,6,0.47,0,0.6271000000000001,1.1102230246251565e-16,-0.06397594117501305,0.1347697398313481
0.8,22,6,0.65,0,0.6406999999999999,1.1102230246251565e-16,-0.2139921738770377,0.0983762441364893
0.8,25,3,0.3,0,0.8169000000000002,2.220446049250313e-16,0.043209758210714405,0.17040435539456086
0.8,25,3,0.47,0,0.8440999999999999,1.1102230246251565e-16,0.04098337542957929,0.1615723580630237
0.8,25,3,0.65,0,0.8712,0,0.022847852253268686,0.15311211190658883
0.8,25,4.1,0.3,0,0.8034000000000001,1.1102230246251565e-16,0.04041753239811031,0.1673146937775777
0.8,25,4.1,0.47,0,0.8169000000000002,2.220446049250313e-16,0.046150736316924526,0.15461931477361962
0.8,25,4.1,0.65,0,0.8305,0,0.040953841922011874,0.14855696348838168
0.8,25,6,0.3,0,0.7870999999999999,0.005399999999999982,0.035461003048886455,0.1655528100040069
0.8,25,6,0.47,0,0.7897999999999998,1.1102230246251565e-16,0.04019797126216317,0.1614095449515698
0.8,25,6,0.65,0,0.8034000000000001,1.1102230246251565e-16,0.0407856926139962,0.14846626031522103
0.8,28,3,0.3,0,0.9797,0,-0.022154045368708037,0.11842718040251843
0.8,28,3,0.47,0,1.0068,0,-0.03336485639540084,0.13135993168435023
0.8,28,3,0.65,0,1.02302,0.005440000000000023,-0.045400422081331125,0.13608328676332884
0.8,28,4.1,0.3,0,0.9661000000000002,2.220446049250313e-16,-0.009891546933541199,0.11623585785150521
0.8,28,4.1,0.47,0,0.9797,0,-0.01900799916106241,0.11926325732181824
0.8,28,4.1,0.65,0,0.9932000000000001,1.1102230246251565e-16,-0.02956202316473152,0.12580712011270662
0.8,28,6,0.3,0.025,0.9525,0,0.010199413757163295,0.11249253086611585
0.8,28,6,0.47,0.045,0.95658,0.006232302945139918,-0.003402266595209382,0.08406461767374265
0.8,28,6,0.65,0.08333333333333333,0.9661000000000002,2.220446049250313e-16,-0.015534947836440976,0.05343618251299451
0.88,22,3,0.3,0,0.6406999999999999,1.1102230246251565e-16,0.01906483962861532,0.15321645715872023
0.88,22,3,0.47,0,0.6868,0.00661362230551456,0.0028075186961151605,0.1234936398952049
0.88,22,3,0.65,0,0.7505499999999999,0.004050000000000021,-0.05611479166603596,0.11409149954105077
0.88,22,4.1,0.3,0,0.6271000000000001,1.1102230246251565e-16,0.023965190282201253,0.15334738108414112
0.88,22,4.1,0.47,0,0.6542000000000001,1.1102230246251565e-16,-0.03296047057083752,0.10678103222662445
0.88,22,4.1,0.65,0,0.6921999999999999,0.005399999999999982,-0.14844943395338203,0.10977980223152313
0.88,22,6,0.3,0,0.6136,0,0.02721574454322819,0.1562201199147336
0.88,22,6,0.47,0,0.6271000000000001,1.1102230246251565e-16,-0.07489029477806868,0.1368367673175709
0.88,22,6,0.65,0,0.65015,0.006186477188190364,-0.2372434615623494,0.08452498684345297
0.88,25,3,0.3,0,0.8169000000000002,2.220446049250313e-16,0.038774553051120514,0.1712851193193888
0.88,25,3,0.47,0,0.8440999999999999,1.1102230246251565e-16,0.036271718109027254,0.16858932468514895
0.88,25,3,0.65,0,0.8712,0,0.023267998987538265,0.15662903442959042
0.88,25,4.1,0.3,0,0.8034000000000001,1.1102230246251565e-16,0.03576728309210768,0.1678704837402033
0.88,25,4.1,0.47,0,0.8169000000000002,2.220446049250313e-16,0.041771347962220026,0.16327437414966578
0.88,25,4.1,0.65,0,0.8332199999999998,0.005439999999999978,0.03844644357333709,0.15324780375720914
0.88,25,6,0.3,0,0.7897999999999998,1.1102230246251565e-16,0.034967620665618905,0.16186645362443466
0.88,25,6,0.47,0,0.7897999999999998,1.1102230246251565e-16,0.038456072920526295,0.16281984164982416
0.88,25,6,0.65,0,0.8034000000000001,1.1102230246251565e-16,0.04057399453892856,0.1517059017433541
0.88,28,3,0.3,0,0.9797,0,-0.024550057127511633,0.11407718672601964
0.88,28,3,0.47,0,1.0068,0,-0.03640835211069123,0.12935280930902124
0.88,28,3,0.65,0,1.0284599999999997,0.006662612100370272,-0.04544896027469515,0.13983199155713258
0.88,28,4.1,0.3,0,0.9661000000000002,2.220446049250313e-16,-0.010058188332813864,0.11354780046051847
0.88,28,4.1,0.47,0,0.9797,0,-0.020152061397366458,0.11677869419779478
0.88,28,4.1,0.65,0,0.9932000000000001,1.1102230246251565e-16,-0.02908203691106125,0.12252982033022833
0.88,28,6,0.3,0.03666666666666667,0.9525,0,0.012417137629530384,0.10389418318457912
0.88,28,6,0.47,0.06833333333333333,0.95794,0.006662612100370217,-0.005554687335359152,0.06569181024290063
0.88,28,6,0.65,0.095,0.9661000000000002,2.220446049250313e-16,-0.02349974824869266,0.045184740479244305
0.94,22,3,0.3,0,0.6406999999999999,1.1102230246251565e-16,0.017980725080255205,0.15452108577377313
0.94,22,3,0.47,0,0.69085,0.0061864771881903645,0.0004048895852664616,0.12255841030741793
0.94,22,3,0.65,0,0.76135,0.004050000000000021,-0.05993693823167288,0.11838519426963269
0.94,22,4.1,0.3,0,0.6271000000000001,1.1102230246251565e-16,0.020133454114525683,0.15331330844084404
0.94,22,4.1,0.47,0,0.6542000000000001,1.1102230246251565e-16,-0.0354691074730228,0.11261917889160496
0.94,22,4.1,0.65,0,0.6948999999999999,1.1102230246251565e-16,-0.15663929721300443,0.10132072452366286
0.94,22,6,0.3,0,0.6136,0,0.013801967726362043,0.14126558827602764
0.94,22,6,0.47,0,0.6271000000000001,1.1102230246251565e-16,-0.08073275835120729,0.13820276830778816
0.94,22,6,0.65,0,0.65285,0.004049999999999987,-0.25429481946286814,0.07225867273442542
0.94,25,3,0.3,0,0.8169000000000002,2.220446049250313e-16,0.0391370081818095,0.17164905907268313
0.94,25,3,0.47,0,0.8440999999999999,1.1102230246251565e-16,0.04075798472492655,0.17253247922340503
