bateria,experimento,zona,variable,n,media,desv,min,p25,mediana,p75,max
bateria,A,vivo,H_absLocal,796,0.9179670007325801,0.11499594990098247,0.3207930355475232,0.9007196798623593,0.9603622703154779,0.9871377743721863,1
bateria,A,vivo,H_rel,796,4.130307555495794,0.5920862450866332,0,4.1121971334438605,4.22874302712785,4.321176416704597,4.504657705794333
bateria,A,vivo,H_noiseLocal,796,4.3294447548550385,0.0396004716775444,4.193400798847076,4.304633463779065,4.333940069213388,4.357584868363128,4.4357096652829435
bateria,A,colapsado,H_absLocal,30,1.5061502368061699,0.31815347240816977,0.9007196798623593,1.1653334853871693,1.6555677698640183,1.7625364522243925,1.8979808333488184
bateria,A,colapsado,H_rel,30,4.218013076030137,0.14412015306252987,3.919699032566579,4.116149595201238,4.265547473143232,4.327082832013462,4.455547022783734
bateria,A,colapsado,H_noiseLocal,30,4.328962135315366,0.04024941766514845,4.2147781414537535,4.315667458443156,4.338760146108567,4.354366589929006,4.394013518802524
bateria,B,vivo,H_absLocal,14948,0.9221819421059257,0.15565795984374556,0.38431154412649704,0.8812908992306927,0.954434002924965,0.9901592635041827,1.950723906651565
bateria,B,vivo,H_rel,14948,4.126677541015756,0.5095083909720866,0,4.103411833551329,4.212377340993743,4.302049122812266,4.522021772127107
bateria,B,vivo,H_noiseLocal,14948,4.329167821611574,0.04039810109938439,4.1545585072523,4.303859731926414,4.332049009776023,4.358741538431828,4.4357096652829435
bateria,B,colapsado,H_absLocal,524,1.4343751532210467,0.40040343416795754,0.783776947484701,0.9967916319816366,1.6413213604860313,1.788651016136749,1.9921561910130798
bateria,B,colapsado,H_rel,524,4.21846264899853,0.12840173702502908,3.8863447369445883,4.138744515401224,4.265957677877943,4.324657818830574,4.457584868363129
bateria,B,colapsado,H_noiseLocal,524,4.317336490525543,0.03871346601039427,4.265981919893211,4.273274391525869,4.338760146108567,4.3474355658166886,4.382456669236583
bateria2,D,vivo,H_absLocal,695,0.9549201438848919,0.15244932073572875,0.469,0.9183,0.971,0.9928,1.9606
bateria2,D,vivo,H_rel,695,4.210352230215828,0.1512557976963288,3.6123,4.1208,4.2332,4.3215,4.4966
bateria2,D,vivo,H_noiseLocal,695,4.331924172661867,0.040177672204098264,4.2084,4.3055,4.3361,4.3614,4.4197
bateria2,D,colapsado,H_absLocal,70,0.9268628571428571,0.07738250664519648,0.5886,0.8912,0.9413,0.9871,1
bateria2,D,colapsado,H_rel,70,4.185532857142857,0.16628810860451002,3.5585,4.0823,4.2123,4.3292,4.4636
bateria2,D,colapsado,H_noiseLocal,70,4.339048571428571,0.04080921374555769,4.2196,4.3128,4.3405,4.3721,4.4183
bateria2,Aprima,vivo,H_absLocal,1160,0.9545078448275857,0.13490491925864984,0.469,0.9097,0.971,0.9928,1.9606
bateria2,Aprima,vivo,H_rel,1160,4.219844913793107,0.14559590644702367,3.5007,4.1366,4.2418,4.3265,4.494
bateria2,Aprima,vivo,H_noiseLocal,1160,4.330009310344828,0.041866333065506973,4.1414,4.307,4.3348,4.3611,4.4219
bateria2,Aprima,colapsado,H_absLocal,99,0.9253393939393944,0.10067288644058614,0.442,0.8912,0.9659,0.9902,1
bateria2,Aprima,colapsado,H_rel,99,4.1446292929292925,0.18418209218411605,3.6162,4.0101,4.1608,4.2851,4.4572
bateria2,Aprima,colapsado,H_noiseLocal,99,4.333459595959597,0.038252953722864594,4.2196,4.3127,4.3343,4.359,4.4125
bateria2,Bprima,vivo,H_absLocal,33921,0.8463175201203061,0.322481991864235,0,0.86,0.9544,0.9902,2.279
bateria2,Bprima,vivo,H_rel,33921,3.7640408449043274,1.2938160397464387,0,4.0593,4.2122,4.313,4.5204
bateria2,Bprima,vivo,H_noiseLocal,33921,4.330714468913014,0.04182235588680253,4.1701,4.3057,4.3351,4.361,4.4309
bateria2,Bprima,colapsado,H_absLocal,3799,0.9432211371413595,0.16760052712310278,0,0.8912,0.9659,0.9928,1.9338
bateria2,Bprima,colapsado,H_rel,3799,4.134491787312447,0.38560341146759475,0,4.0462,4.1709,4.2993,4.4732
bateria2,Bprima,colapsado,H_noiseLocal,3799,4.3300828375888445,0.03917398036072059,4.1922,4.3079,4.3337,4.3579,4.417
bateria3,D,vivo,H_absLocal,762,0.9307727034120736,0.09141599281900996,0.4138,0.9007,0.9659,0.9928,1
bateria3,D,vivo,H_rel,762,4.2206282152231,0.15158977227881915,3.2526,4.1406,4.2504,4.3241,4.5015
bateria3,D,vivo,H_noiseLocal,762,4.328953937007875,0.04062182890008322,4.1612,4.3054,4.332,4.359,4.4057
bateria3,D,colapsado,H_absLocal,101,0.9059029702970304,0.0955368400825541,0.6098,0.86,0.9341,0.9799,1.0284
bateria3,D,colapsado,H_rel,101,4.174534653465346,0.1701803972583756,3.5029,4.1005,4.2125,4.2802,4.4401
bateria3,D,colapsado,H_noiseLocal,101,4.335991089108912,0.03916770517297141,4.2537,4.3086,4.3401,4.3639,4.4051
bateria3,Aprima,vivo,H_absLocal,1125,0.9297377777777783,0.09297607369375264,0.3843,0.9097,0.9659,0.9928,1
bateria3,Aprima,vivo,H_rel,1125,4.2139564444444515,0.15867793065277513,3.2526,4.1261,4.2454,4.3253,4.5291
bateria3,Aprima,vivo,H_noiseLocal,1125,4.330680177777775,0.040358217865779554,4.1612,4.3059,4.3357,4.359,4.4377
bateria3,Aprima,colapsado,H_absLocal,122,0.924382786885246,0.09123549576406784,0.469,0.8912,0.9544,0.9902,1
bateria3,Aprima,colapsado,H_rel,122,4.1981221311475405,0.15727796293494647,3.4901,4.1184,4.2225,4.3036,4.4669
