semilla,modo,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,asent_pasos,asent_ok,pasos_recuperacion,rec_mediana,rec_topes,rec_1,rec_2,rec_3,rec_4,rec_5,recuperacion_completa,tasa_recuperacion,varianza_potencia_viva,autocorrelacion1_potencia_viva,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6000,1850,1,45.0,45,0,45,45,45,45,45,1,0.022222,3.0036e-7,0.99116,0.9183,4.2704,0.5197,4.2819,4.1198,4.6023,171.99162,0.8293,0.001678,0.0920,0.00221,0.00221,0.07824,90,0.2957,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6136,2050,1,53.0,53,0,53,53,53,53,53,1,0.018868,3.4298e-7,0.99476,0.9413,4.3086,0.7383,4.2412,4.3003,4.6461,155.04305,0.8312,0.001813,0.0882,0.00249,0.00249,0.07808,97,0.2991,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6271,2300,1,86.0,86,0,86,86,86,86,86,1,0.011628,1.3046e-7,0.98041,0.8600,4.3277,0.0000,4.3368,4.1461,4.5770,165.77509,0.8464,0.001778,0.0858,0.00187,0.00187,0.07880,86,0.3002,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6407,2600,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,1.2536e-7,0.96632,0.9992,4.3106,0.0000,4.1928,4.4422,4.6429,170.27573,0.8432,0.001698,0.0823,0.00142,0.00142,0.07610,80,0.3048,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6542,3000,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,5.2528e-7,0.95885,0.9481,4.3776,0.3843,4.3089,4.3388,4.4833,178.98080,0.8650,0.001699,0.0815,0.00379,0.00379,0.07846,101,0.3084,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6678,3450,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,2.0565e-7,0.99041,0.9871,4.3576,0.9604,4.2212,4.2621,4.3899,273.12654,0.8706,0.001706,0.0798,0.00186,0.00186,0.07755,81,0.3079,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6814,3600,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,2.4644e-7,0.98825,0.9544,4.3654,0.9264,4.2314,4.3635,4.1999,143.77464,0.8669,0.001910,0.0794,0.00198,0.00198,0.07751,91,0.3093,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6949,3200,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,3.0019e-7,0.99179,0.9659,4.2996,0.0000,4.2874,4.2356,3.8214,170.69028,0.8584,0.001586,0.0809,0.00209,0.00209,0.07773,90,0.3057,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7085,2700,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,1.8475e-7,0.99691,0.9007,4.3662,0.9097,4.2484,3.8410,3.4101,116.30423,0.8424,0.001756,0.0835,0.00248,0.00248,0.07678,82,0.3052,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7220,2150,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,7.2365e-7,0.98935,0.8242,4.3762,0.8912,4.3527,4.1331,2.8507,105.44115,0.8427,0.001777,0.0877,0.00341,0.00341,0.07814,94,0.3017,banda<=ruido,0
